Donnée (Niveau 1),Donnée (Niveau 2),Donnée (Niveau 3),Donnée (Niveau 4),Donnée (Niveau 5),Donnée (Niveau 6),Description,Exemples,Balise,Cardinalité,Objet,Format (ou type),Détails de format
Identifiant affaire/dossier,,,,,,"Identifiant partagé de l'affaire/dossier, généré une seule fois par le système du partenaire qui recoit la primo-demande de secours (créateur du dossier). 
Il est valorisé comme suit lors de sa création : 
{pays}.{domaine}.{organisation}.{senderCaseId}

Il doit pouvoir être généré de façon décentralisée et ne présenter aucune ambiguïté.
 Il doit être unique dans l'ensemble des systèmes : le numéro de dossier fourni par celui qui génère l'identifiant partagé doit donc être un numéro unique dans son système.",fr.health.samu440.DRFR15440241550012,caseId,1..1,,string,"REGEX: ^([a-zA-Z0-9_-]+\.?){4,10}$"
Identifiant local de l'affaire/dossier,,,,,,"A valoriser avec le numéro du dossier dans le SI de l'émetteur du message.
",DRFR15440241550012,senderCaseId,0..1,,string,
Filière,,,,,,"Sert à indiquer à quelle filière du CRRA destinataire le dossier doit être adressé/affiché, lorsque celle-ci est spécifique ou dédiée.",AMU,perimeter,0..1,,string,NOMENCLATURE: HubSante.filiere
Qualification,,,,,,"Objet qui permet de qualifier l'affaire/dossier en général. 

Spécificités 15-18 : 
La qualification est issue d'une interprétation métier synthétisant l'ensemble des alertes reçues.",,qualification,0..1,X,qualification,
,"Risque, menace et sensibilité",# Voir type codeAndLabel,,,,"Décrit les risques, menaces et sensibilités : cf.nomenclature associée.",,riskThreat,0..n,X,codeAndLabel,
,,Code,,,,A valoriser avec le code de la nomenclature associée,C07.13.02,code,1..1,,string,REGEX: ^R\d{2}$
,,Libellé,,,,"A valoriser avec le libellé de la nomenclature associée.
Dans le cas où un système n'est pas en mesure de reconnaître un code, il peut choisir d'afficher le libellé qui est obligatoirement fourni avec le code.",Rodéo automobile,label,1..1,,string,
,Détails du dossier ,,,,,Objet qui permet de décrire les détails du dossier,,details,0..1,X,caseDetails,
,,Etat du dossier,,,,"A valoriser avec l'état du dossier dans le système émetteur
Spécificité 15-15 : peut être ignoré en réception, partagé à titre indicatif uniquement
Spécificité 15-SMUR : à utiliser à minima pour transmettre le statut CLOTURE à la tablette",ACTIF,status,0..1,,string,NOMENCLATURE: HubSante.etat
,,Priorité de régulation médicale,,,,"Décrit la priorité de régulation médicale du dossier : P0, P1, P2, P3",P1,priority,0..1,,string,NOMENCLATURE: HubSante.priorite
,,Niveau de soins du dossier,,,,"Décrit le niveau de soins global du dossier identifié au cours de l'acte de régulation médicale : s'il y a plusieurs niveaux de soins différents pour chaque patient, on indique ici le niveau le plus grave.
cf.nomenclature associée.",R1,careLevel,0..1,,string,NOMENCLATURE: HubSante.niveauSoin
Localisation,,,,,,Objet qui permet de décrire la localisation du lieu d'intervention.,,location,0..1,X,location,
,Liens aux systèmes externes,,,,,"Lien avec l'identifiant de l'adresse dans une base de données externes possiblement connue des autres acteurs.
L'identifiant BAN de l'adresse (clé d'interopérabilité) doit être partagé au maximum.",,externalInfo,0..n,X,externalInfo,
,,Nom de la source,,,,A valoriser avec le système fournissant le localisant,"BAN, IGN, NEXSIS, …",freetext,1..1,,string,NOMENCLATURE: HubSante.systeme
,,Type ,,,,"A valoriser avec la définition du type d'objet dans le système

Exemple : SIG NexSIS / OSM ont plusieurs types de données (EGA, POI, tronçon de route, …)","MANUEL, CARTE, AUTRE, PHOTO, SITE INTERNET",type,0..1,,string,NOMENCLATURE: HubSante.objetSource
,,Identifiant,,,,Identifiant dans le système concerné,"80021_6590_00008, id987",uri,1..1,,string,
Alerte initiale,,,,,,"Objet qui permet de décrire une communication d'urgence, par exemple un appel téléphonique.

Spécificités 15-18 : Une alerte est une photo d'une situation donnée décrite par un requérant et n'est pas amenée à évoluer dans le temps. En cas de modification (adresse, qualification, ...), cela passera par une mise à jour opération ou une nouvelle alerte, L'alerte initiale est la premiere alerte concernant la situation d'urgence et conduisant à la création d'une affaire.",,initialAlert,0..1,X,alert,
,Informations complémentaires sur l'alerte,,,,,"Objet qui permet de fournir des informations supplémentaires concernant l'alerte.

Spécificités 15-15 : 
Mapper ici  les informations générales liées au dossier qui ne sont pas liées à un patient, et pour lesquelles il n’est pas possible d’identifier le rôle de utilisateur (cf. objet medicalNote).
A réception, les informations de cet attribut sont à mapper et afficher dans un champ le plus approprié possible : en commentaire général du dossier, non lié à un rôle utilisateur ou à un patient.",,notes,0..n,X,notes,
,,Date et heure de l'information complémentaire,,,,A valoriser avec le groupe date heure de création de l'information complémentaire,,creation,0..1,,datetime,Format datetime décrit dans le DST
,,Commentaire/Observations,,,,"A valoriser avec un texte libre contenant les indications complémentaires renseignées sur l'alerte/appel.

Spécificités 15-15 : cet attribut ne doit pas être valorisé avec des notes à caractère médical, qui serait liée à un interrogatoire ARM ou médecin, ou à un patient en particulier","Accident de bricolage, accident domestique, déclenchement téléalarme, voisine sur les lieux",freetext,0..1,,string,
CRRA traitant,,,,,,"Attribut qui permet de transférer la prise en charge d'un dossier à un autre CRAA
A valoriser avec l'identifiant de l'organisation concerné (orgId = {pays}.{domaine}.{organisation})",fr.health.samu440,owner,0..1,,string,"REGEX: ^([a-zA-Z0-9_-]+\.?){4,9}$"
Patient,,,,,,Objet qui permet l'identification des patients / victimes,,patient,0..n,X,patient,
,ID patient partagé,,,,,"Identifiant partagé du patient, généré une seule fois par le système du partenaire qui créé le patient.
Il est valorisé comme suit lors de sa création : 
{OrgId émetteur}.patient.{n°patient unique dans le système émetteur}

OU, si un n°patient unique n'existe pas dans le système émetteur :
{ID émetteur}.{senderCaseId}.patient.{numéro d’ordre chronologique au dossier}


","fr.health.samu690.patient.P23AZ59
fr.health.samu690.patient.DRFR15690242370035.1",patientId,1..1,,string,"REGEX: ^([a-zA-Z0-9_-]+\.){3,8}patient(\.[a-zA-Z0-9_-]+){1,2}$"
,Dossier administratif,,,,,Objet qui permet de décrire les données administratives liées au patient,,administrativeFile,0..1,X,administrativeFile,
,,Identifiant(s) patient(s),,,,"Objet qui permet de décrire l'ensemble des identifiants qui permettent d'identifier le patient (autre que le matricule INS, qui ne doit jamais être partagé via cet objet)",,externalId,0..n,X,externalId,
,,,Source  /  type d'identifiant,,,Type de l'identifiant fourni,"NIR, SINUS, SI-VIC, …",source,1..1,,string,NOMENCLATURE: HubSante.typeIdPatient
,,,Identifiant,,,L'identifiant en lui-même,id1234,value,1..1,,string,
,,Médecin traitant ,,,,,,generalPractitioner,0..1,X,generalPractitioner,
,,,Prénom & nom usuel,,,Nom du médecin traitant du patient si connu,,detailedName,1..1,X,detailedName,
,,,,Prénom et nom,,"A valoriser avec le prénom et le nom usuel du requérant/appelant.
Si les champs callerLastName et callerFirstName sont également renseignés, le champ callerName doit être valorisé ainsi : ""{callerFirstName} {callerLastName}"".

Spécificités 15-18  : NexSIS ne dispose que de ces informations (concaténées) et pas de deux champs séparés.",Jean Dupont,complete,1..1,,string,TEMPLATE: {callerLastName} {callerFirstName}
,,,,Nom,,A valoriser avec le nom usuel du requérant,Dupont,lastName,0..1,,string,
,,,,Prénom,,"A valoriser avec le prénom usuel du réquérant.
Par convention les prénoms composés doivent préférablement être séparés par le caractère ""-""",Jean,firstName,0..1,,string,
,,,Identifiant RPPS,,,Numéro RPPS du médecin traitant,10000668540,rppsId,0..1,,string,
,,,Contact médecin,,,Type et valeur des URI utilisées par le patient concerné. Permet de passer une adresse postale concaténée.,,contact,0..n,X,personalContact,
,,,,Type de contact,,A valoriser avec le type de l'URI utilisée.  Cf nomenclature associée.,TEL,type,1..1,,string,NOMENCLATURE: HubSante.typeCom
,,,,URI du contact,,"A valoriser avec la valeur de l'URI utilisée.
Le format attendu pour un numéro de téléphone est le suivant : +{indicatif pays}{numéro de téléphone}.",+33671830530,detail,1..1,,string,
,Identité,,,,,Objet qui permet de décrire l'identité du patient,,identity,0..1,X,Identity,
,,Traits stricts de l'identité,,,,Objet qui permet de décrire les traits stricts de l'identité du patient,,strictFeatures,0..1,X,insStrictFeatures,
,,,Nom de naissance,,,A valoriser avec le nom de naissance du patient. Egalement appelé nom de famille.,Dupont,birthName,0..1,,string,
,,,Date de naissance,,,A valoriser avec la date de naissance du patient,,birthDate,0..1,,date,
,,,Sexe ,,,A valoriser avec le sexe du patient,F,sex,0..1,,string,NOMENCLATURE: HubSante.sexe
,,Traits non stricts de l'identité,# Voir type detailedName,,,"Objet qui permet de décrire les traits stricts de l'identité du patient, c’est-à-dire le nom et le prénom usuels du patient.",,nonStrictFeatures,0..1,X,detailedName,
,Informations patient,,,,,Objet qui permet de décrire les caractéristiques du patient,,detail,0..1,X,patientDetail,
,,Poids,,,,A valoriser avec le poids en kilogrammes,31,weight,0..1,,number,
,,Taille,,,,A valoriser avec la taille en centimètres du patient,109,height,0..1,,number,
,,Age,,,,"A valoriser avec l'age du patient.
Au format ""Durée"" de la norme ISO 8601 (https://fr.wikipedia.org/wiki/ISO_8601#Dur%C3%A9e) et en n'utilisant qu'une seule unité de durée (années, mois, semaines ou jours)",P6Y,age,0..1,,string,"REGEX: ^P[0-9]{1,3}[YMWD]$"
,,Niveau de soin du patient,,,,A valoriser avec le niveau de soins spécifique au patient,R1,careLevel,0..1,,string,NOMENCLATURE: HubSante.niveauSoin
,,Antécédents,,,,"Texte libre  pour décrire les antécédents du patient. 
Si ce n'est pas géré de manière structurés : à afficher dans une note liée au patient en réception. ","Arthrite, asthme",medicalHistory,0..1,,string,
,,Traitements,,,,"Texte libre  pour décrire les traitements du patient.
Si ce n'est pas géré de manière structurés : à afficher dans une note liée au patient en réception. ",Amoxicilline 1 g  et paracétamol 1 g depuis 5 jours.,treatment,0..1,,string,
,Hypothèses de régulation médicale,,,,,Objet qui permet de décrire les hypothèses de régulation médicale,,hypothesis,0..1,X,hypothesis,
,,Hypothèse de régulation médicale principale,# Voir type codeAndLabel,,,Hypothèse diagnostique principale émise par le médecin régulateur du CRAA. Norme CIM10.,,mainDiagnosis,0..1,X,codeAndLabel,"REGEX: ^[A-Z]\d{2}(\.[\d\+\-]{1,3})?$"
,,Hypothèses de régulation médicale secondaires,# Voir type codeAndLabel,,,Hypothèses diagnostiques secondaires émises par le médecin régulateur du CRAA. Norme CIM10.,,otherDiagnosis,0..n,X,codeAndLabel,"REGEX: ^[A-Z]\d{2}(\.[\d\+\-]{1,3})?$"
Observation médicale,,,,,,Observations de nature médicale. ,,medicalNote,0..n,X,medicalNote,
