,code,label_n1,label_n2,Libellé niveau 3,description,commentaire
0,SMUR,Smur,,,"Ensemble des ressources fixes et mobiles relevant de la responsabilité des Smur (UMH, HéliSmur…)",
1,MED,,Medicalisé,,,
2,PARAMED,,Paramédicalisé,,,
3,HOSPIT,Hospitaliers (hors Smur),,,"Ensemble des ressources fixes ou mobiles relevant du secteur hospitalier, public ou privé (établissement de soins, vecteurs sanitaires hospitaliers hors Smur…)",
4,LIB,Professionnels Libéraux,,,"Ensemble des ressources fixes ou mobiles relevant de la prise en charge libérale (médecins libéraux, paramédicaux libéraux, pharmacies, MMG, SOS Médecin…)",
5,MEDC,,Médecin Généraliste,,,
6,PHARMA,,Pharmacien,,,
7,INF,,Infirmier,,,
8,MEDSPE,,Médecin autre spécialité,,,
9,DENT,,Dentiste,,,
10,AUTREPRO,,Autre professionnel de santé,,,
11,TSU ,Ambulanciers privés (Transporteurs Sanitaires Urgent),,,"Ensemble des ressources fixes et mobiles relevant des ambulances privées (ASSU, Ambulanciers…)",
12,SIS,Pompiers,,,"Ensemble des ressources fixes ou mobiles relevant des forces d’intervention Pompiers (VSAV, ISP, VLI, médecin SP…)",
13,MSP,,Medecin Sapeur-Pompier,,,
14,ISP,,Infirmier Sapeur-Pompier,,,
15,SP,,Secouriste,,,
16,AASC,"Sécurité civile, secouriste",,,Ensemble des ressources fixes ou mobiles relevant des organisations de secourisme,
17,FDO,Force de l'Ordre et douanes,,,"Ensemble des ressources fixes ou mobiles relevant des forces de l’ordre (police nationale, municipale, gendarmerie nationaux et douanes)",
18,HELIFSI,,Police Nationale,,,
19,VLFSI,,Gendarmerie Nationale,,,
20,FFSI,,Police Municipale,,,
21,DGDD,,Douane,,,
22,AUTRE,Autres ressources,,,Ensemble des ressources fixes ou mobiles ne relevant d’aucune catégorie précédemment définie,
23,ADM,,Institutions administratives et sociales,,,
24,DAE,,Défibrillateur Automatique,,,
25,INCONNU,,Autre moyen,,,
