,code,label_n1,label_n2,description,commentaire
0,SAV/ASC,Besoin secouriste / personne(s) blesse(es),,Assurer une prise en charge secouriste ,"Lorsque ce type est sélectionné, le champ MISSION.PRIORITY doit être complété pour que le partenaire distingue la prise en charge secouriste non urgente (priorité = 1) de la prise en charge secouriste urgente (priorité = 5). "
1,FSTT/TA/FR_DIFFICULTACCSS,Intervention milieu difficile d'acces,,,
2,GEN/RECVRY,Degagement de personne,,Extraire ou degager une personne,
3,RSC/SAR/FR_VLN,Signalement recherche personne,,Rechercher une personne vulnérable ou égarée,
4,SAV/ASC/FR_PPL/LIFT,Relevage,,Relever une personne,
5,SAV/RHD,Evacuation en hauteur,,,
6,SAV/RTA,Desincarceration,,Désincarcération d'une personne,
7,SAV/SARCSL,Victime ensevelie,,Retrouver une personne ensevelie,
8,FFST/FR_FIRE,Lutte incendie,,Lutter contre l'incendie,
9,FSTT/RRHAZ/FR_CO,Monoxyde carbone,,Détection CO et autre gaz,
10,FSTT/TA/FR_ANI/DGR,Animal dangereux (en détresse ou non),,,
11,FSTT/TA/FR_ANI/INJ,Animal en detresse,,,
12,INT/RECCE/FR_CBRNHZ,Lutte pollution / nrbc,,,
13,INT/RECCE/FR_DIS/LNDSLD,Risque effondrement / mouvement de terrain,,,
14,INT/RECCE/FR_DIS/SDCLPS,Chute de materiaux,,,
15,INT/RECCE/FR_FLD,Risque eau / innondation ,,,
16,INT/RECCE/FR_SMLL,Odeur suspecte,,,
17,FSTT/TA/FR_DRG/MIND,Assistance deminage,,Assistance déminage,
18,FR_MED/REGLTN,Regulation medicale,,Assurer une régulation médicale,
19,GEN/SUPRTN,Soutien medico psychologique,,Assurer un soutien médico psychologique,
20,REC/PRVCNP,Prise en charge sociale,,,
21,RSC/MEDEVC,Evacuation médicale,,,
22,SAV/AR/FR_CNT,Risques infectieux,,,
23,SAV/AR/FR_MED,Medicalisation ou evaluation medicale,,Assurer une prise en charge médicale,
24,SAV/AR/FR_PARAMD,Para medicalisation,,Assurer une prise en charge para médicale,
25,SAV/AR/FR_PPL/GRP,Nombreuses victimes,,Assurer une prise en charge de nombreuses victimes,
26,SAV/AR/FR_PSYPHY,Prise en charge psychologique,,Assurer une prise en charge psychologique,
27,INT/RECCE,Autre,,Autre demande de concours aux pompiers,
28,SAV,Autre,,Autre demande de concours au SAMU,
29,FSTT/TA/FR_TRNSPN/AMB,Carence ambulatoire,,,
30,GEN/TRNSPN,Transport de personne,,Demande de transport d'une personne,"Lorsque le SAMU fait une demande de concours vers un autre partenaire en utilisant ce type, cela doit être interprétée comme une demande de transport d'une personne. 
Lorsqu'un partenaire (ex. SIS) fait une demande de concours vers le SAMU en utilisant ce type, cela doit être interprétée comme une demande de transport médicalisé d'une personne. "
31,GEN/TRNSPN/FR_SECNDRY,Tranfert interetablissement,,Effectuer un transfert interétablissement,
32,OPR/LOG,Brancardage,,Aider au brancardage (aide générique),
33,SAV/AR/FR_PPL/OBS,Transport bariatrique,,Assurer un transport bariatrique,
34,FSTT/TA/FR_CLRACCSS,Ouverture acces ,,Demande d'ouverture d'accés (dans local),
35,C2,Commande et contrôle ,Commande et contrôle ,Commande et contrôle,
36,CBRN,"Activités liées aux substances chimiques, bactériologiques, radioactives et nucléaires ","Activités liées aux substances chimiques, bactériologiques, radioactives et nucléaires ","Activités liées aux substances chimiques, bactériologiques, radioactives et nucléaires",
37,FF,Mission de lutte contre l'incendie ,Mission de lutte contre l'incendie ,Missions de lutte contre l'incendie,
38,FSTT,Intervention technique des services d'incendie ,Intervention technique des services d'incendie ,Intervention technique des services d'incendie,
39,GEN,Activités génériques ,Activités génériques ,Activités génériques,
40,INT,Renseignement ,Renseignement ,Renseignement,
41,MAC,Coopération multi-agences ,Coopération multi-agences ,Coopération multi-agences,
42,MIL,Activités militaires ,Activités militaires ,Activités militaires,
43,NET,Activités de réseau et de télécommunication ,Activités de réseau et de télécommunication ,Activités de réseau et de télécommunication,
44,OPR,Utilisation des ressources opérationnelles ,Utilisation des ressources opérationnelles ,Utilisation des ressources opérationnelles,
45,POL,Activités de police ,Activités de police ,Activités de police,
46,REC,Activités de reconstruction/réhabilitation ,Activités de reconstruction/réhabilitation ,Activités de reconstruction/réhabilitation,
47,RSC,Activités de sauvetage ,Activités de sauvetage ,Activités de sauvetage,
48,SCS,Soutenir la sécurité communautaire ,Soutenir la sécurité communautaire ,Soutenir la sécurité communautaire,
49,SOC,Activités sociales et de communication médiatique ,Activités sociales et de communication médiatique ,Activités sociales et de communication médiatique,
50,C2/DEBRIF,Commande et contrôle ,Débriefing ,"Un examen de la réponse à un incident par l'ensemble des agences impliquées peut être désigné comme un ""débriefing à chaud"" ayant lieu sur le lieu de l'incident avant que les ressources aient quitté la scène.",
51,C2/DNRSKA,Commande et contrôle ,Évaluation dynamique des risques ,Une évaluation du niveau de risque à différentes étapes d'un incident d'urgence.,
52,C2/INASSM,Commande et contrôle ,Évaluation initiale ,"Partie du processus d'évaluation du risque ""dynamique"" réalisée par le commandant des opérations lors de la première intervention.",
53,C2/OIC,Commande et contrôle ,Commande opérationnelle de l'incident ,Système de travail sûr utilisé pour gérer un incident d'urgence.,
54,C2/POA,Commande et contrôle ,Actions post-incident ,Activités suivant un incident telles que l'enquête.,
55,C2/THRTAS,Commande et contrôle ,Évaluation des menaces ,Une composante du processus d'évaluation du risque qui identifie les menaces évaluées pour des actions futures.,
56,CBRN/CBRNCH,"Activités liées aux substances chimiques, bactériologiques, radioactives et nucléaires ","CBRN, décontamination chimique ","La capacité de rendre toute personne, objet ou zone sécurisé en absorbant, détruisant, neutralisant, rendant inoffensif ou en éliminant les agents chimiques.",
57,CBRN/CBRNDC,"Activités liées aux substances chimiques, bactériologiques, radioactives et nucléaires ","CBRN, décontamination ","La capacité de rendre toute personne, objet ou zone sécurisé en absorbant, détruisant, neutralisant, rendant inoffensif ou en éliminant les agents chimiques ou biologiques, ou en éliminant les matières radioactives collant à celles-ci ou à leur environnement.",
58,CBRN/NTRCH,"Activités liées aux substances chimiques, bactériologiques, radioactives et nucléaires ","Neutraliser, chimique ",Sécuriser ou désintoxiquer un objet contaminé par un agent chimique.,
59,CBRN/NUCWS,"Activités liées aux substances chimiques, bactériologiques, radioactives et nucléaires ",Élimination des déchets nucléaires ,Élimination des substances contaminées par des matières nucléaires vers une zone de stockage désignée.,
60,FF/IN,Mission de lutte contre l'incendie ,Lutte contre l'incendie industriel ,Lutte contre l'incendie dans les locaux industriels.,
61,FF/OA,Mission de lutte contre l'incendie ,Lutte contre l'incendie en espace ouvert ,Lutte contre l'incendie en espace ouvert.,
62,FF/SALVAG,Mission de lutte contre l'incendie ,Sauvetage ,Opérations visant à protéger les bâtiments et les biens contre les incendies et les inondations.,
63,FF/STR,Mission de lutte contre l'incendie ,Lutte contre l'incendie structurel ,Lutte contre l'incendie dans les structures et les bâtiments.,
64,FF/TRP,Mission de lutte contre l'incendie ,Lutte contre l'incendie de transport ,Lutte contre l'incendie impliquant des transports.,
65,FSTT/DI,Intervention technique des services d'incendie ,Intervention en cas de catastrophe ,Réponse aux catastrophes et fourniture de services d'urgence.,
66,FSTT/RRHAZ,Intervention technique des services d'incendie ,Contrôle et/ou réduction des risques dans les incidents liés aux matières dangereuses ,Gestion des matières dangereuses lors des incidents.,
67,FSTT/TA,Intervention technique des services d'incendie ,Assistance technique à la communauté ou à d'autres services publics ,Fournir une assistance technique dans une situation d'urgence.,
68,GEN/AIRLAU,Activités génériques ,Activité de lancement d'aéronefs ,L'occurrence du décollage d'un ou de plusieurs aéronefs.,
69,GEN/ASSMBL,Activités génériques ,Assemblage ,Réunion de plusieurs objets dans la même zone.,
70,GEN/CRWDCT,Activités génériques ,Contrôle de foule ,Restriction du mouvement d'un grand groupe de personnes.,
