code;label_n1;label_n2;label_n3;description;commentaire
C01.00.00;Accident de la circulation;;;;Accidents de circulation : gendarmerie/police/pompiers/SAMU sont les entités concernées si au moins une victime. Si aucune victime, l’entité concernée est la gendarmerie ou la police.
C01.01.00;;Accident routier;;;
C01.01.01;;;Véhicule léger, fourgon;Catégorie de véhicules qui regroupe les voitures de tourisme et les véhicules utilitaires (jusqu'à 3,5 tonnes);
C01.01.02;;;Camion de marchandises;Poids lourd de plus de 3,5 tonnes affecté au transport de biens et embarquant donc un nombre réduit de passagers;
C01.01.03;;;Bus car autocar;Véhicule de grande dimension affecté au transport de passagers;
C01.01.04;;;2-roues;Tout véhicule à deux roues, avec ou sans moteur (bicyclette, cyclomoteur, motocyclette, …);L’implication d'un 2 roues « l'emporte » sur les autres types de moyens routiers
C01.01.05;;;Piéton;;
C01.01.06;;;Carambolage;Série de chocs, de collisions impliquant 4 véhicules et plus;
C01.02.00;;Accident ferroviaire;;;
C01.02.01;;;Train de voyageurs;Tout moyen de transport de personnes par voie ferroviaire;L’implication d'un train « l'emporte » sur les moyens routiers
C01.02.02;;;Train de marchandises;Tout moyen de transport de marchandises par voie ferroviaire;
C01.03.00;;Accident maritime ou fluvial;;;
C01.03.01;;;Bateau de voyageurs;Tout moyen de transport de personnes par voie maritime, avec ou sans moteur (voilier, navire de plaisance, paquebot de croisière, …);
C01.03.02;;;Bateau de marchandises;Tout moyen de transport de marchandises par voie maritime, avec ou sans moteur (barque, navire de pêche, cargo, …);
C01.04.00;;Accident aérien;;;
C01.04.01;;;Aéronef de marchandises;Tout moyen de transport de marchandises par voie aérienne embarquant au moins 1 pilote à son bord;
C01.04.02;;;Aéronef de voyageurs;Tout moyen de transport de personnes par voie aérienne embarquant au moins 1 pilote à son bord;
C01.04.03;;;Aéronef militaire;Tout moyen de transport militaire par voie aérienne embarquant au moins 1 pilote à son bord;
C01.04.04;;;Drone;Petit avion sans équipage embarqué, télécommandé ou programmé;
C01.05.00;;Autre type d’accident de circulation;;;
C02.00.00;Atteinte aux personnes;;;;
