,code,label_n1,Libellé niveau 2,Libellé niveau 3,description,commentaire
0,OK,Accord du service d'orientation,,,Devenir issu de la décision d'orientation + modalité d'exécution,
1,TEMP,Accord sous condition (en attente d'avis ou d'examen complémentaire ou d'affectation vers le service adapté),,,Devenir issu de la décision d'orientation + modalité d'exécution,
2,SEUL,Laissé seul,,,Devenir issu de la décision d'orientation + Type de laissé sur place,
3,AFAMILLE,Laissé à la famille ou entourage,,,Devenir issu de la décision d'orientation + Type de laissé sur place,
4,AMED,Confié à un médecin,,,Devenir issu de la décision d'orientation + Type de laissé sur place,
5,AFDO,Confié aux Forces de l'ordre,,,Devenir issu de la décision d'orientation + Type de laissé sur place,
6,ATIERS,Confié à autre personne ,,,Devenir issu de la décision d'orientation + Type de laissé sur place,
7,MOYPERSO,Retour à domicile - Transporté par ses propres moyens,,,Devenir issu de la décision d'orientation + mode de transport,
8,Code vecteur choisi,Retour à domicile - Transporté par le vecteur d'intervention ou de transport envoyé par le CRRA,,,Devenir issu de la décision d'orientation + mode de transport,
9,REFPAT,"Retour à domicile - Refus du patient, patient laissé sur place",,,Devenir issu de la décision d'orientation + motif de refus,
10,REFFAM,"Retour à domicile - Refus de l'entourage, patient laissé sur place",,,Devenir issu de la décision d'orientation + motif de refus,
11,PASREAKO,DCD sans réanimation - non examiné par médecin,,,Devenir issu de l'information relative au décès du patient,
12,PASREAOK,DCD sans réanimation - examiné par médecin,,,Devenir issu de l'information relative au décès du patient,
13,REA,DCD après réanimation ,,,Devenir issu de l'information relative au décès du patient,
14,TRANSPOR,DCD pendant le transport,,,Devenir issu de l'information relative au décès du patient,
15,ADM,DCD à son admission,,,Devenir issu de l'information relative au décès du patient,
16,FUGUE,"Fugue, le patient n'est plus sur les lieux",,,Devenir issu de la décision d'orientation + motif de refus,
17,REFAUTRE,Autres refus orientation,,,Devenir issu de la décision d'orientation + motif de refus,
18,RAS,Pas de prise en charge nécessaire,,,Devenir issu de la décision d'orientation + Type de laissé sur place,
