code;label_n1;label_n2;description;commentaire
COAST;Zone côtière;;La terre adjacente à la mer, le rivage.;
INW;Voie navigable intérieure;;Un plan d'eau, tel qu'une rivière, un canal ou un lac. Il peut être navigable s'il est suffisamment profond et large pour qu'un navire puisse passer sans obstacles.;
NAT;Environnement naturel/rural;;Environnement naturel/rural;
OSEA;Haute mer;;Haute mer;
OTH;Autre;;Autre;
PRIVAT;Privé;;L'emplacement de l'événement est une propriété privée, ce qui signifie que l'accès à l'emplacement peut nécessiter l'autorisation du propriétaire.;
RAIL;Infrastructure ferroviaire;;Infrastructure ferroviaire;
ROAD;Infrastructure routière;;Surface lissée ou pavée, conçue pour le déplacement par véhicule motorisé et autres véhicules.;
UDGN;Souterrain;;Lieu souterrain;
URB;Zone urbaine;;Lieu en zone urbaine;
COAST/BNK;Zone côtière;Plage/bord de l'eau;Limite entre la terre et l'eau;
COAST/CLF;Zone côtière;Falaise;Soit l'incident se trouve sur la falaise, soit sur une bande étroite entre la falaise et l'eau.;
COAST/CSTW;Zone côtière;Eaux côtières;La mer, mais avec des dangers potentiels de navigation. Entre la haute mer et la terre.;
COAST/EST;Zone côtière;Estuaire;Eau libre, mais avec des dangers de navigation dépendant des marées. Eaux de marée à l'embouchure d'une rivière ou d'un fjord.;
COAST/FEN;Zone côtière;Fen;Un accès en bateau est probablement nécessaire dans les zones humides avec de l'eau libre.;
INW/BOG;Voie navigable intérieure;Marais;Accès difficile aux zones humides avec peu d'eau libre.;
INW/CAN;Voie navigable intérieure;Canal;Voie navigable, potentiellement avec un accès en bord de l'eau. Voie navigable artificielle.;
INW/ICELK;Voie navigable intérieure;Lac gelé;Lac ou étang recouvert de glace;
INW/LKE;Voie navigable intérieure;Lac;Lac ou étang, y compris un loch et une mer intérieure;
INW/RIV;Voie navigable intérieure;Rivière;Traversée limitée par des ponts ou en bateau. Supérieure à 5 mètres.;
NAT/CRP;Environnement naturel/rural;Culture;Terres arables;
NAT/GRS;Environnement naturel/rural;Prairie;Pâturages et prairies ouvertes, y compris les parcs.;
NAT/HFR;Environnement naturel/rural;Forêt dense;Caractérisée par une forêt dense, avec des arbres généralement de plus de 20 mètres. Accès par la route uniquement.;
NAT/HLS;Environnement naturel/rural;Coteau;Zones montagneuses avec un accès routier limité;
NAT/HMT;Environnement naturel/rural;Haute montagne;Montagne au-dessus de la zone accessible par un véhicule;
NAT/LMT;Environnement naturel/rural;Versant de montagne;Zones montagneuses avec un accès routier limité;
NAT/SSSI;Environnement naturel/rural;Sites d'intérêt scientifique;Sites désignés d'intérêt scientifique spécial (SDISS);
OSEA/OFF;Haute mer;;L'installation est en mer, y compris les plates-formes pétrolières et gazières, les plates-formes d'hébergement associées. Également des jetées.;
OTH/CUT;Autre;Découpe;Accès limité sur le côté, peut présenter un risque d'incendie. Une route, une voie ferrée ou un canal en contrebas du niveau du sol.;
OTH/ELV;Autre;Section surélevée;Pas d'accès sur les côtés. Une route, une voie ferrée ou un canal surélevé par rapport au niveau du sol normal par un pont ou un viaduc.;
OTH/EMB;Autre;Section surélevée par remblai;L'accès est limité sur le côté, peut présenter un risque d'incendie. Une route, une voie ferrée ou un canal surélevé par un remblai.;
OTH/LFR;Autre;Bois;Caractérisée par une forêt ouverte. Peu d'accès pour les véhicules hors route.;
OTH/SRB;Autre;Broussaille;Caractérisée par des buissons et des arbres occasionnels. Accès limité potentiel pour les véhicules.;
PRIVAT/OWNRSC;Privé;;Propriété privée appartenant à une organisation qui possède une équipe de secours privée (par exemple, un site industriel avec un service d'incendie interne).;
RAIL/TRK;Voie ferrée;;La voie ferrée limite l'accès sur les côtés et est difficile à parcourir. Une voie ferrée à écartement standard.;
ROAD/1RD;Infrastructure routière;Route à sens unique;Route à sens unique, limitant la direction d'accès. Une route à sens unique (qui ne fait pas partie d'une voie à double sens), y compris les bretelles d'accès sur les échangeurs.;
ROAD/DCA;Infrastructure routière;Voie à double sens;Voie à double sens, y compris une autoroute ou une autoroute de manière à ce que l'approche soit dans une direction appropriée. Une route divisée en deux, de sorte que la traversée des voies n'est pas pratique.;
ROAD/NOR;Infrastructure routière;Terrain libre;Zone sans route ou chemin, mais pouvant être accessible en partie à la plupart des véhicules. Une zone que les véhicules routiers peuvent être en mesure de traverser, mais sans route ou chemin.;
ROAD/PTH;Infrastructure routière;Chemin;Sentier pédestre. Un itinéraire inadapté aux véhicules routiers.;
ROAD/RRD;Infrastructure routière;Route restreinte;Route non adaptée à tous les véhicules, par exemple en raison d'un pont bas. Une route avec une restriction notifiée sur la circulation, telle qu'une restriction de hauteur, une restriction de poids, etc.;
ROAD/SRD;Infrastructure routière;Route secondaire;Route secondaire qui peut limiter l'accès aux gros véhicules, au trafic ou empêcher les véhicules de tourner. Une route qui est limitée par sa largeur, ou, dans les zones urbaines, par des voitures garées, de sorte que la circulation dans un sens doit permettre à la circulation dans l'autre sens de passer.;
ROAD/TRK;Infrastructure routière;Chemin de roulement;Hors route, mais avec une surface dure pour les véhicules. Un chemin non goudronné qui est praticable par des véhicules légers.;
UDGN/MIN;Souterrain;Mine;Travaux souterrains, éventuellement abandonnés;
UDGN/TUN;Souterrain;Tunnel;Tunnel. Une route, une voie ferrée ou un canal dans un tunnel.;
UDGN/UND;Souterrain;Bâtiment souterrain;Bâtiment souterrain/zone commerciale/industrielle;
URB/ASR;Zone urbaine;Zone d'assemblage;Une zone d'assemblage ou récréative;
URB/HOSP;Zone urbaine;Hôpital;Établissement de santé (hôpital, maison de retraite, etc.);
URB/IND;Zone urbaine;Zone industrielle;Zone industrielle;
URB/MALL;Zone urbaine;Centre commercial;L'emplacement de l'événement est un centre commercial;
URB/OFF;Zone urbaine;Zone de bureaux;Zone de bureaux;
URB/PRK;Zone urbaine;Emplacement de parc;Emplacement de parc;
URB/RES;Zone urbaine;Zone résidentielle;Zone résidentielle (maison, habitation résidentielle, etc.);
URB/STRT;Zone urbaine;Rue;Zone publique (rue, par exemple);
