,code,label_n1,label_n2,description,commentaire
0,EO.01.01,SECURITE PUBLIQUE,INDIVIDU(S) VIOLENT(S) NON ARME(S),,
1,EO.01.02,SECURITE PUBLIQUE,INDIVIDU(S) VIOLENT(S) ARME(S),,
2,EO.01.03,SECURITE PUBLIQUE,DECOUVERTE ARME / OBJET DANGEREUX,,
3,EO.01.04,SECURITE PUBLIQUE,BESOIN DEMINAGE,,
4,EO.01.05,SECURITE PUBLIQUE,IPM,,
5,EO.01.06,SECURITE PUBLIQUE,CONSTATATIONS / ENQUETE,,
6,EO.01.07,SECURITE PUBLIQUE,ASSISTANCE DEMINAGE,,
7,EO.02.01,PROTECTION & SOUTIEN,PERIMETRE DE SECURITE,,
8,EO.02.02,PROTECTION & SOUTIEN,SECURISATION PARTENAIRES INTERVENANTS,,
9,EO.02.03,PROTECTION & SOUTIEN,ESCORTE / ASSISTANCE CIRCULATION PARTENAIRE,,
10,EO.02.04,PROTECTION & SOUTIEN,GESTION CIRCULATION ROUTIERE,,
11,EO.02.05,PROTECTION & SOUTIEN,BESOIN SECOURISTE / PERSONNE(S) BLESSE(ES),,
12,EO.03.01,TRANSPORT,TRANSPORT DE PERSONNE,,
13,EO.03.02,TRANSPORT,TRANSPORT BARIATRIQUE,,
14,EO.03.03,TRANSPORT,BRANCARDAGE,,
15,EO.03.04,TRANSPORT,CARENCE AMBULATOIRE,,
16,EO.03.05,TRANSPORT,TRANSFERT INTERETABLISSEMENT ,,
17,EO.04.01,SECOURS A LA PERSONNE,OUVERTURE ACCES DANS LOCAL,,
18,EO.04.02,SECOURS A LA PERSONNE,RECHERCHE PERSONNES,,
19,EO.04.03,SECOURS A LA PERSONNE,SIGNALEMENT RECHERCHE PERSONNES,,
20,EO.04.04,SECOURS A LA PERSONNE,VICTIME ENSEVELIE,,
21,EO.04.05,SECOURS A LA PERSONNE,PRISE EN CHARGE PERSONNES VULNERABLES,,
22,EO.04.06,SECOURS A LA PERSONNE,INFORMATION SIGNALEMENT AUTEUR,,
23,EO.04.07,SECOURS A LA PERSONNE,DESINCARCERATION,,
24,EO.04.08,SECOURS A LA PERSONNE,DEGAGEMENT DE PERSONNE,,
25,EO.04.09,SECOURS A LA PERSONNE,EVACUATION EN HAUTEUR,,
26,EO.04.10,SECOURS A LA PERSONNE,INTERVENTION MILIEU DIFFICILE D'ACCES,,
27,EO.04.11,SECOURS A LA PERSONNE,RELEVAGE,,
28,EO.05.01,SOINS D'URGENCE,ANALYSE MEDICO ADMINISTRATIVE,,
29,EO.05.02,SOINS D'URGENCE,NOMBREUSES VICTIMES,,
30,EO.05.03,SOINS D'URGENCE,MEDICALISATION OU EVALUATION MEDICALE,,
31,EO.05.04,SOINS D'URGENCE,PRISE EN CHARGE SECOURISTE,,
32,EO.05.05,SOINS D'URGENCE,RISQUES INFECTIEUX,,
33,EO.05.06,SOINS D'URGENCE,SOUTIEN MEDICO PSYCHOLOGIQUE ???,,
34,EO.05.07,SOINS D'URGENCE,PRISE EN CHARGE SOCIALE,,
35,EO.05.08,SOINS D'URGENCE,PARA MEDICALISATION,,
36,EO.06.01,"SECOURS RISQUE INCENDIE,  TECHNOLOGIQUE ET NATUREL",LUTTE INCENDIE,,
37,EO.06.02,"SECOURS RISQUE INCENDIE,  TECHNOLOGIQUE ET NATUREL",ODEUR SUSPECTE,,
38,EO.06.03,"SECOURS RISQUE INCENDIE,  TECHNOLOGIQUE ET NATUREL",LUTTE POLLUTION / NRBC,,
39,EO.06.04,"SECOURS RISQUE INCENDIE,  TECHNOLOGIQUE ET NATUREL",RISQUE TECHNOLOGIQUE,,
40,EO.06.05,"SECOURS RISQUE INCENDIE,  TECHNOLOGIQUE ET NATUREL",CHUTE DE MATERIAUX,,
41,EO.06.06,"SECOURS RISQUE INCENDIE,  TECHNOLOGIQUE ET NATUREL",RISQUE EFFONDREMENT / MOUVEMENT DE TERRAIN,,
42,EO.06.07,"SECOURS RISQUE INCENDIE,  TECHNOLOGIQUE ET NATUREL",RISQUE EAU,,
43,EO.06.08,"SECOURS RISQUE INCENDIE,  TECHNOLOGIQUE ET NATUREL",ANIMAL DANGEREUX ET/OU EN DETRESSE,,
44,EO.07.01,TOUTE SITUATION,INFORMATION FAMILLE VICTIMES,,
45,EO.07.02,TOUTE SITUATION,AUTRE,,
