,code,label_n1,label_n2,label_n3,description,commentaire
0,DRM,DRM,,,Dossier de régulation médicale,
1,DRMMRU,,DRM MRU,,Dossier de type médecine d’urgence,
2,MU,,,Régulation MU,Dossier de type médecine d’urgence régulé par un médecin urgentiste. Le dossier devient de type DRM,
3,DENT,,,Régulation dentaire,Dossier régulé par un chirurgien dentiste au sein du CRRA. Le dossier devient de type DRM,
4,GERIA,,,Régulation gériatrique,Dossier régulé par un gériatre au sein du CRRA. Le dossier devient de type DRM,
5,PEDIA,,,Régulation pédiatrie,Dossier régulé par un pédiatre au sein du CRRA. Le dossier devient de type DRM,
6,PSY,,,Régulation psychiatrie,Dossier régulé par un psychiatre au sein du CRRA. Le dossier devient de type DRM,
7,TOXICOL,,,Régulation toxicologique,Dossier régulé par un toxicologue au sein du CRRA. Le dossier devient de type DRM,
8,INDISPMU,,,Régulation ML par indisponibilité MU,Dossier de type médecine d'urgence régulé par un médecin libéral du fait de l’indisponibilité des MU. Le dossier devient de type DRM,
9,SSE,,,Régulation de crise - NOVI,Dossier relevant de la gestion de crise – NOmbreuses Victimes. Le dossier devient de type DRM,
10,PLANBLAN,,,Régulation Plan Blanc,Dossier régulé dans le cadre d’ un dispositif plan blanc. Le dossier devient de type DRM,
11,PCSAMU,,,Régulation par un PC mobile,Dossier régulé depuis un poste de commandement  mobile. Le dossier devient de type DRM,
12,DRMMRL,,DRM MRL,,Dossier de type médecine libérale,
13,MG,,,Régulation ML,Dossier de type médecine libérale régulé par un médecin libéral. Le dossier devient de type DRM,
14,INDISPMG,,,Régulation MU par indisponibilité ML,Dossier de type médecine libérale régulé par un médecin urgentiste du fait de l’indisponibilité des ML. Le dossier devient de type DRM,
15,ABSML,,,Régulation MU par absence de régulation ML,Dossier de type médecine libérale régulé par un médecin urgentiste du fait de l’absence de régulation ML. Le dossier devient de type DRM,
16,DR,DR,,,Dossier de régulation,
17,DREG,,Dossier Régulation,,Dossier de régulation,
18,DRARM,,,Pas d’acte de régulation médicale - Prise en charge ARM,Dossier ne relevant pas de la régulation médicale et pas dans le cadre des autre cas identifié (voir cas suivant). Le dossier est de type DR,
19,DRMED,,,Pas d’acte de régulation médicale - Transmission d'informations sur un médecin (procédure dégradée),Dossier ne relevant pas de la régulation médicale – réponse apportée à une demande de renseignements sur un médecin. Le dossier est de type DR,
20,DRPHARMA,,,Pas d’acte de régulation médicale - Transmission d'informations sur une pharmacie,Dossier ne relevant pas de la régulation médicale – réponse apportée à une demande de renseignements sur une pharmacie. Le dossier est de type DR,
21,DRDENT,,,Pas d’acte de régulation médicale - Transmission d'informations sur un dentiste,Dossier ne relevant pas de la régulation médicale – réponse apportée à une demande de renseignements sur un dentiste. Le dossier est de type DR,
22,DRINFO,,,Pas d’acte de régulation médicale - Information générale,Dossier ne relevant pas de la régulation médicale – réponse apportée à une demande de renseignements d’ordre général. Le dossier est de type DR,
23,DOS-SIS,,,Pas d’acte de régulation médicale - Appel pour les pompiers,Dossier ne rentrant pas dans le cadre des missions du Samu et confié aux pompiers. Le dossier est de type DR,
24,DOS-FDO,,,Pas d’acte de régulation médicale - Appel pour les forces de l’ordre,Dossier ne rentrant pas dans le cadre des missions du Samu et confié aux forces de l'ordre. Le dossier est de type DR,
25,D,D,,,Dossier,
26,D-MALV,,Erreur / Malveillant,,Dossier de type erreur ou appel malveillant,
27,ERR,,,"Erreur de numéro, erreur d'acheminement",Le requérant s’est trompé de numéro de téléphone ou a mal été orienté par un interlocuteur précédent. Le dossier reste de type D,
28,NRP,,,Appel raccroché / pas de réponse ,L’appel est raccroché ou sans réponse de l’appelant à l’ouverture du dossier. Le dossier reste de type D,
29,MALV,,,"Appel malveillant, canular","Appel malveillant : insultes, canular, fausses informations. Il ne s’agit pas d’une erreur de numéro. Le dossier reste de type D",
30,FAX,,,"Tonalité de fax, porteuse",Tonalité de fax ou d’une porteuse  présente au décroché. Le dossier reste de type D,
31,ITERATIF,,,"Dossier existant, appel itératif (hors SI-Samu)",Appels pour un dossier déjà existant. Entraine la recherche et l’ouverture du dossier préexistant avec rattachement de l’appel à ce dossier (option à supprimer dès l'intégration au SI-Samu),
32,D-IDENT,,Appel identifié,,Dossier en rapport avec un appel qui n'est ni un DR ni un DRM,
33,ADMIN,,,Appel administratif,Dossier ne relevant pas de la régulation médicale – et concerne la gestion administrative d’un dossier clôturé. Le dossier reste de type D,
34,PERSO,,,Appel personnel,L’appel concerne une communication pour un membre du personnel et a un caractère privé. Le dossier reste de type D,
35,AUTRE,,,Autre type d’appel,"Autre type d’appel non régulé et relevant pas d’un problème médical, social ou sanitaire. Le dossier reste de type D",
