,code,label_n1,label_n2,label_n3,description,commentaire
0,FAC,Facilité,,," Un terme désignant quelque chose de conçu, construit, installé, etc., pour servir une fonction spécifique offrant une commodité ou un service.",
1,HUM,Ressources humaines,,," Une source de soutien ou d'aide, en particulier, celle qui peut être facilement sollicitée en cas de besoin.",
2,MAT,Matériel,,, Une substance ou des substances dont une chose est faite ou composée pour être fournie en soutien et en assistance en cas d'urgence.,
3,ORG,Organisation,,, Une organisation qui fournit un soutien ou une assistance en cas d'urgence.,
4,FAC/BRIDGE,Facilité,Pont,," Une structure qui enjambe et permet le passage au-dessus d'une rivière, d'un gouffre, d'une route, ou similaire.",
5,FAC/BUILDN,Facilité,Bâtiment,," Une structure permanente ou temporaire offrant une construction fermée sur un terrain, ayant un toit et généralement des fenêtres, et souvent plusieurs niveaux, utilisée pour une grande variété d'activités, comme la vie, le divertissement, ou la fabrication.",
6,FAC/DEPOT,Facilité,Dépôt,," ""Un endroit où les fournitures et les matériaux sont stockés en vue de leur distribution.""",
7,FAC/NETWK,Facilité,Réseau,, Réseau,
8,FAC/OPR,Facilité,Installation opérationnelle,, Installation opérationnelle,
9,FAC/OTH,Facilité,Autre type d'installation,, Autre type d'installation,
10,FAC/WATFIR,Facilité,Approvisionnements en eau et en mousse,, Approvisionnements en eau et en mousse,
11,FAC/BRIDGE/MILVHL,Facilité,Pont,"Militaire, lancé depuis un véhicule", Un pont transporté sur un véhicule et déployé depuis le véhicule pour une utilisation immédiate.,
12,FAC/BUILDN/BARRCK,Facilité,Bâtiment,Caserne, Un bâtiment ou un groupe de bâtiments utilisé pour loger des personnes.,
13,FAC/BUILDN/BUNKER,Facilité,Bâtiment,Bunker, Une chambre fortifiée.,
14,FAC/BUILDN/COB,Facilité,Bâtiment,Bâtiment de communications, Un bâtiment dans lequel les signaux de communication sont traités ou contrôlés.,
15,FAC/BUILDN/CTT,Facilité,Bâtiment,Tour de contrôle," Une structure semblable à une tour qui abrite les personnes et l'équipement utilisés pour contrôler la circulation aérienne, ferroviaire, ou maritime.",
16,FAC/BUILDN/DAM,Facilité,Bâtiment,Barrage/écluse, Une barrière permanente traversant un cours d'eau utilisée pour retenir l'eau ou en contrôler l'écoulement.,
17,FAC/BUILDN/GYMNAS,Facilité,Bâtiment,Gymnase, Bâtiment utilisé pour des activités sportives.,
18,FAC/BUILDN/HANGAR,Facilité,Bâtiment,Hangar," Un espace couvert, un hangar ou un abri.",
19,FAC/BUILDN/HOUSE,Facilité,Bâtiment,Maison, Un logement utilisé comme résidence pour une ou plusieurs personnes.,
20,FAC/BUILDN/HUT,Facilité,Bâtiment,Cabane, Une petite maison simple ou rudimentaire.,
21,FAC/BUILDN/INDINS,Facilité,Bâtiment,Installation industrielle, Une installation contenant des usines et/ou des installations productives.,
22,FAC/BUILDN/OFFICE,Facilité,Bâtiment,Bureau," Un endroit où des activités commerciales, professionnelles ou de secrétariat sont menées.",
23,FAC/BUILDN/SCHOOL,Facilité,Bâtiment,École, Une institution où l'enseignement est dispensé - Bâtiment éducatif.,
24,FAC/BUILDN/SHD,Facilité,Bâtiment,Hangar," Une installation de stockage généralement caractérisée par un ou plusieurs côtés ouverts, des piliers de soutien et un toit.",
25,FAC/BUILDN/SHLSUR,Facilité,Bâtiment,Abri de surface," Une structure fortifiée construite en surface, utilisée pour abriter du personnel et/ou de l'équipement.",
26,FAC/BUILDN/SHLUND,Facilité,Bâtiment,Abri souterrain," Une structure fortifiée construite sous terre, utilisée pour abriter du personnel et/ou de l'équipement.",
27,FAC/BUILDN/SHOP,Facilité,Bâtiment,Boutique, Un petit magasin de détail ou un département spécialisé dans un grand magasin.,
28,FAC/BUILDN/TOW,Facilité,Bâtiment,Tour (non de communications), Une structure relativement haute.,
29,FAC/BUILDN/TUN,Facilité,Bâtiment,Tunnel," Un passage souterrain ou sous-marin, ouvert aux deux extrémités.",
30,FAC/BUILDN/WALL,Facilité,Bâtiment,Mur, Une structure verticale continue.,
31,FAC/BUILDN/WTW,Facilité,Bâtiment,Château d'eau, Un conteneur surélevé et sa structure de support utilisés pour stocker de l'eau.,
32,FAC/DEPOT/BIO,Facilité,Dépôt,Dépôt biologique, Une zone utilisée pour le stockage d'agents biologiques.,
33,FAC/DEPOT/CBRN,Facilité,Dépôt,Dépôt CBRN," Une zone utilisée pour le stockage d'agents nucléaires, biologiques ou chimiques.",
34,FAC/DEPOT/CHM,Facilité,Dépôt,Dépôt chimique, Une zone utilisée pour le stockage de produits chimiques.,
35,FAC/DEPOT/ENG,Facilité,Dépôt,Dépôt du génie, Une zone utilisée pour le stockage d'équipements de génie.,
36,FAC/DEPOT/MED,Facilité,Dépôt,Dépôt médical, Une zone utilisée pour le stockage de fournitures médicales.,
37,FAC/DEPOT/MUN,Facilité,Dépôt,Dépôt de munitions, Une zone utilisée pour le stockage de munitions.,
38,FAC/DEPOT/POL,Facilité,Dépôt,"Dépôt de carburants, huiles et lubrifiants"," Une zone utilisée pour le stockage de pétrole, d'huile et/ou de lubrifiants.",
39,FAC/NETWK/ADSL,Facilité,Réseau,ADSL, Ligne d'abonné numérique asynchrone : un réseau de connexion de données à haut débit.,
40,FAC/NETWK/ATM,Facilité,Réseau,Réseau de communication à commutation de modes asynchrones," La commutation de modes asynchrones (ATM) est un réseau de commutation de cellules et un protocole de couche de liaison de données qui encode le trafic de données en cellules de taille fixe (53 octets, dont 48 octets de données et 5 octets d'informations d'en-tête).",
41,FAC/NETWK/CTZALT,Facilité,Réseau,Alerte aux citoyens, Alerte ou avertissement aux citoyens souvent par diffusion radio.,
42,FAC/NETWK/EMGNWK,Facilité,Réseau,Réseau de communication d'urgence, Un réseau téléphonique privé assure un système de communication robuste entre les organismes d'intervention.,
