code;label_n1;label_n2;label_n3;description;commentaire
L01.00.00;Domicile;;;;
L01.01.00;;Maison particulière, pavillon;;;
L01.01.01;;;A l'intérieur;Enceinte fermée et couverte dont l’accès est potentiellement verrouillé;A renseigner en l’absence d’information plus précise sur la pièce où se situe la personne concernée
L01.01.02;;;A l'extérieur;Abords, terrasse, jardin, … non couvert;
L01.01.03;;;Piscine, bassin;Privée, enterrée ou non, fixe ou non;
L01.01.04;;;Dépendance;Abri indépendant du domicile de type garage, atelier, abri de jardin, grange, etc.;
L01.02.00;;Lieu d'habitation collectif ou foyer d'hébergement;;;
L01.02.01;;;A l'intérieur de l'immeuble (sans précision);Enceinte fermée et couverte dont l’accès est potentiellement verrouillé;A renseigner en l’absence d’information plus précise sur la pièce où se situe la personne concernée
L01.02.02;;;A l'extérieur;Abords, terrasse, jardin, … non couvert;
L01.02.03;;;Appartement;;
L01.02.04;;;Entrée, couloir, espaces communs (hors escalier);;
L01.02.05;;;Ascenseur;;
L01.02.06;;;Cave, sous-sol, garage, parking;;
L01.02.07;;;Toiture;;
L01.02.08;;;Comble;;
L01.02.09;;;Piscine;Privée, enterrée ou non, fixe ou non;
L01.02.10;;;Escaliers;;
L01.02.11;;;Local technique (chaufferie, gaine d'ascenseur);;
L01.02.12;;;Dépendance;Abri indépendant du domicile de type garage, atelier, abri de jardin, grange, etc.;
L01.03.00;;Habitat spécifique;;;
L01.03.01;;;Péniche;;
L01.03.02;;;Mobil-home;;
L01.03.03;;;Habitat précaire;;
L01.04.00;;Autre type de domicile;;;
L02.00.00;Circulation/transport;;;;
L02.01.00;;Voie publique hors voie rapide;;Voie sans aucune séparation de chaussée;
L02.02.00;;Voie rapide;;;
L02.02.01;;;Voie rapide hors autoroute;Voie rapide présentant au moins 2 X 2 voies;
L02.02.02;;;Voie d’autoroute;;
L02.02.03;;;Aire de repos ou de service;;
L02.02.04;;;Hôtel sur autoroute;;
L02.02.05;;;Tunnel;;
L02.03.00;;Voie ferrée;;;
L02.03.01;;;Voie ferrée souterraine ou couverte;;
L02.03.02;;;Voie ferrée aérienne;;
L02.03.03;;;Tunnel;;
L02.04.00;;Voie fluviale;;;
L02.05.00;;A bord d’un moyen de transport;;;
L02.05.01;;;Véhicule léger, fourgon;Catégorie de véhicules qui regroupe les voitures de tourisme et les véhicules utilitaires (jusqu'à 3,5 tonnes);
L02.05.02;;;Véhicule routier de marchandises;Poids lourd de plus de 3,5 tonnes affecté au transport de biens et embarquant donc un nombre réduit de passagers;
L02.05.03;;;Véhicule routier de transport en commun;Véhicule de grande dimension affecté au transport de passagers (Bus car autocar);
