,code,label_n1,label_n2,description,commentaire
0,/SAV/ASC,BESOIN SECOURISTE / PERSONNE(S) BLESSE(ES),Demander une prise en charge secouriste ,S'agit d'une demande d'engagement de ressources en vue de prendre en charge un patient/victime par des secouristes,"Lorsque ce type est sélectionné, le champ MISSION.PRIORITY doit être complété pour que le partenaire distingue la prise en charge secouriste non urgente (priorité = 1) de la prise en charge secouriste urgente (priorité = 5). "
1,/FR_MED/REGLTN,REGULATION MEDICALE,Demander une régulation médicale,S'agit d'une demande de solicitation du SAMU en vue s'assurer une régulation médicale pour engager ou non des ressources,
2,/GEN/SUPRTN,SOUTIEN MEDICO PSYCHOLOGIQUE,Demander un soutien médico psychologique,S'agit d'une demande d'engagement de ressources en vue d'apporter à un patient/victime un soutien médico psychologique,
3,/SAV/AR/FR_MED,MEDICALISATION OU EVALUATION MEDICALE,Demander une prise en charge médicale,S'agit d'une demande d'engagement de ressources en vue de prendre en charge un patient/victime par une équipe médicale,
4,/SAV/AR/FR_PARAMD,PARA MEDICALISATION,Demander une prise en charge para médicale,S'agit d'une demande d'engagement de ressources en vue de prendre en charge un patient/victime par une équipe para médicale,
5,/SAV,AUTRE,Autre demande de concours au SAMU,"S'agit d'une demande au SAMU, autre que celles déjà existants (ex. prise en charge d'un problème médico social)",
6,/GEN/TRNSPN,TRANSPORT DE PERSONNE,Demander le transport d'une personne,S'agit du transport d'un patient/victime vers un établissement de santé (ES) à l'aide d'un moyen adapté. ,
7,/SAV/SARCSL,VICTIME ENSEVELIE,Demander la recherche de personne(s) ensevelie(s),"Patient/Victime piégé sous des matériaux/matières dont l'abord est rendu difficile (ex. avalanche, silo à grain, fontis, structure, etc.)",
8,/SAV/ASC/FR_PPL/LIFT,RELEVAGE,Demander de relever une personne,Patient/victime au sol dans l'incapacité de se relever par elle-même ou l'aide de ses proches.,
9,/GEN/RECVRY,DEGAGEMENT DE PERSONNE,Demander d'extraire ou degager une personne,"Patient/victime bloqué à libérer (ex. désincarcération, personne dans un ascenseur, etc.).",
10,/SAV/RHD,EVACUATION ,Demander un appui pour évacuation,,
11,/FFST/FR_FIRE,LUTTE INCENDIE,Lutter contre l'incendie,,
12,/FSTT/RRHAZ/FR_CO,MONOXYDE CARBONE,Demander une levée de doute CO,,
13,/CBRN/TSA,DOUTE NRBC,Demander une levée de doute NRBC,,
14,/INT/RECCE/FR_SMLL,ODEUR SUSPECTE,Demander une levée de doute d'odeur/fumée suspecte,,
15,/FSTT/TA,APPUI TECHNIQUE,Demander un appui technique,,
16,/SAV/AR/FR_PPL/GRP,NOMBREUSES VICTIMES,Demander une prise en charge de nombreuses victimes,,
17,/INT/RECCE,AUTRE,Autre demande de concours au SIS,,
18,/GEN/TRNSPN/FR_SECNDRY,TRANFERT INTERETABLISSEMENT,Demander un transfert interétablissement,S'agit du transport d'un patient/victime d'un établissement de santé vers un autre à l'aide d'un moyen adapté. ,
19,/OPR/LOG,BRANCARDAGE,Demander une aide au brancardage ,,
20,/SAV/AR/FR_PPL/OBS,TRANSPORT BARIATRIQUE,Demander un transport bariatrique,,
21,/FSTT/TA/FR_CLRACCSS,OUVERTURE ACCES (DANS LOCAL),Demander l'ouverture d'accès,,
