,code,label_n1,label_n2,description,commentaire
0,M01.00,Détresse vitale,,,
1,M01.01,,"Suspicion d’arrêt cardiaque, mort subite",,
2,M01.02,,Altération de la conscience,"Dont inconscient, coma",
3,M01.03,,Détresse respiratoire,"Difficulté pour parler, s’étouffe, sueur, étouffement, fausse route",
4,M02.00,Blessure,,,
5,M02.01,,Saignements,"Ex : Epistaxis (saignements du nez), hémoptysie (rejet de sang par la bouche)",
6,M02.02,,Hémorragie sévère liée à un traumatisme,Plaie vasculaire externe ou extériorisée / Persistance malgré compression,
7,M02.03,,"Hypothermie, gelure, coup de chaleur, insolation",,
8,M02.04,,Brûlure grave,"Brûlure grave si localisation cervico-faciale et supérieure au 1er degré
Brûlure de 3e degré : La peau peut être cartonnée, blanche ou noire, insensible à la douleur",
9,M02.05,,Brûlure sans critère de gravité,"> Brûlure de 1er degré : La peau est rouge mais physiquement intacte (ni cloques ni arrachement)
> Brûlure superficielle ou profonde de 2e degré : Présence de cloques remplies ou percées entourées d’une zone rouge.",
10,M02.06,,"Traumatisme bénin, petite plaie, lésion bénigne",,
11,M02.07,,"Traumatisme sérieux, plaie intermédiaire",,
12,M02.08,,"Traumatisme grave, plaie délabrante",,
13,M02.09,,"Section complète de membre, de doigts",,
14,M02.10,,Ecrasement de membre ou du tronc,,
15,M03.00,Problème médical,,,
16,M03.01,,Accouchement imminent ou en cours,Dont accouchement réalisé,
17,M03.02,,Autre problème obstétrique non hémorragique,Yc. 1er trimestre de grossesse,
18,M03.03,,Saignements gynécologiques,,
19,M03.04,,Saignements obstétricaux,,
20,M03.05,,Problème gynécologique et uro-génital,,
21,M03.06,,Douleur thoracique,,
22,M03.07,,"Problème neurologique hors AVC, épilepsie","Dont convulsions persistantes
AVC : accident vasculaire-cérébral",
23,M03.08,,Signes d’AVC,AVC : accident vasculaire-cérébral,Absent des référentiels actuels mais maintenu au vu de la hausse des cas constatés
24,M03.09,,Malaise sans perte de connaissance initiale,,
25,M03.10,,Malaise avec perte de connaissance initiale,Dont syncope,
26,M03.11,,"Céphalée, migraines",,
27,M03.12,,Gêne respiratoire,"Corps étranger dans les voies aériennes, dyspnée, toux, asthme",
28,M03.13,,Autre problème cardio-vasculaire,"Ex : palpitations, hypertension, HTA (hyper tension artérielle)",
29,M03.14,,"Fièvre, problème infectieux",,
30,M03.15,,Problème allergique,,"En cas de problème allergique, si signe prédominant grave, ce dernier est à privilégier (ex : en cas d’oedeme, privilégier détresse respiratoire plutôt que problème allergique)"
31,M03.16,,Problème psychiatrique,Dont personne dépressive suicidaire,
32,M03.17,,"Agitation, anxiété, spasmophilie",,
33,M03.18,,Saignements,"Ex : Epistaxis (saignements du nez), hémoptysie (rejet de sang par la bouche)",
34,M03.19,,Hémorragie sévère,"Hématémèse (vomissement de sang), plaie vasculaire externe ou extériorisée / Persistance malgré compression",
35,M03.20,,Douleur abdominale isolée,,
36,M03.21,,Trouble digestif,"Ex : Constipation, diarrhée, vomissement",
37,M03.22,,Autre douleur ,,
38,M04.00,Intoxications,,,
39,M04.01,,Intoxication volontaire et sevrage,"Médicament, gaz, produit chimique, état de manque, toxicomanie",
40,M04.02,,Intoxication involontaire ou accidentelle à des produits toxiques,,
41,M04.03,,"Ébriété, ivresse",,
42,M04.04,,Intoxication éthylique aiguë,,Intoxication éthylique aïgue issue de l’instruction DGOS/R2/DGSCGC/2016/399 du 30/11/16
43,M05.00,Problème ou détresse sociale,,,
44,M05.01,,Problème social ou sanitaire,,
45,M05.02,,Altération de l’état général – misère physiologique et incurie,Incurie : négligence extrême,
46,M06.00,Autre type de demande,,,
47,M06.01,,"Décès certain, demande de certificat de décès",,
48,M06.02,,"Demande de conseil médical, certificats - ordonnance",,
49,M06.03,,Personne restant à terre suite à une chute,Relevage,
50,M06.04,,Autres motifs ou pas de motif identifié,"Dont demande de transfert, de retour au domicile, de transport pour greffe ou transplantation, pour obésité avec nécessité de recours à des moyens bariatriques",
51,M07.00,Non renseigné,,,Valeur par défaut
