,code,label_n1,label_n2,description,commentaire
0,E01,Demander une prise en charge secouriste ,,,
1,E02,Demander une régulation médicale,,,
2,E03,Demander un soutien médico psychologique,,,
3,E04,Demander une prise en charge médicale,,,
4,E05,Demander une prise en charge para médicale,,,
5,E06,Autre demande de concours au SAMU,,,
6,E07,Demander le transport d'une personne,,,
7,E08,Demander la recherche de personne(s) ensevelie(s),,,
8,E09,Demander de relever une personne,,,
9,E10,Demander d'extraire ou degager une personne,,,
10,E11,Demander un appui pour évacuation,,,
11,E12,Lutter contre l'incendie,,,
12,E13,Demander une levée de doute CO,,,
13,E14,Demander une levée de doute NRBC,,,
14,E15,Demander une levée de doute d'odeur/fumée suspecte,,,
15,E16,Demander un appui technique,,,
16,E17,Demander une prise en charge de nombreuses victimes,,,
17,E18,Autre demande de concours au SIS,,,
18,E19,Demander un transfert interétablissement,,,
19,E20,Demander une aide au brancardage ,,,
20,E21,Demander un transport bariatrique,,,
21,E22,Demander l'ouverture d'accès,,,
