,code,label_n1,label_n2,Libellé niveau 3,description,commentaire
0,AASC,AASC,,,,
1,AASC.VLSC,,Vehicule Leger de Sécurité Civile,,Ne transporte pas,
2,AASC.VPSP,,Véhicule de Premiers Secours à Personnes ,,Transporte,
3,AASC.AUTRESC,,Autre vecteur de Sécurité Civile,,Hybride,
4,AUTREVEC,AUTRE,,,,
5,AUTREVEC.APIED,,A pied,,Transporte,
6,AUTREVEC.AVION,,Avion,,Transporte,
7,AUTREVEC.PERSO,,Moyen personnel sans précsion,,Transporte,
8,AUTREVEC.TAXI,,Taxi et assimilés,,Transporte,
9,AUTREVEC.TRAIN,,Train,,Transporte,
10,AUTREVEC.TRANSP,,Transports en commun,,Transporte,
11,AUTREVEC.AUTRE,,Autre vecteur sans transport,,Ne transporte pas,
12,AUTREVEC.AUTRETRA,,Autre vecteur de transport,,Transporte,
13,FSI,FSI,,,,
14,FSI.HELIFSI,,Hélicoptère Forces de l’Ordre,,Hybride,
15,FSI.VLFSI,,VL des FSI,,Hybride,
16,FSI.FFSI,,Fourgon des FSI,,Hybride,
17,FSI.VHFSI,,Autre vecteur des FSI,,Hybride,
18,LIB,LIB,,,,
19,LIB.MEDV,,Médecin,,Ne transporte pas,
20,LIB.INF,,Infirmier,,Ne transporte pas,
21,LIB.AUTREPRO,,Autre professionnel de santé,,Ne transporte pas,
22,SIS,SIS,,,,
23,SIS.DRAGON,,Hélicoptère sécurité civile,,Transporte,
24,SIS.AVSC,,Avion sécurité civile,,Transporte,
25,SIS.FEUSIS,,Moyens incendie du SIS,,Ne transporte pas,
26,SIS.GRIMP,,Vehicule du GRIMP et montagne,,Ne transporte pas,
27,SIS.NAVISIS,,Moyen nautique du SIS,,Hybride,
28,SIS.PCSIS,,Poste de commandement,,Ne transporte pas,
29,SIS.SRSIS,,Moyens de secours routiers du SIS,,Ne transporte pas,
30,SIS.VCH,,Véhicule intervention chimique,,Ne transporte pas,
31,SIS.VLCG,,Véhicule léger chef de groupe,,Ne transporte pas,
32,SIS.VLISP,,Véhicule léger infirmier SP,,Ne transporte pas,
33,SIS.VLMSP,,Véhicule léger Médecin SP,,Ne transporte pas,
34,SIS.VLSIS,,Véhicule léger autre usage,,Ne transporte pas,
35,SIS.VPL,,Véhicule plongeurs,,Ne transporte pas,
36,SIS.VPMA,,Véhicule du Poste Médical Avancé,,Ne transporte pas,
37,SIS.VR,,Véhicule intervention radioactivité,,Ne transporte pas,
38,SIS.VSAV,,Véhicule de secours et d'assistance aux victimes,,Transporte,
39,SIS.MOYSSE,,Autre moyen SSE,,Hybride,
40,SIS.AUTRESIS,,Autre moyen du SIS,,Hybride,
41,SMUR,SMUR,,,,
42,SMUR.VLM,,Véhicule Léger Médicalisé,,Ne transporte pas,
43,SMUR.VL,,Véhicule de liaison Smur,,Ne transporte pas,
44,SMUR.PSM1,,Véhicule logistique transport PSM1,,Ne transporte pas,
45,SMUR.PSM2,,Véhicule logistique transport PSM2,,Ne transporte pas,
46,SMUR.PSM3,,Véhicule logistique transport PSM3,,Ne transporte pas,
47,SMUR.PSMP,,Véhicule logistique transport PSM pédiatrique,,Ne transporte pas,
48,SMUR.VPC,,Véhicule Poste de Commandement et ou d’évacuation SAMU,,Ne transporte pas,
49,SMUR.AR,,Ambulance de réanimation,,Transporte,
50,SMUR.AR-BAR,,Ambulance de réanimation Bariatrique,,Transporte,
51,SMUR.AR-PED,,Ambulance de réanimation Pédiatrique,,Transporte,
52,SMUR.HELISMUR,,HéliSmur,,Transporte,
53,SMUR.HELISAN,,Hélicoptère de transport sanitaire,,Transporte,
54,SMUR.AVSMUR,,Avion Smur,,Transporte,
55,SMUR.AVSAN,,Avion de transport sanitaire,,Transporte,
56,SMUR.NAVISMUR,,NaviSmur,,Transporte,
57,TSU,TSU,,,,
58,TSU.VSL,,Véhicule Sanitaire Léger,,Ne transporte pas,
59,TSU.AMB-GV,,Ambulance privée grand contenant - type A,,Transporte,
60,TSU.AMB-PV,,Ambulance privée petit contenant - type C,,Transporte,
61,TSU.AMB-BAR,,Ambulance privée - type bariatrique,,Transporte,
62,TSU.AMB,,Ambulance de catégorie non définie,,Transporte,
