,code,label_n1,label_n2,label_n3,description,commentaire
0,DRM,DRM,,,Dossier de régulation médicale,
1,DRM.MRU,,DRM MRU,,Dossier de type médecine d’urgence,
2,DRM.MRU.MU, ,,Régulation MU,Dossier de type médecine d’urgence régulé par un médecin urgentiste. Le dossier devient de type DRM,
3,DRM.MRU.INDISPMU,,,Régulation ML par indisponibilité MU,Dossier de type médecine d'urgence régulé par un médecin libéral du fait de l’indisponibilité des MU. Le dossier devient de type DRM,
4,DRM.MRU.SSE,,,Régulation de crise - NOVI,Dossier relevant de la gestion de crise – NOmbreuses Victimes. Le dossier devient de type DRM,
5,DRM.MRU.PLANBLAN,,,Régulation Plan Blanc,Dossier régulé dans le cadre d’ un dispositif plan blanc. Le dossier devient de type DRM,
6,DRM.MRU.PCSAMU,,,Régulation par un PC mobile,Dossier régulé depuis un poste de commandement  mobile. Le dossier devient de type DRM,
7,DRM.SPE,DRM SPE,,,,
8,DRM.SPE.DENT,,,Régulation dentaire,Dossier régulé par un chirurgien dentiste au sein du CRRA. Le dossier devient de type DRM,
9,DRM.SPE.GERIA,,,Régulation gériatrique,Dossier régulé par un gériatre au sein du CRRA. Le dossier devient de type DRM,
10,DRM.SPE.PEDIA,,,Régulation pédiatrie,Dossier régulé par un pédiatre au sein du CRRA. Le dossier devient de type DRM,
11,DRM.SPE.OBST,,,Régulation obstétrique,Dossier relevant d'une coordination périnatale. Le dossier devient de type DRM,
12,DRM.SPE.PSY,,,Régulation psychiatrie,Dossier régulé par un psychiatre au sein du CRRA. Le dossier devient de type DRM,
13,DRM.SPE.TOXICOL,,,Régulation toxicologique,Dossier régulé par un toxicologue au sein du CRRA. Le dossier devient de type DRM,
14,DRM.MRL,,DRM MRL,,Dossier de type médecine libérale,
15,DRM.MRL.MG,,,Régulation ML,Dossier de type médecine libérale régulé par un médecin libéral. Le dossier devient de type DRM,
16,DRM.MRL.INDISPMG,,,Régulation MU par indisponibilité ML,Dossier de type médecine libérale régulé par un médecin urgentiste du fait de l’indisponibilité des ML. Le dossier devient de type DRM,
17,DRM.MRL.ABSML,,,Régulation MU par absence de régulation ML,Dossier de type médecine libérale régulé par un médecin urgentiste du fait de l’absence de régulation ML. Le dossier devient de type DRM,
18,DR,DR,,,Dossier de régulation,
19,DR.DREG,,Dossier Régulation,,Dossier de régulation,
20,DR.DREG.DRARM,,,Pas d’acte de régulation médicale - Prise en charge ARM,Dossier ne relevant pas de la régulation médicale et pas dans le cadre des autre cas identifié (voir cas suivant). Le dossier est de type DR,
21,DR.DREG.DRDAC,,,Pas d’acte de régulation médicale - Prise en charge DAC,,
22,DR.DREG.DRMED,,,Pas d’acte de régulation médicale - Transmission d'informations sur un médecin (procédure dégradée),Dossier ne relevant pas de la régulation médicale – réponse apportée à une demande de renseignements sur un médecin. Le dossier est de type DR,
23,DR.DREG.DRPHARMA,,,Pas d’acte de régulation médicale - Transmission d'informations sur une pharmacie,Dossier ne relevant pas de la régulation médicale – réponse apportée à une demande de renseignements sur une pharmacie. Le dossier est de type DR,
24,DR.DREG.DRDENT,,,Pas d’acte de régulation médicale - Transmission d'informations sur un dentiste,Dossier ne relevant pas de la régulation médicale – réponse apportée à une demande de renseignements sur un dentiste. Le dossier est de type DR,
25,DR.DREG.DRINFO,,,Pas d’acte de régulation médicale - Information générale,Dossier ne relevant pas de la régulation médicale – réponse apportée à une demande de renseignements d’ordre général. Le dossier est de type DR,
26,DR.DREG.DOS-SIS,,,Pas d’acte de régulation médicale - Appel pour les pompiers,Dossier ne rentrant pas dans le cadre des missions du Samu et confié aux pompiers. Le dossier est de type DR,
27,DR.DREG.DOS-FDO,,,Pas d’acte de régulation médicale - Appel pour les forces de l’ordre,Dossier ne rentrant pas dans le cadre des missions du Samu et confié aux forces de l'ordre. Le dossier est de type DR,
28,D,D,,,Dossier,
29,D.D-MALV,,Erreur / Malveillant,,Dossier de type erreur ou appel malveillant,
30,D.D-MALV.ERR,,,"Erreur de numéro, erreur d'acheminement",Le requérant s’est trompé de numéro de téléphone ou a mal été orienté par un interlocuteur précédent. Le dossier reste de type D,
31,D.D-MALV.NRP,,,Appel raccroché / pas de réponse ,L’appel est raccroché ou sans réponse de l’appelant à l’ouverture du dossier. Le dossier reste de type D,
32,D.D-MALV.MALV,,,"Appel malveillant, canular","Appel malveillant : insultes, canular, fausses informations. Il ne s’agit pas d’une erreur de numéro. Le dossier reste de type D",
33,D.D-MALV.FAX,,,"Tonalité de fax, porteuse",Tonalité de fax ou d’une porteuse  présente au décroché. Le dossier reste de type D,
34,D.D-MALV.ITERATIF,,,"Dossier existant, appel itératif (hors SI-Samu)",Appels pour un dossier déjà existant. Entraine la recherche et l’ouverture du dossier préexistant avec rattachement de l’appel à ce dossier (option à supprimer dès l'intégration au SI-Samu),
35,D.D-IDENT,,Appel identifié,,Dossier en rapport avec un appel qui n'est ni un DR ni un DRM,
36,D.D-IDENT.ADMIN,,,Appel administratif,Dossier ne relevant pas de la régulation médicale – et concerne la gestion administrative d’un dossier clôturé. Le dossier reste de type D,
37,D.D-IDENT.PERSO,,,Appel personnel,L’appel concerne une communication pour un membre du personnel et a un caractère privé. Le dossier reste de type D,
38,D.D-IDENT.AUTRE,,,Autre type d’appel,"Autre type d’appel non régulé et relevant pas d’un problème médical, social ou sanitaire. Le dossier reste de type D",
