,code,label_n1,label_n2,description,commentaire
0,ASB,Comportement antisocial,,,
1,ASR,Assistance ou sauvetage pour les personnes/les animaux,,,
2,EXP,Explosion,,,
3,FIR,Incendie,,,
4,FLD,Inondation,,,
5,GND,Événement au sol,,,
6,HLT,Santé,,,
7,POL,Pollution,,,
8,PSW,Sécurité publique/bien-être,,,
9,TRP,Transport,,,
10,ASB/ABV,Comportement antisocial,Véhicule abandonné,Véhicule qui a été laissé sans surveillance.,
11,ASR/ATM,Assistance ou sauvetage pour les personnes/les animaux,Fumée/atmosphère non respirable,Atmosphère qui nécessite un équipement de respiration spécialisé pour maintenir la vie.,
12,ASR/HGT,Assistance ou sauvetage pour les personnes/les animaux,Sauvetage en hauteur,Sauvetage d'urgence à partir d'une hauteur au-delà de la portée normale de l'équipement de sauvetage standard.,
13,ASR/ICE,Assistance ou sauvetage pour les personnes/les animaux,Sauvetage sur la glace,"Sauvetage d'une victime de, sur ou sous la glace.",
14,ASR/MAR,Assistance ou sauvetage pour les personnes/les animaux,Naufragé,Personnes dans une position ou une situation où l'auto-sauvetage est impossible.,
15,ASR/SIL,Assistance ou sauvetage pour les personnes/les animaux,Sauvetage dans des silos/sable,Opérations de sauvetage à l'intérieur de silos.,
16,ASR/TRP,Assistance ou sauvetage pour les personnes/les animaux,Piégé,Situation dans laquelle une victime ne peut pas s'auto-sauver.,
17,ASR/UDG,Assistance ou sauvetage pour les personnes/les animaux,Sauvetage souterrain,Opérations de sauvetage en-dessous du niveau du sol.,
18,ASR/WAT,Assistance ou sauvetage pour les personnes/les animaux,Sauvetage dans l'eau,Opérations de sauvetage dans l'eau,
19,EXP/AER,Explosion,Aérosols,"Une suspension gazeuse de fines particules solides ou liquides, conditionnée sous pression avec un propulseur gazeux pour être libérée sous forme de fines particules en spray.",
20,EXP/AMM,Explosion,Munitions,"Explosifs utilisés dans des armes comme les balles, les obus, etc.",
21,EXP/BLEVE,Explosion,BLEVE,Explosion de vapeur de liquide bouillant qui se dilate,
22,EXP/CHM,Explosion,Produits chimiques,Substance produite par ou utilisée dans un processus chimique,
23,EXP/CYL,Explosion,Bouteilles,Bouteilles contenant une forme de gaz comprimé comme le butane,
24,EXP/DST,Explosion,Poussière,Particules fines de substances combustibles visibles à l'œil nu formant un nuage dépassant les concentrations minimales d'explosion,
25,EXP/FRW,Explosion,Feux d'artifice,"Un dispositif combustible ou explosif pour produire un affichage spectaculaire de lumière ou un bruit fort, utilisé pour la signalisation ou dans le cadre d'une célébration",
26,EXP/GAS,Explosion,Explosion de gaz,Explosion due à une accumulation de gaz,
27,EXP/HGHFLM,Explosion,Hautement inflammable,Un terme générique utilisé pour décrire tout matériau/substance hautement inflammable,
28,EXP/HPP,Explosion,Produits à haute pression (y compris la vapeur...),,
29,EXP/IMP,Explosion,Dispositifs improvisés,"Molotov, lettres piégées, ...",
30,EXP/LPG,Explosion,Gaz de pétrole liquéfié (LPG),Gaz de pétrole liquéfié,
31,EXP/NUK,Explosion,Nucléaire (y compris certaines bombes sales),,
32,EXP/PRD,Explosion,Produits commerciaux,"Dynamite, TNT, SEMTEX, ...",
33,EXP/UKN,Explosion,Inconnu,Terme utilisé lorsque la source de quelque chose n'est pas connue,
34,FIR/CLA,Incendie,Classe de feu A,"Organique — papier, bois, etc. Utiliser de l'eau.",
35,FIR/CLB,Incendie,Classe de feu B,Liquides/gaz inflammables. Utiliser des produits chimiques secs ou des couvertures anti-feu.,
36,FIR/CLC,Incendie,Classe de feu C,Équipement électrique ou câblage sous tension. Utiliser du CO2 ou de la poudre sèche.,
37,FIR/CLD,Incendie,Classe de feu D,"Feux métalliques (magnésium, sodium, titane). Utiliser un agent sec, comme du sable ou une poudre sèche spéciale, comme un agent d'extinction à base de chlorure de sodium sec pressurisé à l'azote.",
38,FIR/UKN,Incendie,Feu — inconnu,Un feu impliquant une substance inconnue,
39,FLD/FLS,Inondation,Inondation — flash,Inondation provoquée par des conditions météorologiques extrêmes,
40,FLD/PLN,Inondation,Inondation — plaine,Inondation provoquée par la montée de l'eau sur une zone,
41,FLD/TID,Inondation,Inondation — marée,"Inondation où les dommages sont initialement causés par l'impact d'une vague ou de l'eau, comme un tsunami",
42,GND/AVL,Événement au sol,Avalanche,Avalanche,
43,GND/EQK,Événement au sol,Tremblement de terre,Tremblement de terre (impact donné par l'élément ÉCHELLE),
44,GND/GEY,Événement au sol,Geyser,Terme utilisé pour décrire une caractéristique naturelle qui fait jaillir de l'eau (souvent chaude) dans les airs à intervalles réguliers,
45,GND/LDS,Événement au sol,Éboulement,"La chute ou le glissement vers le bas d'une masse de sol, de détritus ou de roche sur ou depuis une pente raide",
46,GND/MUD,Événement au sol,Glissement de boue,Un glissement de boue,
47,GND/SUB,Événement au sol,Subsidence,Terme utilisé pour décrire l'affaissement dans le sol ou dans un bâtiment,
48,GND/VUL,Événement au sol,Éruption volcanique,Incident résultant de l'activité volcanique,
49,HLT/EPI,Santé,Épidémie,Propagation rapide ou augmentation de l'occurrence de quelque chose,
50,HLT/FMN,Santé,Famine,"Pénurie extrême et générale de nourriture, comme dans un pays ou une grande zone géographique",
51,HLT/NDS,Santé,Maladie notifiable,"par exemple, la méningite",
52,POL/BIO,Pollution,Pollution — biologique,L'introduction de substances ou de produits biologiques nocifs dans l'environnement,
53,POL/CHM,Pollution,Pollution — chimique,L'introduction de substances chimiques nocives ou de produits dans l'environnement,
54,POL/NUK,Pollution,Pollution — nucléaire,L'introduction de substances ou de produits nucléaires nocifs dans l'environnement,
55,POL/RAD,Pollution,Pollution radioactive,L'introduction de substances radioactives nocives ou de produits dans l'environnement,
56,PSW/ALM,Sécurité publique/bien-être,Alarme,Signal indiquant un incident potentiel,
57,PSW/ASY,Sécurité publique/bien-être,Questions d'asile,"Concernant les individus en quête de refuge, en particulier l'asile politique, dans un pays étranger",
58,PSW/DEM,Sécurité publique/bien-être,Manifestation,"La manifestation est autorisée par les autorités, la protestation ne l'est pas",
59,PSW/IMM,Sécurité publique/bien-être,Immigration illégale,Personnes entrant dans un pays sans les autorisations nécessaires,
60,PSW/MEV,Sécurité publique/bien-être,Événement majeur,Un événement très important qui provoque une forme de perturbation,
61,PSW/MIS,Sécurité publique/bien-être,Personne disparue,Personne disparue d'un endroit donné,
62,PSW/PKG,Sécurité publique/bien-être,Objet/paquet suspect,cf. le document sur les règles de comptage du NSIR,
63,PSW/PRO,Sécurité publique/bien-être,Protestation,La manifestation est autorisée,
64,PSW/PRSUIT,Sécurité publique/bien-être,Poursuite,Terme utilisé pour décrire la tentative de rattraper une personne ou un véhicule,
65,PSW/RIOT,Sécurité publique/bien-être,Émeute,Manifestation ou protestation où les autorités n'ont pas le contrôle,
66,PSW/SUS,Sécurité publique/bien-être,Circonstances suspectes,cf. le document sur les règles de comptage du NSIR,
67,PSW/WNG,Sécurité publique/bien-être,Avertissement,Signal indiquant un incident imminent,
68,TRP/BRK,Transport,Panne,"Panne, usure ou perte soudaine de la capacité à fonctionner efficacement, comme d'une machine",
69,TRP/COL,Transport,Collision,"L'acte de se heurter, une rencontre violente",
70,TRP/CRS,Transport,Accident,"Le terme ""accident"" est utilisé pour décrire quelque chose qui a échoué soudainement. Cela peut être lié à des accidents de véhicules, d'aéronefs, etc.",
