,code,label_n1,label_n2,description,commentaire
0,SUJET,Le patient lui-même,,"Le patient lui-même, victime de l’événement signalé et bénéficiaire des moyens qui pourraient être décidés même s’il a une des fonctions ou titres ci-dessous.",
1,FAMILLE,Famille ou proche du patient,,"Requérant qui se présente comme membre de la famille ou proche (concubin, compagnon, colocataire, ...) de la victime de l’événement signalé même s’il a un des titres ou une des fonctions ci-dessous. ",
2,TIERS,Autre particulier ou passant,,Particulier qui n’a pas une des fonctions ou titres ci-dessous et qui ne fait pas partie de la famille de la victime.,
3,POMPIER,Pompier,,Le requérant est un pompier professionnel ou volontaire en activité et agissant dans le cadre de sa profession au moment de l’appel.,
4,AMBULANC,Ambulancier ,,Le requérant est un ambulancier agissant dans le cadre de sa profession au moment de l’appel.,
5,AMBULANC.AASC,,Secouriste aasc,Pour tout secouriste actif d'une association aggrée de sécurité civile et n’est pas un professionnel de santé.,
6,AMBULANC.AUTRESEC,,Autre secouriste,Secouriste du travail ou requerant qui se revendique secouriste,
7,SECOUR,Secouriste actif,,Pour tout secouriste actif ( secouriste du travail ou agissant pour une association de secourisme) mais uniquement s’il est en activité et n’est pas un professionnel de santé.,
8,MED,Médecin,,"Regroupe les médecins de toute spécialité, de tout statut mais uniquement s’ils sont en activité et agissent dans le cadre de leur profession au moment de l’appel.",
9,MED.MEDSOS,,Médecin SOS ou association PDS,"Déclinaison du type Médecin : Regroupe les médecins SOS, uniquement s’ils sont en activité et agissent dans le cadre de leur profession au moment de l’appel.",
10,MED.MRL,,Médecin régulateur libéral,Déclinaison du type Médecin : Regroupe les demandes issues des médecins régulateurs généralistes lorsque le DRM n’est pas encore créé dans le SI-Samu (par exemple quand il a été jusque-là uniquement renseigné dans un SI-PDSA).,
11,MED.EFFML,,Effecteur de médecine libérale,Déclinaison du type Médecin : Regroupe les demandes issues des médecins effecteurs de médecine générale (hors médecins de SOS ou association de PDSA) lorsque le DRM n’est pas encore créé dans le SI-Samu (par exemple quand il a été jusque-là uniquement renseigné dans un SI-PDSA).,
12,SANTE,Autre acteur de santé,,"Regroupe tous les autres professionnels de santé, de toute spécialité, de tout statut mais uniquement s’ils sont en activité et agissent dans le cadre de leur profession au moment de l’appel.",
13,SANTE.INF,,Infirmier,"Regroupe les infirmiers de toute spécialité, de tout statut mais uniquement s’ils sont en activité et agissent dans le cadre de leur profession au moment de l’appel.",
14,SANTE.AIDESOIN,,Aide-soignant,"Regroupe les aides-soignants, de tout statut mais uniquement s’ils sont en activité et agissent dans le cadre de leur profession au moment de l’appel.",
15,SANTE.SF,,Sage-femme,"Regroupe les sage-femmes, de tout statut mais uniquement s’ils sont en activité et agissent dans le cadre de leur profession au moment de l’appel.",
16,SANTE.AIDEDOM,,Aide à domicile,"Regroupe les aides à domicile, de tout statut mais uniquement s’ils sont en activité et agissent dans le cadre de leur profession au moment de l’appel.",
17,SANTE.PHARMA,,Pharmacien,"Regroupe les pharmaciens, de tout statut mais uniquement s’ils sont en activité et agissent dans le cadre de leur profession au moment de l’appel.",
18,SANTE.DENTISTE,,Dentiste,"Regroupe les dentistes, de tout statut mais uniquement s’ils sont en activité et agissent dans le cadre de leur profession au moment de l’appel.",
19,SANTE.LABO,,Personnel de laboratoire,"Regroupe lespersonnels de laboratoires, de tout statut mais uniquement s’ils sont en activité et agissent dans le cadre de leur profession au moment de l’appel.",
20,FDO-MILI,Policier Gendarme Militaire,,"Regroupe tout policier, gendarme, militaire de tout statut et de tout grade mais uniquement s’il est en activité et n’est pas un professionnel de santé ou un secouriste actif.",
21,FDO-MILI.POL,,Policier,,
22,FDO-MILI.GENDARM,,Gendarme,,
23,FDO-MILI.MILI,,Militaire,,
24,ADM-TUTL,Membre d'une autorité administrative,,"L’appelant est issu d’une autorité administrative (de tutelle) et appelle les services d’urgence dans le cadre de ses fonctions (ex : ARS, Ministère de la santé, HAS…)",
25,VIP,VIP,,"Personne publique, de notoriété ou élus Mais qui n'est pas une autorité administrative",
26,OBJCONNC,Objets connectés,,L’appelant initial n’est pas une personne physique mais un objet connecté en mesure de passer des appels d’urgences (ex : automobile dans le cadre des appels e-call),
27,AUTRE,Autre type d’appelant,,Pour toutes les fonctions non prévues ci-dessus.,
28,INCONNU,Type d'appelant indéterminé,,Si la fonction ou le titre de l'appelant est inconnu. ,
