,code,label_n1,Libellé niveau 2,Libellé niveau 3,description,commentaire
0,VPSP,Véhicule de Premiers Secours à Personnes ,VPSP,,,AASC
1,VLSC,Vehicule Leger de Sécurité Civile,VL SC,,,AASC
2,AUTRESC,Autre vecteur de Sécurité Civile,VH SC,,,AASC
3,TAXI,Taxi et assimilés,TAXI,,,AUTRE
4,TRANSP,Transports en commun,BUS TRAM,,,AUTRE
5,AUTRE,Autre vecteur,VH,,,AUTRE
6,TRAIN,Train,TRAIN,,,AUTRE
7,AVION,Avion,AVION,,,AUTRE
8,PERSO,Moyen personnel sans précsion,VH PERSO,,,AUTRE
9,APIED,A pied,A PIED,,,AUTRE
10,INCONNU,Moyen inconnu,INCONNU,,,AUTRE
11,CONSEIL,Conseil médical,CONSEIL MED,,,AUTRE
12,DAE,Défibrillateur Automatique externe,DAE,,,DAE
13,HELIFSI,Hélicoptère Forces de l’Ordre,HELICO FSI,,,FSI
14,VLFSI,VL des FSI,VL FSI,,,FSI
15,FFSI,Fourgon des FSI,FOURGON FSI,,,FSI
16,VHFSI,Autre vecteur des FSI,AUTRE VH FSI,,,FSI
17,MEDC,Consultation de Médicale Générale,CONSULT MG,,,LIB
18,MEDV,Visite de Médicale Générale,VISITE MG,,,LIB
19,PHARMA,Recours au pharmacien,PHARMACIE,,,LIB
20,INF,Recours à un infirmier,INFIRMIER,,,LIB
21,MEDSPE,Recours à un médecin autre spécialité,MED AUTRE SPE,,,LIB
22,DENT,Recours à un dentiste,DENTISTE,,,LIB
23,AUTREPRO,Autre professionnel de santé,AUTRE PRO,,,LIB
24,DRAGON,Hélicoptère sécurité civile,HELICO SC,,,SIS
25,AVSC,Avion sécurité civile,AVION SC,,,SIS
26,VSAV,Véhicule de secours et d'assistance aux victimes,VSAV,,,SIS
27,GRIMP,Vehicule du GRIMP et montagne,GRIMP,,,SIS
28,VPL,Véhicule plongeurs,PLONGEURS,,,SIS
29,SRSIS,Moyens de secours routiers du SIS,SECOURS ROUTIER,,,SIS
30,FEUSIS,Moyens incendie du SIS,MOYEN INCENDIE,,,SIS
31,VPMA,Véhicule du Poste Médical Avancé,PMA,,,SIS
32,VCH,Véhicule intervention chimique,VH inter chimique,,,SIS
33,VR,Véhicule intervention radioactivité,VH inter radio,,,SIS
34,PCSIS,Poste de commandement,PC SIS,,,SIS
35,VLISP,Véhicule léger infirmier SP,VL-ISP,,,SIS
36,VLMSP,Véhicule léger Médecin SP,VL-MSP,,,SIS
37,VLCG,Véhicule léger chef de groupe,VL CHEF,,,SIS
38,VLSIS,Véhicule léger autre usage,VL SIS,,,SIS
39,MOYSSE,Autre moyen SSE,MOYEN SSE,,,SIS
40,AUTRESIS,Autre moyen du SIS,MOYEN SIS,,,SIS
41,VLM,Véhicule Léger Médicalisé,VLM,,,SMUR
42,AR,Ambulance de réanimation,AR,,,SMUR
43,AR-BAR,Ambulance de réanimation Bariatrique,AR BARIA,,,SMUR
44,AR-PED,Ambulance de réanimation Pédiatrique,AR PEDIA,,,SMUR
45,VL,Véhicule de liaison Smur,VL SMUR,,,SMUR
46,HELISMUR,HéliSmur,HELISMUR,,,SMUR
47,HELISAN,Hélicoptère de transport sanitaire,HELICO SAN,,,SMUR
48,AVSMUR,Avion Smur,AVIONSMUR,,,SMUR
49,AVSAN,Avion de transport sanitaire,AVION SAN,,,SMUR
50,NAVISMUR,NaviSmur,NAVISMUR,,,SMUR
51,PSM1,Véhicule logistique transport PSM1,PSM1,,,SMUR
52,PSM2,Véhicule logistique transport PSM2,PSM2,,,SMUR
53,PSM3,Véhicule logistique transport PSM3,PSM3,,,SMUR
54,PSMP,Véhicule logistique transport PSM pédiatrique,PSM PEDIA,,,SMUR
55,VPC,Véhicule Poste de Commandement et ou d’évacuation SAMU,PC SAMU,,,SMUR
56,AMB-GV,Ambulance privée grand contenant - type A,AP GRAND V3,,,TSU
57,AMB-PV,Ambulance privée petit contenant - type C,AP PETIT V3,,,TSU
58,AMB-BAR,Ambulance privée grand contenant - type bariatrique,AP BARIA,,,TSU
59,AMB,Ambulance de catégorie non définie,AP,,,TSU
60,VSL,Véhicule Sanitaire Léger,VSL,,,TSU
61,NAVISIS,Moyen nautique du SIS,NAVISIS,,,SIS
