,code,label_n1,label_n2,label_n3,description,commentaire
0,L01.00.00,Domicile,,,,
1,L01.01.00,,"Maison particulière, pavillon",,,
2,L01.01.01,,,A l'intérieur,Enceinte fermée et couverte dont l’accès est potentiellement verrouillé,A renseigner en l’absence d’information plus précise sur la pièce où se situe la personne concernée
3,L01.01.02,,,A l'extérieur,"Abords, terrasse, jardin, … non couvert",
4,L01.01.03,,,"Piscine, bassin","Privée, enterrée ou non, fixe ou non",
5,L01.01.04,,,Dépendance,"Abri indépendant du domicile de type garage, atelier, abri de jardin, grange, etc.",
6,L01.02.00,,Lieu d'habitation collectif ou foyer d'hébergement,,,
7,L01.02.01,,,A l'intérieur de l'immeuble (sans précision),Enceinte fermée et couverte dont l’accès est potentiellement verrouillé,A renseigner en l’absence d’information plus précise sur la pièce où se situe la personne concernée
8,L01.02.02,,,A l'extérieur,"Abords, terrasse, jardin, … non couvert",
9,L01.02.03,,,Appartement,,
10,L01.02.04,,,"Entrée, couloir, espaces communs (hors escalier)",,
11,L01.02.05,,,Ascenseur,,
12,L01.02.06,,,"Cave, sous-sol, garage, parking",,
13,L01.02.07,,,Toiture,,
14,L01.02.08,,,Comble,,
15,L01.02.09,,,Piscine,"Privée, enterrée ou non, fixe ou non",
16,L01.02.10,,,Escaliers,,
17,L01.02.11,,,"Local technique (chaufferie, gaine d'ascenseur)",,
18,L01.02.12,,,Dépendance,"Abri indépendant du domicile de type garage, atelier, abri de jardin, grange, etc.",
19,L01.03.00,,Habitat spécifique,,,
20,L01.03.01,,,Péniche,,
21,L01.03.02,,,Mobil-home,,
22,L01.03.03,,,Habitat précaire,,
23,L01.04.00,,Autre type de domicile,,,
24,L02.00.00,Circulation/transport,,,,
25,L02.01.00,,Voie publique hors voie rapide,,Voie sans aucune séparation de chaussée,
26,L02.02.00,,Voie rapide,,,
27,L02.02.01,,,Voie rapide hors autoroute,Voie rapide présentant au moins 2 X 2 voies,
28,L02.02.02,,,Voie d’autoroute,,
29,L02.02.03,,,Aire de repos ou de service,,
30,L02.02.04,,,Hôtel sur autoroute,,
31,L02.02.05,,,Tunnel,,
32,L02.03.00,,Voie ferrée,,,
33,L02.03.01,,,Voie ferrée souterraine ou couverte,,
34,L02.03.02,,,Voie ferrée aérienne,,
35,L02.03.03,,,Tunnel,,
36,L02.04.00,,Voie fluviale,,,
37,L02.05.00,,A bord d’un moyen de transport,,,
38,L02.05.01,,,"Véhicule léger, fourgon","Catégorie de véhicules qui regroupe les voitures de tourisme et les véhicules utilitaires (jusqu'à 3,5 tonnes)",
39,L02.05.02,,,Véhicule routier de marchandises,"Poids lourd de plus de 3,5 tonnes affecté au transport de biens et embarquant donc un nombre réduit de passagers",
40,L02.05.03,,,Véhicule routier de transport en commun,Véhicule de grande dimension affecté au transport de passagers (Bus car autocar),
41,L02.05.04,,,Véhicule militaire,,
42,L02.05.05,,,Convoi exceptionnel,,
43,L02.05.06,,,Métro,,
44,L02.05.07,,,Tramway,,
45,L02.05.08,,,Aéronef de marchandises,Tout moyen de transport de marchandises par voie aérienne embarquant au moins 1 pilote à son bord,
46,L02.05.09,,,Aéronef de voyageurs,Tout moyen de transport de personnes par voie aérienne embarquant au moins 1 pilote à son bord,
47,L02.05.10,,,Aeronef militaire,Tout moyen de transport militaire par voie aérienne embarquant au moins 1 pilote à son bord,
48,L02.05.11,,,Bateau de marchandises,Tout moyen de transport de marchandises par voie ferroviaire,
49,L02.05.12,,,Bateau de voyageurs,Tout moyen de transport de personnes par voie ferroviaire,
50,L02.05.13,,,Sous-marin,,
51,L02.05.14,,,Train de voyageurs,,
52,L02.05.15,,,Train de marchandises,,
53,L02.05.16,,,"Téléphérique, télésiege",,
54,L02.06.00,,Aéroport / aérodrome,,,
55,L02.06.01,,,Aéroport - zone non accessible au public ou zone coté piste,,
56,L02.06.02,,,Aéroport - zone publique (salle d'enregistrement),,
57,L02.06.03,,,Aéroport - zone sous contrôle de la Douane,,En attente de retours DGGN
58,L02.06.04,,,Piste de décollage,,En attente de retours DGGN
59,L02.06.05,,,Voie d'accès aux pistes,,En attente de retours DGGN
60,L02.06.06,,,Aérodrome – toutes zones,,
61,L02.06.07,,,CRNA,Centre régional de la navigation aérienne,
62,L02.06.08,,,PCZAR,Zone critique à accès réglementé,
63,L02.07.00,,Gare ferroviaire et routière,,Dont billetterie,
64,L02.07.01,,,Hall de gare,,
65,L02.07.02,,,Quai de gare,,
66,L02.08.00,,Autre type de lieu lié à la circulation ou au transport,,,
67,L03.00.00,Local d’activité professionnelle,,,,
68,L03.01.00,,Local administratif,,"Ex : Bureau, back-office administratif d’un local commercial",
