,code,label_n1,Libellé niveau 2,description,commentaire
0,DEL0,Immédiatement,,La ressource doit être disponible et engagée immédiatement,1
1,ASAP,Dès que disponible,,"La ressource doit être engagée dès qu'elle est disponible, elle doit être dans tous les cas arrivée sur les lieux dans un délai maximum de 1 heure",2
2,30M,Délai maxi 30 minutes,,Le déclenchement se fait au bon vouloir de la force qui gère la ressource mais avec une présence de la ressource sur place dans un délai maximum de 30 minutes,3
3,45M,Délai maxi 45 minutes,,Le déclenchement se fait au bon vouloir de la force qui gère la ressource mais avec une présence de la ressource sur place dans un délai maximum de 45 minutes,4
4,1H,Délai maxi 1 heure,,Le déclenchement se fait au bon vouloir de la force qui gère la ressource mais avec une présence de la ressource sur place dans un délai maximum de 1 heures  ,5
5,2H,Délai maxi 2 heures,,Le déclenchement se fait au bon vouloir de la force qui gère la ressource mais avec une présence de la ressource sur place dans un délai maximum de 2 heures  ,6
6,4H,Délai maxi 4 heures,,Le déclenchement se fait au bon vouloir de la force qui gère la ressource mais avec une présence de la ressource sur place dans un délai maximum de 4 heures  ,7
7,8H,Délai maxi 8 heures,,Le déclenchement se fait au bon vouloir de la force qui gère la ressource mais avec une présence de la ressource sur place dans un délai maximum de 8 heures  ,8
8,12H,Délai maxi 12 heures,,Le déclenchement se fait au bon vouloir de la force qui gère la ressource mais avec une présence de la ressource sur place dans un délai maximum de 12 heures  ,9
9,24H,Délai maxi 24 heures,,Le déclenchement se fait au bon vouloir de la force qui gère la ressource mais avec une présence de la ressource sur place dans un délai maximum de 24 heures  ,10
10,RDV,HH:MM,,Une présence sur les lieux à un horaire précis (l'horaire est à indiquer dans le freetext),11
