,code,label_n1,label_n2,Libellé niveau 3,description,commentaire
0,DECISION,Décision,,,La décision d'engager le véhicule a été prise ,00-DECISION
1,DECLENCHE,Déclenché,,,La ressource a été engagée mais n’a pas encore quittée la base,
2,DEPART,Début d’intervention,,,"La ressource est partie de la base, pour se rendre sur les lieux de l’intervention",01-PARTI
3,ARRIVE,Arrivée sur les lieux,,,La ressource est arrivée sur les lieux de l’intervention,02-SLL
4,PEC,,Début de prise en charge,,La ressource est arrivée sur les lieux de l’intervention et a commencé la prise en charge du patient,
5,ANNULE,Annulation  de l’intervention,,,La ressource engagée a été annulée ,
6,BILAN,Transmission du bilan,,,,03-MESSAGE
7,TRANSPOR,Départ des lieux,,, La ressource quitte les lieux de l’intervention vers la destination,05-TRANSPORT
8,ETAPE1,,Etape de transit 1,,,
9,TRANSP2,,Départ étape 1,,,
10,ETAPE2,,Etape de transit 2,,,
11,TRANSP3,,Départ étape 2,,,
12,DESTIN,Arrivée à destination,,,La ressource est arrivée à la destination,06-DESTIN
13,FINPEC,Fin de prise en charge,,,Le patient a été pris en charge sur le plateau technique,24-FIN MED
14,RETOUR,Quitte la destination,,,La ressource quitte la destination,25-QTTE HOP
15,RET-BASE,,Retour à la base,,La ressource est en cours de retour à la base ,
16,REN-BASE,Rentrée à la base,,,La ressource est rentrée à la base,
