,code,label_n1,Libellé niveau 2,description,commentaire
0,15,Ligne 15,,Le requérant a contacté directement le CRRA en composant le 15.,
1,116117,Ligne PDSA,,Le requérant a contacté directement le CRRA en composant le numéro d’une ligne PDSA (116117 et autres lignes encore fonctionnelles),
2,AUTOCOM,Ligne hôpital,,Le requérant a contacté directement le CRRA en composant un numéro interne de l’établissement de santé siège du Samu Centre 15.,
3,112,Ligne 112,,Le requérant a contacté directement le CRRA en composant le numéro 112,
4,115,Ligne 115,,Le requérant a contacté directement le CRRA en composant le numéro 115,
5,CRRA,CRRA (autres lignes),,Le requérant a contacté directement le CRRA en composant un autre numéro pour contacter le Samu – Centre 15.,
6,AUTREC15,Autre CRRA,,Le requérant a contacté en premier un autre Samu Centre 15 qui a retransmis l’appel au CRRA,
7,CTA-CONF,CTA-CODIS en conf,,Le requérant a contacté en premier le ou les CTA CODIS correspondant(s) habituel(s) du Samu qui a retransmis l’appel au CRRA ; appel avec mise en interconnexion par conférence.,
8,CTA-PI,CTA-CODIS pour info,,Le requérant a contacté en premier le ou les CTA CODIS correspondant(s) habituel(s) du Samu qui a retransmis l’appel au CRRA ; appel avec simple information.,
9,AUTRECTA,Autre CTA-CODIS,,Le requérant a contacté en premier un CTA CODIS distant qui n’est pas un correspondant habituel du Samu qui a retransmis l’appel au CRRA.,
10,CNR,CNR 114,,Le requérant a contacté en premier le centre national relais pour les sourds et malentendants qui a retransmis l’appel au CRRA.,
11,FDO,"CORG, CIC",,"Le requérant a contacté en premier un standard de forces de l’ordre (police, gendarmerie, …) qui a retransmis l’appel au CRRA.",
12,SNATED,Ligne 119 (SNATED),,Le requérant a contacté en premier le standard de la protection de l’enfance qui a retransmis l’appel au CRRA.,
13,PDSSOS,Asso PDSA et SOS,,"Le requérant a contacté en premier un standard d’une association de PDSA, type SOS médecins ou autres qui a retransmis l’appel au CRRA.",
14,TELASSIST,Téléassistance,,Le requérant a contacté en premier une structure de télésurveillance ou d’assistance médicale qui a retransmis l’appel au CRRA.,
15,CROSS,CROSS,,Le requérant a contacté en premier une structure publique d’urgence type CROSS maritime qui a retransmis l’appel au CRRA.,
16,PUBLIC,Autre centre d'appel,,"Le requérant a contacté en premier une structure publique d’urgence type associations ne participant pas à la PDSA, … qui a retransmis l’appel au CRRA.",
17,DATA,Flux Data ECall,,L’appel est arrivé au CRRA via un flux de données(flux e-call : système d'appel d'urgence automatique),
18,AUTRE,Autre structure,,Si le central d’appel d’urgence est déterminé mais ne fait pas partie des choix précédents ou lorsque l’information n’est pas disponible.,
