,code,label_n1,label_n2,Libellé niveau 3,description,commentaire
0,AASC,AASC,,,,
1,VLSC,,Vehicule Leger de Sécurité Civile,,Ne transporte pas,
2,VPSP,,Véhicule de Premiers Secours à Personnes ,,Transporte,
3,AUTRESC,,Autre vecteur de Sécurité Civile,,Hybride,
4,AUTREVEC,AUTRE,,,,
5,CONSEIL,,Conseil médical,,Ne transporte pas,
6,TAXI,,Taxi et assimilés,,Transporte,
7,TRANSP,,Transports en commun,,Transporte,
8,TRAIN,,Train,,Transporte,
9,AVION,,Avion,,Transporte,
10,PERSO,,Moyen personnel sans précsion,,Transporte,
11,APIED,,A pied,,Transporte,
12,AUTRE,,Autre vecteur,,Ne transporte pas,
13,AUTRETRA,,Autre vecteur de transport,,Transporte,
14,INCONNU,,Moyen inconnu,,Hybride,
15,DAE,,Défibrillateur Automatique,,Ne transporte pas,
16,FSI,FSI,,,,
17,HELIFSI,,Hélicoptère Forces de l’Ordre,,Hybride,
18,VLFSI,,VL des FSI,,Hybride,
19,FFSI,,Fourgon des FSI,,Hybride,
20,VHFSI,,Autre vecteur des FSI,,Hybride,
21,LIB,LIB,,,,
22,MEDC,,Consultation de Médicale Générale,,Ne transporte pas,
23,MEDV,,Visite de Médicale Générale,,Ne transporte pas,
24,PHARMA,,Recours au pharmacien,,Ne transporte pas,
25,INF,,Recours à un infirmier,,Ne transporte pas,
26,MEDSPE,,Recours à un médecin autre spécialité,,Ne transporte pas,
27,DENT,,Recours à un dentiste,,Ne transporte pas,
28,AUTREPRO,,Recours à autre professionnel de santé,,Ne transporte pas,
29,SIS,SIS,,,,
30,VSAV,,Véhicule de secours et d'assistance aux victimes,,Transporte,
31,GRIMP,,Vehicule du GRIMP et montagne,,Ne transporte pas,
32,VPL,,Véhicule plongeurs,,Ne transporte pas,
33,SRSIS,,Moyens de secours routiers du SIS,,Ne transporte pas,
34,FEUSIS,,Moyens incendie du SIS,,Ne transporte pas,
35,VPMA,,Véhicule du Poste Médical Avancé,,Ne transporte pas,
36,VCH,,Véhicule intervention chimique,,Ne transporte pas,
37,VR,,Véhicule intervention radioactivité,,Ne transporte pas,
38,PCSIS,,Poste de commandement,,Ne transporte pas,
39,VLISP,,Véhicule léger infirmier SP,,Ne transporte pas,
40,VLMSP,,Véhicule léger Médecin SP,,Ne transporte pas,
41,VLCG,,Véhicule léger chef de groupe,,Ne transporte pas,
42,VLSIS,,Véhicule léger autre usage,,Ne transporte pas,
43,DRAGON,,Hélicoptère sécurité civile,,Transporte,
44,AVSC,,Avion sécurité civile,,Transporte,
45,MOYSSE,,Autre moyen SSE,,Hybride,
46,AUTRESIS,,Autre moyen du SIS,,Hybride,
47,NAVISIS,,Moyen nautique du SIS,,Hybride,
48,SMUR,SMUR,,,,
49,VLM,,Véhicule Léger Médicalisé,,Ne transporte pas,
50,VL,,Véhicule de liaison Smur,,Ne transporte pas,
51,PSM1,,Véhicule logistique transport PSM1,,Ne transporte pas,
52,PSM2,,Véhicule logistique transport PSM2,,Ne transporte pas,
53,PSM3,,Véhicule logistique transport PSM3,,Ne transporte pas,
54,PSMP,,Véhicule logistique transport PSM pédiatrique,,Ne transporte pas,
55,VPC,,Véhicule Poste de Commandement et ou d’évacuation SAMU,,Ne transporte pas,
56,AR,,Ambulance de réanimation,,Transporte,
57,AR-BAR,,Ambulance de réanimation Bariatrique,,Transporte,
58,AR-PED,,Ambulance de réanimation Pédiatrique,,Transporte,
59,HELISMUR,,HéliSmur,,Transporte,
60,HELISAN,,Hélicoptère de transport sanitaire,,Transporte,
61,AVSMUR,,Avion Smur,,Transporte,
62,AVSAN,,Avion de transport sanitaire,,Transporte,
63,NAVISMUR,,NaviSmur,,Transporte,
64,TSU,TSU,,,,
65,VSL,,Véhicule Sanitaire Léger,,Ne transporte pas,
66,AMB-GV,,Ambulance privée grand contenant - type A,,Transporte,
67,AMB-PV,,Ambulance privée petit contenant - type C,,Transporte,
68,AMB-BAR,,Ambulance privée - type bariatrique,,Transporte,
69,AMB,,Ambulance de catégorie non définie,,Transporte,
70,AMB,,Ambulance de catégorie non définie,,Transporte,
