,code,label_n1,Libellé niveau 2,description,commentaire
0,/SAV/ASC,Besoin secouriste / personne(s) blesse(es),,Assurer une prise en charge secouriste ,
1,/FSTT/TA/FR_DIFFICULTACCSS,Intervention milieu difficile d'acces,,,
2,/GEN/RECVRY,Degagement de personne,,Extraire ou degager une personne,
3,/RSC/SAR/FR_VLN,Signalement recherche personne,,Rechercher une personne vulnérable ou égarée,
4,/SAV/ASC/FR_PPL/LIFT,Relevage,,Relever une personne,
5,/SAV/RHD,Evacuation en hauteur,,,
6,/SAV/RTA,Desincarceration,,Désincarcération d'une personne,
7,/SAV/SARCSL,Victime ensevelie,,Retrouver une personne ensevelie,
8,/FFST/FR_FIRE,Lutte incendie,,Lutter contre l'incendie,
9,/FSTT/RRHAZ/FR_CO,Monoxyde carbone,,Détection CO et autre gaz,
10,/FSTT/TA/FR_ANI/DGR,Animal dangereux (en détresse ou non),,,
11,/FSTT/TA/FR_ANI/INJ,Animal en detresse,,,
12,/INT/RECCE/FR_CBRNHZ,Lutte pollution / nrbc,,,
13,/INT/RECCE/FR_DIS/LNDSLD,Risque effondrement / mouvement de terrain,,,
14,/INT/RECCE/FR_DIS/SDCLPS,Chute de materiaux,,,
15,/INT/RECCE/FR_FLD,Risque eau / innondation ,,,
16,/INT/RECCE/FR_SMLL,Odeur suspecte,,,
17,/FSTT/TA/FR_DRG/MIND,Assistance deminage,,Assistance déminage,
18,/FR_MED/REGLTN,Regulation medicale,,Assurer une régulation médicale,
19,/GEN/SUPRTN,Soutien medico psychologique,,Assurer un soutien médico psychologique,
20,/REC/PRVCNP,Prise en charge sociale,,,
21,/RSC/MEDEVC,Evacuation médicale,,,
22,/SAV/AR/FR_CNT,Risques infectieux,,,
23,/SAV/AR/FR_MED,Medicalisation ou evaluation medicale,,Assurer une prise en charge médicale,
24,/SAV/AR/FR_PARAMD,Para medicalisation,,Assurer une prise en charge para médicale,
25,/SAV/AR/FR_PPL/GRP,Nombreuses victimes,,Assurer une prise en charge de nombreuses victimes,
26,/SAV/AR/FR_PSYPHY,Prise en charge psychologique,,Assurer une prise en charge psychologique,
27,/SAV/ASC,Secours à personne (par secouristes),,,
28,/SAV/ASC,Secours à personne urgent,,,
29,/INT/RECCE,Autre,,Autre demande de concours aux pompiers,
30,/SAV,Autre,,Autre demande de concours au SAMU,
31,/FSTT/TA/FR_TRNSP/AMB,Carence ambulatoire,,,
32,/GEN/TRNSP,Transport de personne,,Demande de transport d'une personne,
33,/GEN/TRNSP/FR_SECNDRY,Tranfert interetablissement,,Effectuer un transfert interétablissement,
34,/GEN/TRNSPN,Transport de personne,,Assurer transport médicalisé d'une personne,
35,/OPR/LOG,Brancardage,,Aider au brancardage (aide générique),
36,/SAV/AR/FR_PPL/OBS,Transport bariatrique,,Assurer un transport bariatrique,
37,/FSTT/TA/FR_CLRACCSS,Ouverture acces ,,Demande d'ouverture d'accés (dans local),
