,code,label_n1,label_n2,Libellé niveau 3,description,commentaire
0,AASC,AASC,,,,
1,VLSC,,Vehicule Leger de Sécurité Civile,,Ne transporte pas,
2,VPSP,,Véhicule de Premiers Secours à Personnes ,,Transporte,
3,AUTRESC,,Autre vecteur de Sécurité Civile,,Hybride,
4,AUTREVEC,AUTRE,,,,
5,TAXI,,Taxi et assimilés,,Transporte,
6,TRANSP,,Transports en commun,,Transporte,
7,TRAIN,,Train,,Transporte,
8,AVION,,Avion,,Transporte,
9,PERSO,,Moyen personnel sans précsion,,Transporte,
10,APIED,,A pied,,Transporte,
11,AUTRE,,Autre vecteur sans transport,,Ne transporte pas,
12,AUTRETRA,,Autre vecteur de transport,,Transporte,
13,FSI,FSI,,,,
14,HELIFSI,,Hélicoptère Forces de l’Ordre,,Hybride,
15,VLFSI,,VL des FSI,,Hybride,
16,FFSI,,Fourgon des FSI,,Hybride,
17,VHFSI,,Autre vecteur des FSI,,Hybride,
18,LIB,LIB,,,,
19,MEDV,,Médecin,,Ne transporte pas,
20,INF,,Infirmier,,Ne transporte pas,
21,AUTREPRO,,Autre professionnel de santé,,Ne transporte pas,
22,SIS,SIS,,,,
23,VSAV,,Véhicule de secours et d'assistance aux victimes,,Transporte,
24,GRIMP,,Vehicule du GRIMP et montagne,,Ne transporte pas,
25,VPL,,Véhicule plongeurs,,Ne transporte pas,
26,SRSIS,,Moyens de secours routiers du SIS,,Ne transporte pas,
27,FEUSIS,,Moyens incendie du SIS,,Ne transporte pas,
28,VPMA,,Véhicule du Poste Médical Avancé,,Ne transporte pas,
29,VCH,,Véhicule intervention chimique,,Ne transporte pas,
30,VR,,Véhicule intervention radioactivité,,Ne transporte pas,
31,PCSIS,,Poste de commandement,,Ne transporte pas,
32,VLISP,,Véhicule léger infirmier SP,,Ne transporte pas,
33,VLMSP,,Véhicule léger Médecin SP,,Ne transporte pas,
34,VLCG,,Véhicule léger chef de groupe,,Ne transporte pas,
35,VLSIS,,Véhicule léger autre usage,,Ne transporte pas,
36,DRAGON,,Hélicoptère sécurité civile,,Transporte,
37,AVSC,,Avion sécurité civile,,Transporte,
38,MOYSSE,,Autre moyen SSE,,Hybride,
39,AUTRESIS,,Autre moyen du SIS,,Hybride,
40,NAVISIS,,Moyen nautique du SIS,,Hybride,
41,SMUR,SMUR,,,,
42,VLM,,Véhicule Léger Médicalisé,,Ne transporte pas,
43,VL,,Véhicule de liaison Smur,,Ne transporte pas,
44,PSM1,,Véhicule logistique transport PSM1,,Ne transporte pas,
45,PSM2,,Véhicule logistique transport PSM2,,Ne transporte pas,
46,PSM3,,Véhicule logistique transport PSM3,,Ne transporte pas,
47,PSMP,,Véhicule logistique transport PSM pédiatrique,,Ne transporte pas,
48,VPC,,Véhicule Poste de Commandement et ou d’évacuation SAMU,,Ne transporte pas,
49,AR,,Ambulance de réanimation,,Transporte,
50,AR-BAR,,Ambulance de réanimation Bariatrique,,Transporte,
51,AR-PED,,Ambulance de réanimation Pédiatrique,,Transporte,
52,HELISMUR,,HéliSmur,,Transporte,
53,HELISAN,,Hélicoptère de transport sanitaire,,Transporte,
54,AVSMUR,,Avion Smur,,Transporte,
55,AVSAN,,Avion de transport sanitaire,,Transporte,
56,NAVISMUR,,NaviSmur,,Transporte,
57,TSU,TSU,,,,
58,VSL,,Véhicule Sanitaire Léger,,Ne transporte pas,
59,AMB-GV,,Ambulance privée grand contenant - type A,,Transporte,
60,AMB-PV,,Ambulance privée petit contenant - type C,,Transporte,
61,AMB-BAR,,Ambulance privée - type bariatrique,,Transporte,
62,AMB,,Ambulance sans précision,,Transporte,
