Donnée (Niveau 1),Donnée (Niveau 2),Donnée (Niveau 3),Donnée (Niveau 4),Donnée (Niveau 5),Donnée (Niveau 6),Description,Exemples,Balise,Cardinalité,Objet,Format (ou type),Détails de format
Identifiant affaire/dossier,,,,,,"Identifiant partagé de l'affaire/dossier, généré une seule fois par le système du partenaire qui recoit la primo-demande de secours (créateur du dossier). 
Il est valorisé comme suit lors de sa création : 
{pays}.{domaine}.{organisation}.{senderCaseId}

Il doit pouvoir être généré de façon décentralisée et ne présenter aucune ambiguïté.
 Il doit être unique dans l'ensemble des systèmes : le numéro de dossier fourni par celui qui génère l'identifiant partagé doit donc être un numéro unique dans son système.",fr.health.samu440.DRFR15440241550012,caseId,1..1,,string,"REGEX: ^([a-zA-Z0-9_-]+\.?){4,10}$"
Identifiant local de l'affaire/dossier,,,,,,"A valoriser avec le numéro du dossier dans le SI de l'émetteur du message.
",DRFR15440241550012,senderCaseId,0..1,,string,
Date Heure de création de l'affaire/dossier,,,,,,"A valoriser avec le groupe date heure de création du dossier/affaire.

Spécificité 15-18 : A valoriser avec le groupe date heure de début de partage lié à la création de l'affaire (et donc de génération du caseId). 
Lors de l'ajout d'une nouvelle alerte, la valeur de ce champ ne doit pas être modifiée.  
L'indicateur de fuseau horaire Z ne doit pas être utilisé.
Il doit être renseigné à la fin du processus de la  création de la première alerte.",2022-09-27T08:23:34+02:00,creation,1..1,,datetime,Format datetime décrit dans le DST
Filière,,,,,,"Sert à indiquer à quelle filière du CRRA destinataire le dossier doit être adressé/affiché, lorsque celle-ci est spécifique ou dédiée.",AMU,perimeter,0..1,,string,NOMENCLATURE: HubSante.filiere
Type d'intervention,,,,,,A valoriser en indiquant s'il s'agit d'un dossier dit primaire (première intervention urgente) ou secondaire (par exemple TIH),T1,interventionType,0..1,,string,NOMENCLATURE: HubSante.intervention
Qualification,,,,,,"Objet qui permet de qualifier l'affaire/dossier en général. 

Spécificités 15-18 : 
La qualification est issue d'une interprétation métier synthétisant l'ensemble des alertes reçues.",,qualification,1..1,X,qualification,
,Origine de l'appel,,,,,A valoriser avec le numéro de provenance de l'appel.,"15, 112, FDO",origin,0..1,,string,NOMENCLATURE: HubSante.origine
,"Risque, menace et sensibilité",# Voir type codeAndLabel,,,,"Décrit les risques, menaces et sensibilités : cf.nomenclature associée.",,riskThreat,0..n,X,codeAndLabel,
,,Code,,,,A valoriser avec le code de la nomenclature associée,C07.13.02,code,1..1,,string,REGEX: ^R\d{2}$
,,Libellé,,,,"A valoriser avec le libellé de la nomenclature associée.
Dans le cas où un système n'est pas en mesure de reconnaître un code, il peut choisir d'afficher le libellé qui est obligatoirement fourni avec le code.",Rodéo automobile,label,1..1,,string,
,Nature de fait,# Voir type codeAndLabel,,,,Décrit la nature de fait de l'alerte : cf.nomenclature associée.,,whatsHappen,0..1,X,codeAndLabel,REGEX: ^C\d{2}(\.\d{2}){2}$
,Type de lieu,# Voir type codeAndLabel,,,,Décrit le type de lieu : cf.nomenclature associée.,,locationKind,0..1,X,codeAndLabel,REGEX: ^L\d{2}(\.\d{2}){2}$
,Motif de recours médico-secouriste,# Voir type codeAndLabel,,,,Décrit le motif de recours médico-secouriste : cf.nomenclature associée.,,healthMotive,0..1,X,codeAndLabel,REGEX: ^M\d{2}\.\d{2}(?:\.\d{2})?$
,Détails du dossier ,,,,,Objet qui permet de décrire les détails du dossier,,details,0..1,X,caseDetails,
,,Etat du dossier,,,,"A valoriser avec l'état du dossier dans le système émetteur
Spécificité 15-15 : peut être ignoré en réception, partagé à titre indicatif uniquement
Spécificité 15-SMUR : à utiliser à minima pour transmettre le statut CLOTURE à la tablette",ACTIF,status,0..1,,string,NOMENCLATURE: HubSante.etat
,,Attribution du dossier,,,,"Décrit le type de professionnel médical à qui le dossier est attribué : médecin généraliste, médecin urgentiste etc.",DRM.MRU.MU,attribution,0..1,,string,NOMENCLATURE: HubSante.attribution
,,Priorité de régulation médicale,,,,"Décrit la priorité de régulation médicale du dossier : P0, P1, P2, P3",P1,priority,0..1,,string,NOMENCLATURE: HubSante.priorite
,,Niveau de soins du dossier,,,,"Décrit le niveau de soins global du dossier identifié au cours de l'acte de régulation médicale : s'il y a plusieurs niveaux de soins différents pour chaque patient, on indique ici le niveau le plus grave.
cf.nomenclature associée.",R1,careLevel,0..1,,string,NOMENCLATURE: HubSante.niveauSoin
Localisation,,,,,,Objet qui permet de décrire la localisation du lieu d'intervention.,,location,1..1,X,location,
,Nom du lieu,,,,,"A valoriser avec le nom de lieu : nom commercial, nom d'établissement, forêt de Fontainebleau, lac du Der, etc.",Lycée Pierre de Coubertin,name,0..1,,string,
,Identifiant(s) du lieu,,,,,Objet qui permet de transmettre le lien avec l'identifiant du lieu dans une base de données externes possiblement connue des autres acteurs,,externalLocationId,0..n,X,externalLocationId,
,,Source  /  type d'identifiant,,,,A valoriser avec le type de l'identifiant fourni. Cf nomenclature associée.,"FINESS géographique, FINESS administratif, SIREN, SIRET, APE, NAF",source,1..1,,string,NOMENCLATURE: HubSante.idLieu
,,Identifiant,,,,A valoriser avec l'identifiant en lui-même,920000650 ,value,1..1,,string,REGEX: ^([0-9A-Z]{2}0\d{5}\d|\d{9}|\d{14}|\d{4}[A-Za-z])$
,Détails de l'adresse,,,,,,,detailedAddress,0..1,X,detailedAddress,
,,Autoroute,,,,Objet qui permet de transmettre les informations liés à une autoroute. S'utilise aussi pour les voies férées et navigables. ,,highway,0..1,X,highway,
,,,Nom,,,"A valoriser avec le nom de l'autoroute, de la voie ferrée ou voie navigable.",A4,name,0..1,,string,
,,,Point kilométrique,,,"A valoriser avec le point kilométrique de l'autoroute, de la voie ferrée ou voie navigable. ",PK10,pk,0..1,,string,
,,,Sens,,,A valoriser avec le sens de l'autoroute.,Paris,direction,0..1,,string,
,,"Numéro, type et nom de voie",,,,"A valoriser avec le numéro, le type et le nom de la voie.
En réception, il est possible que seul cette information soit remplie. 

Spécificités 15-15 : si les informations pour les autoroutes (voie férée ou voie navigable) ne sont pas structurées, il est possible de passer le nom, PK et sens ici, de manière concaténée.

Spécificités 15-18 : Obligatoire et seule valeur des détails de l'adresse fournie par NexSIS.
Utilisé pour tout type de voie :  autoroute (PK, nom et sens), voie ferrée, voie navigable…",9 Bd du Montparnasse,complete,1..1,,string,TEMPLATE: {number} {wayName}
,,Numéro dans la voie,,,,"A valoriser avec le numéro dans l'adresse. La valeur de l'attribut inclut l'indice de répétition associé au numéro (par exemple bis, a…).

Spécificités 15-18 :  inclut le point kilométrique sur l'autoroute, voie ferrée ou voie navigable.","9, 4bis, PK10, …",number,0..1,,string,
,,Type et nom de voie,,,,Objet qui permet de décrire de manière structurée le type de voie et le nom de voie.,,wayName,0..1,X,wayName,
,,,Type et nom,,,"A valoriser avec le type et le nom de la voie.
Si les attributs ""type"" et ""name"" de ""wayName"" sont également renseignés, alors ""complete"" doit être valorisé ainsi : ""{type} {nom}"".",Boulevard du Montparnasse,complete,1..1,,string,TEMPLATE: {type} {name}
,,,Type,,,A valoriser avec le type de la voie,Boulevard,type,0..1,,string,
,,,Nom,,,A valoriser avec le nom de la voie,du Montparnasse,name,0..1,,string,
,Détails de la commune,,,,,Objet qui permet de transmettre les détails de la commune,,city,0..1,X,city,
,,Nom de la commune,,,,A valoriser avec le nom officiel de la commune,Lille,name,0..1,,string,
,,Code INSEE de la commune,,,,"A valoriser avec le code INSEE de la commune actuelle sur la base du Code Officiel géographique en vigueur. 
La valeur du code INSEE est obligatoire dès que le nom de la commune est renseigné (city.name).",59350,inseeCode,0..1,,string,REGEX: ^[0-9]{5}$
,Détails d'accès,,,,,"Objet qui permet de décrire l'ensemble des détails d'accès au lieu d'intervention. 
Si un, plusieurs ou la totalité des détails ne sont pas gérés individuellement, il est indiqué de reporter ces indications dans le freetext lié à la localisation de l'affaire (location.freetext).

Spécificités 15-18 : Non gérés par NexSIS; ne seront pas transmis au SAMU et seront affichés côté NexSIS en clés / valeurs dans le champ libre",,access,0..1,X,access,
,,Etage,,,,A valoriser avec le numéro ou nom de l'étage ,RDC,floor,0..1,,string,
,,Numéro de porte,,,,"A valoriser avec le numéro d'appartement, de chambre, de bureau",A16,roomNumber,0..1,,string,
,,Interphone,,,,"A valoriser avec les informations nécessaires à l'identification de l'interphone (numéro, nom)",Dupont,interphone,0..1,,string,
,,Digicode,,,,"A valoriser avec le ou les digicodes, dans l'ordre de progression dans le bâtiment.",1234A,accessCode,0..n,,string,
,,Ascenseur/escalier,,,,A valoriser avec le nom ou le numéro de l'ascenseur ou de la cage d'escalier ,C3,elevator,0..1,,string,
,,Bâtiment,,,,A valoriser avec le nom du bâtiment,Batiment B,buildingName,0..1,,string,
,,Entrée,,,,A valoriser avec le nom de l'entrée,A valoriser avec le nom de l'entrée,entrance,0..1,,string,
,,Service,,,,"A valoriser avec le nom du service concerné au sein de l'établissement : infirmerie, service finance, service comptabilité.",Infirmerie,entity,0..1,,string,
,,N° de téléphone du lieu,,,,"A valoriser avec le numéro de téléphone du lieu de l'intervention, par exemple : téléphone du secrétariat, téléphone du service administratif ou se trouve le patient/ la victime.
Le format attendu est le suivant : +{indicatif pays}{numéro de téléphone}",+33123452323,phoneNumber,0..1,,string,"REGEX: ^\+\d{5,18}$"
,Géometrie associée,,,,,Objet qui permettre de transmettre la géométrie du lien d'intervention,,geometry,0..1,X,geometry,
,,Heure du dernier relevé,,,,"A valoriser avec le groupe date heure de renseignement des coordonnées du point clé de la localisation. 
Permet de connaître la fraîcheur et donc la pertinence des informations pour intervenir.",2022-09-27T08:23:34+02:00,datetime,1..1,,datetime,Format datetime décrit dans le DST
,,Point ,,,,"Objet qui permet de décrire un point géographique.
Il est à fournir au maximum même s'il est imprécis (adapter le champs ""Précision"" dans ce cas). 
Par exemple, même sans adresse postale, il est possible de fournir le point GPS de la commune; puis d'adapter et  de préciser l'adresse en cours d'intervention.

Spécificités 15-18 : sera toujours fourni par NexSIS.",,point,0..1,X,point,
,,,Coordonnées,,,"Objet qui permet de fournir les coordonées associées au point géographique.

Spécificité 15-18 : Le SGO ne fonctionne toujours sur des coordonnées X/Y ainsi qu'une adresse indicative associée. 
NexSIS dispose donc toujours d'un point GPS utilisé pour le temps de trajet, la détermination de l'intervenant le plus proche, etc.
L'adresse est utilisée par l’intervenant pour aller sur le lieu.",,coord,1..1,X,coord,
,,,,Latitude,,A valoriser avec la latitude du point clé de la localisation - dans le système de coordonnées EPSG-4326 (indiquant l'utilisation de WGS-84) ,48.866667,lat,1..1,,number,
