code;label_n1;label_n2;label_n3;description;commentaire
ANI;Animaux;;;L'élément de texte libre contiendra des informations détaillées sur l'espèce et d'autres caractéristiques.;
BEV;Environnement bâti;;;Environnement bâti;
PPL;Personnes;;;Personnes;
VEH;Véhicules;;;Véhicules;
ANI/CON;Animaux;Statut : contaminé;;Enragé;
ANI/DEA;Animaux;Statut : décédé;;Un animal qui a perdu la vie.;
ANI/DGR;Animaux;Animal potentiellement dangereux;;S'applique aux animaux domestiques et aux animaux sauvages.;
ANI/FRM;Animaux;Animal de ferme et d'écurie;;Un animal de ferme;
ANI/HRD;Animaux;Taille du groupe : troupeau;;Un grand nombre d'animaux.;
ANI/INJ;Animaux;Statut : blessé;;Nécessitant une forme de traitement médical.;
ANI/LIV;Animaux;Statut : vivant;;Ayant la vie;
ANI/PET;Animaux;Animal domestique;;Un animal de compagnie.;
ANI/PRO;Animaux;Espèces protégées;;Animaux menacés et protégés par la loi.;
ANI/SPC;Animaux;Expertise spécifique requise;;Berger;
ANI/WLD;Animaux;Animal sauvage;;Un animal sauvage.;
BEV/ASR;Environnement bâti;Assemblée et loisirs;;Rassemblement et loisirs.;
BEV/IND;Environnement bâti;Industriel;;Industriel;
BEV/NRES;Environnement bâti;Stockage et autres non-résidentiels;;Stockage et autres non résidentiels.;
BEV/OFF;Environnement bâti;Bureau;;Bureau;
BEV/OTH;Environnement bâti;Autre;;Autre;
BEV/RESDW;Environnement bâti;Logements résidentiels;;Appartements;
BEV/RESIN;Environnement bâti;Institutions résidentielles;;Établissements de soins, par exemple les hôpitaux;
BEV/RESINT;Environnement bâti;Institution résidentielle;;Hôpital;
BEV/RESOTH;Environnement bâti;Autre résidentiel;;Hôtels;
BEV/SHP;Environnement bâti;Magasin et commercial;;Magasin et commerce;
PPL/1;Personnes;Personne;;Une seule personne.;
PPL/ADU;Personnes;Adulte - plus de 18 ans;;Cette catégorie a été définie pour les personnes qui ont l'air d'avoir plus de 18 ans. Notez que cet âge n'a pas été défini pour des raisons légales.;
PPL/CHD;Personnes;Enfant;;Enfant ou enfants;
PPL/CNT;Personnes;Contaminé;;Termes utilisés pour décrire quand quelque chose ou quelqu'un est devenu contaminé, par exemple par une contamination chimique ou lorsque quelque chose a été corrompu par contact ou association.;
PPL/DED;Personnes;Décédé;;Terme utilisé pour décrire une personne ou un animal privé de vie.;
PPL/EVC;Personnes;Évacué;;Terme utilisé pour décrire une personne évacuée d'un endroit dangereux.;
PPL/GND;Personnes;Genre;;Genre;
PPL/GRP;Personnes;Groupe de personnes;;Un groupe de personnes qui peuvent agir de concert ou non.;
PPL/HST;Personnes;Manifestant;;Manifestant;
PPL/INT;Personnes;Ivre;;Affecté par une substance qui intoxique.;
PPL/OTH;Personnes;Autre;;Y compris des emplois spécifiques tels que les étudiants.;
PPL/PRS;Personnes;Prisonnier;;Prisonnier;
PPL/SNS;Personnes;Sensibilité culturelle ou politique;;Sensibilité culturelle ou politique;
PPL/VIO;Personnes;Comportement violent;;Comportement violent;
PPL/VLN;Personnes;Vulnérabilité distinctive;;Capable d'être blessé ou vulnérable aux blessures.;
PPL/WTN;Personnes;Témoin;;Personne qui a effectivement vu un événement ou quelque chose se produire.;
PPL/CHD/BAB;Personnes;Enfant;Bébé (moins de 12 mois);Bébé (moins de 12 mois);
PPL/CHD/CHILD;Personnes;Enfant;Enfant : entre 3 et 10 ans;Un enfant a environ entre 3 ans et 10 ans.;
PPL/CHD/INF;Personnes;Enfant;BÉBÉ (entre 1 et 3 ans);Moins de 3 ans (mobilité et compréhension réduites);
PPL/CHD/YOUTH;Personnes;Enfant;JEUNESSE incluant approximativement de 13 ans à ADULTE;JEUNESSE inclut approximativement de 13 ans à ADULTE.;
PPL/GND/FML;Personnes;Genre;Femme;Personne de sexe féminin;
PPL/GND/MAL;Personnes;Genre;Homme;Personne de sexe masculin;
PPL/GND/UND;Personnes;Genre;Indéterminé;Le genre ne peut pas être visuellement déterminé.;
PPL/HST/PCF;Personnes;Manifestant;Menace envers un manifestant pacifique;Le manifestant, bien que pacifique, pourrait devenir menaçant.;
PPL/HST/SUI;Personnes;Manifestant;Personne tentant de se suicider;Personne qui a tenté ou tenté de se suicider.;
PPL/HST/THT;Personnes;Manifestant;Menace envers un manifestant sans arme;Manifestant agissant de manière menaçante sans arme.;
PPL/HST/WPN;Personnes;Manifestant;Menace envers un manifestant armé;Manifestant agissant de manière menaçante avec une arme.;
PPL/PRS/CST;Personnes;Prisonnier;Prisonnier(s) sous garde;Personne arrêtée ou détenue dans un endroit sécurisé.;
PPL/PRS/ESC;Personnes;Prisonnier;Prisonnier(s) en fuite;Prisonnier évadé d'une forme d'environnement sécurisé.;
PPL/PRS/HGS;Personnes;Prisonnier;Prisonnier(s) à haute sécurité;Prisonnier présentant un risque de sécurité élevé.;
PPL/SNS/ETH;Personnes;Sensibilité culturelle ou politique;Sensibilité ethnique;Sensibilité ethnique;
PPL/SNS/FOR;Personnes;Sensibilité culturelle ou politique;Nationalité;Le statut d'appartenance à une nation particulière.;
PPL/SNS/LAN;Personnes;Sensibilité culturelle ou politique;Langue préférée;La langue choisie.;
PPL/SNS/REL;Personnes;Sensibilité culturelle ou politique;Sensibilité religieuse;Sensibilité religieuse;
PPL/SNS/VIP;Personnes;Sensibilité culturelle ou politique;VIP;La royauté;
PPL/VLN/BLD;Personnes;Vulnérabilité distinctive;Personne aveugle;Personne aveugle ou malvoyante.;
