Champ;Balise;Version code reçu;Code reçu;Libellé reçu;Version code transmis;Code à transmettre;Libellé à transmettre;VALIDATION ANSC;VALIDATION ANS;Observation;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;1.9;C02.05.03;Atteinte aux personnesPsychiatrique;2.3;C02.18.00;Problème psychiatrique, menace de suicide;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;1.9;C02.16.02;Atteinte aux personnesAutre type d’atteinte aux personnes;2.3;C02.16.00;Autre atteinte aux personnes;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;1.9;C04.07.00;Feu à l'air libre;2.3;C04.08.00;Autre type d’incendie;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;1.9;C04.07.01;IncendieFeu de produits de classe A;2.3;C04.08.00;Autre type d’incendie;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;1.9;C04.07.02;IncendieFeu de produits de classe B;2.3;C04.08.00;Autre type d’incendie;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;1.9;C04.07.03;IncendieFeu de produits de classe C;2.3;C04.08.00;Autre type d’incendie;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;1.9;C04.07.04;IncendieFeu de produits de classe D;2.3;C04.08.00;Autre type d’incendie;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;1.9;C04.09.00;Alarme incendie;2.3;C11.01.01;Alarme incendie;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;1.9;C07.03.00;Ordre public;2.3;C07.00.00;Ordre public;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;1.9;C07.03.01;Ordre publicDifférend familial;2.3;C02.19.01;Différend familial;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;1.9;C07.03.02;Ordre publicNon représentation d’enfant;2.3;C02.19.02;Non représentation d’enfant;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;1.9;C07.03.03;Ordre publicDifférend de voisinage;2.3;C02.19.03;Différend de voisinage;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;1.9;C07.03.04;Ordre publicAutres différends;2.3;C02.19.04;Autre différend;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;1.9;C07.03.05;Ordre publicLitiges;2.3;C02.19.05;Litige;OK;OK;;;;;;
