code;label_n1;label_n2;description;commentaire
AIR;Zone Aérienne;;Zone Aérienne;
CMB;Zone de Combat;;Zone liée au combat;
DGR;Zone Polluée/Dangereuse;;Zone polluée/dangereuse;
FLAME;Zone en Combustion;;Zone en combustion;
GEN;Zone à Usage Général;;Zone à usage général;
PLUME;??;;Traînées d'émissions dangereuses d'un incident influencées par le vent et d'autres conditions météorologiques chargées de particules et autres polluants.;
SMOKE;Fumée;;Nuage de particules résultant d'une combustion suspendu dans un gaz chaud qui peut potentiellement affecter les personnes.;
VULN;Zone Vulnérable;;Zone où les gens seront à risque.;
/AIR/COR;Zone Aérienne;Couloir Aérien;Un itinéraire aérien restreint.;
/AIR/FLDZ;Zone Aérienne;Zone d'Aérodrome;Aucune définition fournie;
/AIR/LZ;Zone Aérienne;Zone d'Atterrissage;Espace aérien réservé spécifiquement pour les opérations d'atterrissage par voie aérienne.;
/AIR/NOFLZN;Zone Aérienne;Zone Sans Vol;Espace aérien de dimensions spécifiques réservé pour un objectif précis dans lequel aucune opération aérienne n'est permise, sauf autorisation du commandant approprié et de l'agence de contrôle.;
/AIR/PZ;Zone Aérienne;Zone de récupération;Une zone prévue pour récupérer des troupes et/ou du matériel par hélicoptère.;
/AIR/UAVASP;Zone Aérienne;Espace aérien pour véhicule aérien sans pilote;Un espace créé spécifiquement pour les opérations de véhicules aériens sans pilote.;
/CMB/CZ;Zone de Combat;Zone de combat;Une zone créée spécifiquement pour les besoins des forces de combat.;
/CMB/DNGR;Zone de Combat;Zone de danger;Une zone avec des dimensions définies où des activités dangereuses peuvent se produire à des moments spécifiés.;
/CMB/EXTZN;Zone de Combat;Zone d'extraction;Une zone spécifiée utilisée pour la livraison de matériel et/ou de fournitures par un moyen d'extraction depuis un avion volant très près du sol.;
/CMB/IMPTPT;Zone de Combat;Point d'impact;Le point où un projectile, une bombe ou un véhicule rentrant frappe la terre.;
/DGR/BIO;Zone Polluée/Dangereuse;Zone contaminée biologiquement;Une zone dans laquelle l'utilisation d'agents biologiques peut causer des victimes chez l'homme ou les animaux et endommager les plantes ou le matériel.;
/DGR/BOMB;Zone Polluée/Dangereuse;Zone de bombardement;Pas de définition donnée.;
/DGR/CBRNHZ;Zone Polluée/Dangereuse;Zone de risque CBRN (Chimique, Biologique, Radiologique, Nucléaire);Le contour prédit ou confirmé de la zone de risque CBRN.;
/DGR/CBRNRSD;Zone Polluée/Dangereuse;Zone CBRN de lecture/détection;Le point où une lecture, un échantillon ou une détection de CBRN est effectuée.;
/DGR/CHM;Zone Polluée/Dangereuse;Zone contaminée chimiquement;Une zone où une libération accidentelle ou délibérée de produits chimiques nocifs peut causer des dommages aux humains ou aux animaux. Par exemple, l'incident de Seveso en Italie.;
/DGR/HZD;Zone Polluée/Dangereuse;Zone de danger;La zone prévue où le personnel non protégé risque d'être affecté par la libération d'un matériau dangereux.;
/DGR/MIND;Zone Polluée/Dangereuse;Zone minée;Pas de définition donnée.;
/DGR/NGA;Zone Polluée/Dangereuse;Zone sans accès;Une zone qui n'est pas praticable.;
/DGR/NGACIV;Zone Polluée/Dangereuse;Zone sans accès civil, militaire;Une zone où l'accès est déterminé par une autorité civile ou militaire.;
