code;label_n1;label_n2;description;commentaire
/C2/;Commande et contrôle ;Commande et contrôle ;Commande et contrôle;
/CBRN/;Activités liées aux substances chimiques, bactériologiques, radioactives et nucléaires ;Activités liées aux substances chimiques, bactériologiques, radioactives et nucléaires ;Activités liées aux substances chimiques, bactériologiques, radioactives et nucléaires;
/FF/;Mission de lutte contre l'incendie ;Mission de lutte contre l'incendie ;Missions de lutte contre l'incendie;
/FSTT/;Intervention technique des services d'incendie ;Intervention technique des services d'incendie ;Intervention technique des services d'incendie;
/GEN/;Activités génériques ;Activités génériques ;Activités génériques;
/INT/;Renseignement ;Renseignement ;Renseignement;
/MAC/;Coopération multi-agences ;Coopération multi-agences ;Coopération multi-agences;
/MIL/;Activités militaires ;Activités militaires ;Activités militaires;
/NET/;Activités de réseau et de télécommunication ;Activités de réseau et de télécommunication ;Activités de réseau et de télécommunication;
/OPR/;Utilisation des ressources opérationnelles ;Utilisation des ressources opérationnelles ;Utilisation des ressources opérationnelles;
/POL/;Activités de police ;Activités de police ;Activités de police;
/REC/;Activités de reconstruction/réhabilitation ;Activités de reconstruction/réhabilitation ;Activités de reconstruction/réhabilitation;
/RSC/;Activités de sauvetage ;Activités de sauvetage ;Activités de sauvetage;
/SAV/;Sauver et secourir des vies en danger ;Sauver et secourir des vies en danger ;Sauver et secourir des vies en danger;
/SCS/;Soutenir la sécurité communautaire ;Soutenir la sécurité communautaire ;Soutenir la sécurité communautaire;
/SOC/;Activités sociales et de communication médiatique ;Activités sociales et de communication médiatique ;Activités sociales et de communication médiatique;
/C2/DEBRIF;Commande et contrôle ;Débriefing ;"Un examen de la réponse à un incident par l'ensemble des agences impliquées peut être désigné comme un ""débriefing à chaud"" ayant lieu sur le lieu de l'incident avant que les ressources aient quitté la scène.";
/C2/DNRSKA;Commande et contrôle ;Évaluation dynamique des risques ;Une évaluation du niveau de risque à différentes étapes d'un incident d'urgence.;
/C2/INASSM;Commande et contrôle ;Évaluation initiale ;"Partie du processus d'évaluation du risque ""dynamique"" réalisée par le commandant des opérations lors de la première intervention.";
/C2/OIC;Commande et contrôle ;Commande opérationnelle de l'incident ;Système de travail sûr utilisé pour gérer un incident d'urgence.;
/C2/POA;Commande et contrôle ;Actions post-incident ;Activités suivant un incident telles que l'enquête.;
/C2/THRTAS;Commande et contrôle ;Évaluation des menaces ;Une composante du processus d'évaluation du risque qui identifie les menaces évaluées pour des actions futures.;
/CBRN/CBRNCH;Activités liées aux substances chimiques, bactériologiques, radioactives et nucléaires ;CBRN, décontamination chimique ;La capacité de rendre toute personne, objet ou zone sécurisé en absorbant, détruisant, neutralisant, rendant inoffensif ou en éliminant les agents chimiques.;
/CBRN/CBRNDC;Activités liées aux substances chimiques, bactériologiques, radioactives et nucléaires ;CBRN, décontamination ;La capacité de rendre toute personne, objet ou zone sécurisé en absorbant, détruisant, neutralisant, rendant inoffensif ou en éliminant les agents chimiques ou biologiques, ou en éliminant les matières radioactives collant à celles-ci ou à leur environnement.;
/CBRN/NTRCH;Activités liées aux substances chimiques, bactériologiques, radioactives et nucléaires ;Neutraliser, chimique ;Sécuriser ou désintoxiquer un objet contaminé par un agent chimique.;
/CBRN/NUCWS;Activités liées aux substances chimiques, bactériologiques, radioactives et nucléaires ;Élimination des déchets nucléaires ;Élimination des substances contaminées par des matières nucléaires vers une zone de stockage désignée.;
/FF/IN;Mission de lutte contre l'incendie ;Lutte contre l'incendie industriel ;Lutte contre l'incendie dans les locaux industriels.;
/FF/OA;Mission de lutte contre l'incendie ;Lutte contre l'incendie en espace ouvert ;Lutte contre l'incendie en espace ouvert.;
/FF/SALVAG;Mission de lutte contre l'incendie ;Sauvetage ;Opérations visant à protéger les bâtiments et les biens contre les incendies et les inondations.;
/FF/STR;Mission de lutte contre l'incendie ;Lutte contre l'incendie structurel ;Lutte contre l'incendie dans les structures et les bâtiments.;
/FF/TRP;Mission de lutte contre l'incendie ;Lutte contre l'incendie de transport ;Lutte contre l'incendie impliquant des transports.;
/FSTT/DI;Intervention technique des services d'incendie ;Intervention en cas de catastrophe ;Réponse aux catastrophes et fourniture de services d'urgence.;
/FSTT/RRHAZ;Intervention technique des services d'incendie ;Contrôle et/ou réduction des risques dans les incidents liés aux matières dangereuses ;Gestion des matières dangereuses lors des incidents.;
/FSTT/TA;Intervention technique des services d'incendie ;Assistance technique à la communauté ou à d'autres services publics ;Fournir une assistance technique dans une situation d'urgence.;
/GEN/AIRLAU;Activités génériques ;Activité de lancement d'aéronefs ;L'occurrence du décollage d'un ou de plusieurs aéronefs.;
/GEN/ASSMBL;Activités génériques ;Assemblage ;Réunion de plusieurs objets dans la même zone.;
/GEN/CRWDCT;Activités génériques ;Contrôle de foule ;Restriction du mouvement d'un grand groupe de personnes.;
/GEN/DEMO;Activités génériques ;Démolition ;La destruction de structures, d'installations ou de matériels par utilisation du feu, de l'eau, d'explosifs, de moyens mécaniques ou d'autres moyens.;
/GEN/DEPLOY;Activités génériques ;Déploiement ;Le déploiement de ressources sur un incident. Aussi connu sous le nom de mobilisation.;
/GEN/DSTRBT;Activités génériques ;Distribution ;Diviser ou distribuer en portions.;
/GEN/FINANC;Activités génériques ;Finance ;La capacité de fournir des conseils financiers et une orientation, un soutien pour le processus d'approvisionnement, la fourniture de salaires et de soutien aux dépenses.;
/GEN/MARKNG;Activités génériques ;Marquage ;Rendre visible (par l'utilisation de la lumière/IR/laser/artillerie) un objet afin de permettre son identification par un autre objet.;
/GEN/MOVE;Activités génériques ;Déplacement ;Changement de position d'un endroit à un autre.;
/GEN/RECVRN;Activités génériques ;Récupération ;Récupération de tout objet perdu, incapacité ou capturé.;
/GEN/RECVRY;Activités génériques ;Rétablissement ;La capacité de contacter, protéger et extraire le personnel, les petits groupes ou unités ou le matériel.;
/GEN/REDPLN;Activités génériques ;Redéploiement ;Transfert d'une unité, d'un individu ou de fournitures déployées dans une zone vers une autre zone ou vers un autre emplacement à l'intérieur de la zone, en vue d'une utilisation ultérieure.;
/GEN/REORGN;Activités génériques ;Réorganisation.;Changement de l'organisation des tâches pour une opération particulière (a lieu généralement avant une opération). Cela inclut le transfert de l'autorité.;
/GEN/REPAIR;Activités génériques ;Réparation ;Restauration d'un élément en état de marche en corrigeant une défaillance spécifique ou une condition hors service.;
/GEN/RESPLN;Activités génériques ;Réapprovisionnement ;Reconstitution des stocks afin de maintenir les niveaux d'approvisionnement requis.;
/GEN/RESTNG;Activités génériques ;Repos ;Observation d'une période d'inactivité spécifiée par une organisation qui est hors de contact avec l'ennemi.;
/GEN/RETIRE;Activités génériques ;Retraite ;Déplacement d'une force hors de contact avec l'attente de ne plus avoir de contact significatif.;
/GEN/RLFPLC;Activités génériques ;Relève sur place ;Une opération dans laquelle, sur ordre d'une autorité supérieure, tout ou partie d'une unité est remplacé dans une zone par l'unité entrante. Les responsabilités des éléments remplacés pour la mission et la zone d'opérations assignée sont transférées à l'unité entrante. L'unité entrante poursuit l'opération conformément aux ordres.;
/GEN/RNDZVS;Activités génériques ;Rendez-vous ;Atteindre une réunion préalablement organisée à un moment et à un endroit donnés.;
/GEN/SCNMNG;Activités génériques ;Gestion de scène ;Le contrôle du lieu de l'incident d'urgence.;
/GEN/SECRNG;Activités génériques ;Sécurisation ;Prendre possession d'une position ou d'une caractéristique de terrain, avec ou sans recours à la force, et prendre des dispositions pour empêcher, dans la mesure du possible, sa destruction ou sa perte.;
/GEN/STNGUP;Activités génériques ;Mise en place ;Établir une installation, une organisation ou une caractéristique.;
/GEN/SUPRTN;Activités génériques ;Soutien ;Aider, protéger, compléter ou soutenir un objet.;
/GEN/TRNSPN;Activités génériques ;Transport ;Déplacer des actifs vers un objectif spécifié par mer, terre ou air.;
/INT/BIOSMP;Renseignement ;Échantillonnage biologique ;L'action de détecter un contaminant biologique.;
/INT/CHMSMP;Renseignement ;Échantillonnage chimique ;L'action de détecter un contaminant chimique.;
