code;label_n1;label_n2;description;commentaire
/LSV/CM;Unités de longueur, surface et volume;Mètre cube;Une unité internationale standard;
/LSV/CMH;Unités de longueur, surface et volume;Mètre cube(s) par heure;Unités de mètres cubes divisés par le temps écoulé en heures;
/LSV/CNTLTR;Unités de longueur, surface et volume;Centilitre;Une unité internationale standard de capacité dans le système métrique;
/LSV/DEG;Unités de longueur, surface et volume;Degré;Un des 360 segments égaux d'un cercle;
/LSV/HCTLTR;Unités de longueur, surface et volume;Hectolitre;Une unité internationale standard de capacité dans le système métrique;
/LSV/HCTMTR;Unités de longueur, surface et volume;Hectomètre;Une unité internationale standard de surface dans le système métrique;
/LSV/KM;Unités de longueur, surface et volume;Kilomètre;1 000 mètres;
/LSV/KPH;Unités de longueur, surface et volume;Kilomètre(s) par heure;Unités de 1 000 mètres divisés par le temps écoulé en heures;
/LSV/LI;Unités de longueur, surface et volume;Litre;Une unité internationale standard de capacité dans le système métrique;
/LSV/LTPRHR;Unités de longueur, surface et volume;Litre(s) par heure;Unités de litres divisés par le temps écoulé en heures;
/LSV/LTPRMN;Unités de longueur, surface et volume;Litre(s) par minute;Unités de litres divisés par le temps écoulé en minutes;
/LSV/METRE;Unités de longueur, surface et volume;Mètre;Une unité internationale standard de longueur dans le système métrique;
/LSV/MILLTR;Unités de longueur, surface et volume;Millilitre;Une unité internationale standard de capacité dans le système métrique;
/LSV/MILMTR;Unités de longueur, surface et volume;Millimètre;Une unité internationale standard de surface dans le système métrique;
/OTH/;Autres unités;Autres unités;;
/PKG/;Unités de conditionnement;Unités de conditionnement;;
/TIM/;Unités de date et heure;Unités de date et heure;;
/WGT/;Unités de poids;Unités de poids;;
/LSV/SMH;Unités de longueur, surface et volume;Mètre carré(s) par heure;Unités de mètres carrés divisés par le temps écoulé en heures;
/LSV/SQM;Unités de longueur, surface et volume;Mètre carré;Une unité internationale standard de surface dans le système métrique;
/OTH/COIL;Autres unités;Bobine;Une série d'anneaux ou de spirales connectés;
/OTH/DOZEN;Autres unités;Douzaine;Un ensemble de 12;
/OTH/EA;Autres unités;Chacun;Individuellement;
/OTH/GROSS;Autres unités;Brut;Un groupe de 144;
/OTH/MANHUR;Autres unités;Heure de travail;Une heure considérée en termes de la quantité de travail qu'une personne peut accomplir pendant cette période.;
/OTH/MHPRHR;Autres unités;Heure de travail(s) par heure;Unités d'heures de travail divisées par le temps écoulé en heures;
/PKG/BALE;Unités de conditionnement;Balle;Un gros paquet de matériel souvent enveloppé;
/PKG/BARREL;Unités de conditionnement;Baril;Un grand conteneur cylindrique ayant un dessus et un fond plats de diamètre égal.;
/PKG/BLK;Unités de conditionnement;En vrac;Distribué en masse (généralement pour les liquides).;
/PKG/BOX;Unités de conditionnement;Boîte;Un conteneur rectangulaire ayant généralement un couvercle.;
/PKG/CASE;Unités de conditionnement;Caisse;Un conteneur.;
/PKG/CONTNR;Unités de conditionnement;Conteneur;Un récipient pour contenir ou transporter des matériaux;
/PKG/CRATE;Unités de conditionnement;Caisse;Un conteneur, comme une caisse en bois à lattes.;
/PKG/DRM;Unités de conditionnement;Tonneau;Un récipient pour contenir ou transporter des matériaux ou des liquides;
/PKG/JERCAN;Unités de conditionnement;Jerrican;Un récipient qui contient 20 litres;
/PKG/PAK;Unités de conditionnement;Sac;Sac pour transporter l'équipement personnel;
/PKG/PAL;Unités de conditionnement;Palette;Distribué en unités de palettes standard de l'OTAN;
/PKG/RATION;Unités de conditionnement;Ration;Une portion fixe;
/TIM/DAY;Unités de date et heure;Jour;La date et l'heure sont définies avec une précision d'une journée;
/TIM/HR;Unités de date et heure;Heure;Une unité de durée de 3 600 secondes;
/TIM/MINUTE;Unités de date et heure;Minute;Une unité internationale standard de temps.;
/TIM/MON;Unités de date et heure;Mois;La date et l'heure sont définies avec une précision d'un mois.;
/TIM/SECOND;Unités de date et heure;Seconde;Une unité internationale standard de temps.;
/TIM/WEK;Unités de date et heure;Semaine;La date et l'heure sont définies avec une précision d'une semaine.;
/TIM/YEA;Unités de date et heure;An;La date et l'heure sont définies avec une précision d'un an.;
/WGT/CNTGRM;Unités de poids;Centigramme;Une unité internationale standard;
/WGT/GRAM;Unités de poids;Gramme;Une unité métrique de masse et de poids équivalente à 1 000e de kilogramme;
/WGT/KG;Unités de poids;Kilogramme;1 000 grammes;
/WGT/KGH;Unités de poids;Kilogramme(s) par heure;Unités de 1 000 grammes divisées par le temps éc;
