code;label_n1;label_n2;label_n3;description;commentaire
/FAC;Facilité;;; Un terme désignant quelque chose de conçu, construit, installé, etc., pour servir une fonction spécifique offrant une commodité ou un service.;
/HUM;Ressources humaines;;; Une source de soutien ou d'aide, en particulier, celle qui peut être facilement sollicitée en cas de besoin.;
/MAT;Matériel;;; Une substance ou des substances dont une chose est faite ou composée pour être fournie en soutien et en assistance en cas d'urgence.;
/ORG;Organisation;;; Une organisation qui fournit un soutien ou une assistance en cas d'urgence.;
FAC/BRIDGE;Facilité;Pont;; Une structure qui enjambe et permet le passage au-dessus d'une rivière, d'un gouffre, d'une route, ou similaire.;
FAC/BUILDN;Facilité;Bâtiment;; Une structure permanente ou temporaire offrant une construction fermée sur un terrain, ayant un toit et généralement des fenêtres, et souvent plusieurs niveaux, utilisée pour une grande variété d'activités, comme la vie, le divertissement, ou la fabrication.;
FAC/DEPOT;Facilité;Dépôt;;" ""Un endroit où les fournitures et les matériaux sont stockés en vue de leur distribution.""";
FAC/NETWK;Facilité;Réseau;; Réseau;
FAC/OPR;Facilité;Installation opérationnelle;; Installation opérationnelle;
FAC/OTH;Facilité;Autre type d'installation;; Autre type d'installation;
FAC/WATFIR;Facilité;Approvisionnements en eau et en mousse;; Approvisionnements en eau et en mousse;
/FAC/BRIDGE/MILVHL;Facilité;Pont;Militaire, lancé depuis un véhicule; Un pont transporté sur un véhicule et déployé depuis le véhicule pour une utilisation immédiate.;
/FAC/BUILDN/BARRCK;Facilité;Bâtiment;Caserne; Un bâtiment ou un groupe de bâtiments utilisé pour loger des personnes.;
/FAC/BUILDN/BUNKER;Facilité;Bâtiment;Bunker; Une chambre fortifiée.;
/FAC/BUILDN/COB;Facilité;Bâtiment;Bâtiment de communications; Un bâtiment dans lequel les signaux de communication sont traités ou contrôlés.;
/FAC/BUILDN/CTT;Facilité;Bâtiment;Tour de contrôle; Une structure semblable à une tour qui abrite les personnes et l'équipement utilisés pour contrôler la circulation aérienne, ferroviaire, ou maritime.;
/FAC/BUILDN/DAM;Facilité;Bâtiment;Barrage/écluse; Une barrière permanente traversant un cours d'eau utilisée pour retenir l'eau ou en contrôler l'écoulement.;
/FAC/BUILDN/GYMNAS;Facilité;Bâtiment;Gymnase; Bâtiment utilisé pour des activités sportives.;
/FAC/BUILDN/HANGAR;Facilité;Bâtiment;Hangar; Un espace couvert, un hangar ou un abri.;
/FAC/BUILDN/HOUSE;Facilité;Bâtiment;Maison; Un logement utilisé comme résidence pour une ou plusieurs personnes.;
/FAC/BUILDN/HUT;Facilité;Bâtiment;Cabane; Une petite maison simple ou rudimentaire.;
/FAC/BUILDN/INDINS;Facilité;Bâtiment;Installation industrielle; Une installation contenant des usines et/ou des installations productives.;
/FAC/BUILDN/OFFICE;Facilité;Bâtiment;Bureau; Un endroit où des activités commerciales, professionnelles ou de secrétariat sont menées.;
/FAC/BUILDN/SCHOOL;Facilité;Bâtiment;École; Une institution où l'enseignement est dispensé - Bâtiment éducatif.;
/FAC/BUILDN/SHD;Facilité;Bâtiment;Hangar; Une installation de stockage généralement caractérisée par un ou plusieurs côtés ouverts, des piliers de soutien et un toit.;
/FAC/BUILDN/SHLSUR;Facilité;Bâtiment;Abri de surface; Une structure fortifiée construite en surface, utilisée pour abriter du personnel et/ou de l'équipement.;
/FAC/BUILDN/SHLUND;Facilité;Bâtiment;Abri souterrain; Une structure fortifiée construite sous terre, utilisée pour abriter du personnel et/ou de l'équipement.;
/FAC/BUILDN/SHOP;Facilité;Bâtiment;Boutique; Un petit magasin de détail ou un département spécialisé dans un grand magasin.;
/FAC/BUILDN/TOW;Facilité;Bâtiment;Tour (non de communications); Une structure relativement haute.;
/FAC/BUILDN/TUN;Facilité;Bâtiment;Tunnel; Un passage souterrain ou sous-marin, ouvert aux deux extrémités.;
/FAC/BUILDN/WALL;Facilité;Bâtiment;Mur; Une structure verticale continue.;
/FAC/BUILDN/WTW;Facilité;Bâtiment;Château d'eau; Un conteneur surélevé et sa structure de support utilisés pour stocker de l'eau.;
/FAC/DEPOT/BIO;Facilité;Dépôt;Dépôt biologique; Une zone utilisée pour le stockage d'agents biologiques.;
/FAC/DEPOT/CBRN;Facilité;Dépôt;Dépôt CBRN; Une zone utilisée pour le stockage d'agents nucléaires, biologiques ou chimiques.;
/FAC/DEPOT/CHM;Facilité;Dépôt;Dépôt chimique; Une zone utilisée pour le stockage de produits chimiques.;
/FAC/DEPOT/ENG;Facilité;Dépôt;Dépôt du génie; Une zone utilisée pour le stockage d'équipements de génie.;
/FAC/DEPOT/MED;Facilité;Dépôt;Dépôt médical; Une zone utilisée pour le stockage de fournitures médicales.;
/FAC/DEPOT/MUN;Facilité;Dépôt;Dépôt de munitions; Une zone utilisée pour le stockage de munitions.;
/FAC/DEPOT/POL;Facilité;Dépôt;Dépôt de carburants, huiles et lubrifiants; Une zone utilisée pour le stockage de pétrole, d'huile et/ou de lubrifiants.;
/FAC/NETWK/ADSL;Facilité;Réseau;ADSL; Ligne d'abonné numérique asynchrone : un réseau de connexion de données à haut débit.;
/FAC/NETWK/ATM;Facilité;Réseau;Réseau de communication à commutation de modes asynchrones; La commutation de modes asynchrones (ATM) est un réseau de commutation de cellules et un protocole de couche de liaison de données qui encode le trafic de données en cellules de taille fixe (53 octets, dont 48 octets de données et 5 octets d'informations d'en-tête).;
/FAC/NETWK/CTZALT;Facilité;Réseau;Alerte aux citoyens; Alerte ou avertissement aux citoyens souvent par diffusion radio.;
/FAC/NETWK/EMGNWK;Facilité;Réseau;Réseau de communication d'urgence; Un réseau téléphonique privé assure un système de communication robuste entre les organismes d'intervention.;
/FAC/NETWK/GPRS;Facilité;Réseau;GPRS; 2e génération du réseau de téléphonie mobile public (peut être utilisée pour la transmission de la voix et/ou des données).;
/FAC/NETWK/GSM;Facilité;Réseau;GSM public/commercial; 1ère génération du réseau de téléphonie mobile public (peut être utilisée pour la transmission de la voix et/ou des données).;
/FAC/NETWK/INTRAN;Facilité;Réseau;Intranet; Auto-défini;
/FAC/NETWK/INTRNT;Facilité;Réseau;Internet; Auto-défini;
/FAC/NETWK/ISDN;Facilité;Réseau;Réseau numérique à intégration de services (RNIS); Le Réseau numérique à intégration de services (RNIS) est un système de réseau téléphonique commuté par circuit, conçu pour permettre la transmission numérique de la voix et des données sur des fils de cuivre téléphoniques ordinaires.;
/FAC/NETWK/LAN;Facilité;Réseau;Réseau local; Auto-défini;
/FAC/NETWK/PAMR;Facilité;Réseau;PAMR; Réseau de radio mobile analogique privé : utilisé par des organisations privées et des organismes de secours/sécurité.;
/FAC/NETWK/PDMR;Facilité;Réseau;PDMR; Réseau de radio mobile numérique privé : utilisé par des organisations privées et des organismes de secours/sécurité.;
/FAC/NETWK/PGSM;Facilité;Réseau;Réseau GSM privé; Réseau de téléphonie mobile de 1ère génération installé à usage privé (peut être utilisé pour la transmission de la voix et/ou des données).;
/FAC/NETWK/PSTN;Facilité;Réseau;RTPC; Réseau téléphonique public commuté (peut être utilisé pour la transmission de la voix et/ou des données).;
/FAC/NETWK/RADEHF;Facilité;Réseau;Très haute fréquence; Réseau radio avec une fréquence de 30 gigahertz à 300 gigahertz. (THF);
/FAC/NETWK/RADHF;Facilité;Réseau;Haute fréquence; Réseau radio avec une fréquence de 3 mégahertz à 30 mégahertz. (HF);
/FAC/NETWK/RADIO;Facilité;Réseau;Radio; Réseau de diffusion radio publique;
/FAC/NETWK/RADLF;Facilité;Réseau;Basse fréquence; Réseau radio avec une fréquence de 30 kilohertz à 300 kilohertz. (BF);
/FAC/NETWK/RADMF;Facilité;Réseau;Moyenne fréquence; Réseau radio avec une fréquence de 300 kilohertz à 3 000 kilohertz. (MF);
/FAC/NETWK/RADSHF;Facilité;Réseau;Très haute fréquence; Réseau radio avec une fréquence de 3 gigahertz à 30 gigahertz. (THF);
/FAC/NETWK/RADUHF;Facilité;Réseau;Ultra haute fréquence; Réseau radio avec une fréquence de 300 mégahertz à 3 000 mégahertz. (UHF);
/FAC/NETWK/RADVHF;Facilité;Réseau;Très haute fréquence; Réseau radio avec une fréquence de 30 mégahertz à 300 mégahertz. (VHF);
/FAC/NETWK/RADVLF;Facilité;Réseau;Très basse fréquence; Réseau radio avec une fréquence de 3 kilohertz à 30 kilohertz. (VLF);
/FAC/NETWK/RAYNET;Facilité;Réseau;Réseau des radioamateurs pour les situations d'urgence; Réseau des radioamateurs pour les situations d'urgence;
/FAC/NETWK/RELAY;Facilité;Réseau;Installation de relais; Une installation organisée, équipée et située dans le but d'étendre la couverture des communications électroniques et de la détection.;
/FAC/NETWK/SDSL;Facilité;Réseau;SDSL; Ligne d'abonné numérique synchrone : un réseau de connexion de données à haut débit.;
/FAC/NETWK/TV;Facilité;Réseau;Télévision; Réseau de télévision;
/FAC/NETWK/UMTS;Facilité;Réseau;UMTS; 3e génération du réseau de téléphonie mobile public (peut être utilisée pour la transmission de la voix et/ou des données).;
/FAC/NETWK/VDSL;Facilité;Réseau;VDSL; Very High Rate DSL : la prochaine génération de transmission rapide de données.;
/FAC/NETWK/WAN;Facilité;Réseau;Réseau étendu; Auto-défini;
/FAC/NETWK/WIMAX;Facilité;Réseau;WiMax; Worldwide Interoperability for Microwave Access, Inc. (groupe promouvant la norme de bande large sans fil IEEE 802.16);
/FAC/NETWK/WLAN;Facilité;Réseau;Réseau local sans fil; Auto-défini;
/FAC/OPR/AMBFAC;Facilité;Installation opérationnelle;Installation d'ambulance; L'endroit où se trouvent les véhicules d'ambulance.;
/FAC/OPR/BDHOLD;Facilité;Installation opérationnelle;Zone de conservation des corps; Une zone proche du lieu de l'urgence où les morts peuvent être temporairement conservés avant d'être transférés à la morgue d'urgence ou à la morgue.;
/FAC/OPR/CAMP;Facilité;Installation opérationnelle;Camp; Un hébergement basé sur un certain nombre de tentes ou de huttes.;
/FAC/OPR/CASBUR;Facilité;Installation opérationnelle;Bureau des victimes; Point central de contact et d'information pour tous les dossiers et les données relatifs aux victimes. (D'après le Manuel des procédures en cas d'incident majeur, 7e édition, publié en 2007 par le London Emergency Services Liaison Panel (LESLP).) Également appelé centre de crise CENTRO DE APOIO POPLIACOS SINISTRZDA (Portugal) ou bureau de crise Cabinete crise (Portugal).;
/FAC/OPR/CASCLR;Facilité;Installation opérationnelle;Centre de tri des victimes; Un espace aménagé lors d'un incident majeur par le service d'ambulance pour trier et traiter les victimes et diriger leur évacuation.;
/FAC/OPR/CASCOL;Facilité;Installation opérationnelle;Point de rassemblement des victimes; Un emplacement spécifique où les victimes sont regroupées en vue de leur transport vers un établissement de traitement médical. Également appelé Point de chargement des ambulances.;
/FAC/OPR/CP;Facilité;Installation opérationnelle;Poste de commandement; Un quartier général d'unité ou de sous-unité où le commandant et le personnel mènent leurs activités.;
/FAC/OPR/CSCLPT;Facilité;Installation opérationnelle;Point de rassemblement des victimes; Un emplacement spécifique où les victimes sont regroupées en vue de leur transport vers un établissement de traitement médical.;
