code;label_n1;description;commentaire
R01;Dommage exclusivement matériel;Usage métier DGGN permettant la graduation matériel / corporel / mortel;
R02;Auteur(s) en fuite;;
R03;Présence d’individu(s) ou public menaçant;;
R04;Présence d’individu(s) muni(s) d’une arme blanche;;
R05;Présence d’individu(s) muni(s) d’une arme à feu;;
R06;Suspicion d'attaque terroriste;;
R07;Présence de matière ou matériel dangereux;Ex : armes, matière dangereuse non identifiée;
R08;Présence de matière radiologique ou nucléaire civile ou militaire;A saisir si le caractère civil ou militaire n’est pas connu;
R09;Présence de matière radiologique ou nucléaire civile;;
R10;Présence de matière radiologique ou nucléaire militaire;;
R11;Présence de matière bactériologique;;
R12;Présence de matière chimique;;
R13;Risque d'explosion, présence de gaz;;
R14;Risque lié à l'incendie;;
R15;Risque d'effondrement;;
R16;Présence d'animal dangereux;;
R17;Nuée d'insectes;;
R18;Inondation;;
R19;Risque électrique/ risque lié à une ligne HT ou THT;HT / THT : Haute Tension / Très Haute Tension;
R20;Difficulté d’accès sur site;Ex : milieu montagneux hors voie carrossable;
R21;Difficulté d’accès au patient/victime;Ex : porte verrouillée;
R22;Gêne à la circulation;;
R23;Implication d’une autorité;En vue d’un traitement avec remontée hiérarchique;
R24;Implication d’un agent public;En vue d’un traitement sans remontée hiérarchique systématique;
R25;Implication d’une personnalité;Ex : VIP;
R26;Implication de plusieurs personnes (2 à 10);En vue de permettre aux forces de sécurité d’adapter leur dispositif d’intervention. Les autres informations contextuelles (nature des personnes impliquées, attitude, …) sont à qualifier en champ libre. A aborder par l’opérateur en même temps que le nombre de patients/victimes.;
R27;Implication de nombreuses personnes (11 et+);En vue de permettre aux forces de sécurité d’adapter leur dispositif d’intervention. Les autres informations contextuelles (nature des personnes impliquées, attitude, …) sont à qualifier en champ libre. A aborder par l’opérateur en même temps que le nombre de patients/victimes.;
R28;Patient/Victime incarcéré;;
R29;Patient/Victime décédé;;
R30;Patient/Victime blessé;;
R31;Patient/Victime dans l'eau;;
R32;Patient/Victime confiné;;
R33;Patient/Victime violent;;
R34;Patient/Victime vulnérable;Ex : personnes mineures;
R35;Patient/Victime contagieux;Ex : prise en charge de patients tuberculeux;
R36;Discrimination raciale, religieuse, sexiste ou autre;;
R37;Situation instable/indéterminée;En vue d’alerter les professionnels intervenant sur place d'un possible risque de dégradation de la situation (ex: reconnaissance sur site non achevée);
