Donnée (Niveau 1),Donnée (Niveau 2),Donnée (Niveau 3),Donnée (Niveau 4),Donnée (Niveau 5),Donnée (Niveau 6),Description,Exemples,Balise,Cardinalité,Objet,Format (ou type),Détails de format
Contexte,,,,,,L'objet contexte fournit certaines informations contextuelles pertienentes pour l'échange opérationnel,,CONTEXT,1..1,X,context,
,Identifiant du message,,,,,"A constituer par le rédacteur du présent EMSI pour être unique, il est préconisé de reprendre la valeur du champ messageId de l'entête RC-DE.",d350c9d2-9d76-4568-b0b7-a747ffadc949,ID,1..1,,string,Longueur maximale : 40 caractères
,Mode,,,,,Valeur constante dans le cadre des échanges LRM-NexSIS : ACTUAL,ACTUAL,MODE,1..1,,string,"ENUM: ACTUAL, EXERCS, SYSTEM, TEST"
,Type de message,,,,,"- A valoriser avec la valeur ""ALERT"" lors du premier échange entre systèmes.
- A valoriser avec la valeur constante ""UPDATE"" ensuite.
Peut ne pas être interprété par les LRM.",UPDATE,MSGTYPE,1..1,,string,"ENUM: ACK, ALERT, CANCEL, ERROR, UPDATE"
,Date et heure de création,,,,,"Obligatoire dans le cadre d'une demande de concours, contient la date de création de la demande de concours dans le système du partenaire requérant.
A valoriser avec le même horaire que dateTimeSent dans le message RC-DE associé.
Dans le cadre d'une demande de concours, obligatoire. Ce champ est valorisée avec l'heure de création de la demande de concours chez le partenaire emetteur. L'heure d'envoi du message peut être obtenue via l'enveloppe EDXL-DE (se référer au DST)",2022-09-27T08:25:54+02:00,CREATION,0..1,,datetime,Format datetime décrit dans le DSF
,Lien,,,,,Optionnel,,LINK,0..n,X,link,
,,ID,,,,"A renseigner avec l'identifiant de l'organisation (champ organization du message RC-EDA) suivi de l'identifiant local de l'affaire du partenaire requérant (champ senderCaseId du message RC-EDA).
{pays}.{domaine}.{organisation}.{structure interne}*.{unité fonctionnelle}*.{numéro de dossier}",fr.health.samu440.DRFR15DDXAAJJJ0000,ID,1..1,,string,
,,Rôle du lien,,,,"Optionnel : à valoriser avec la constante ""SPRSDS"" pour un message EMSI, incluant des missions RDC et/ou OPG et avec le libellé ""ADDSTO"" pour un message EMSI, incluant uniquement qu'une demande de concours (EMSI-DC).",ADDSTO,LINK_ROLE,0..1,,string,"ENUM: ADDSTO, SPRSDS"
,Niveau,,,,,"A valoriser avec la valeur constante ""OPR"" dans le cadre d'un message EMSI, incluant une mission OPG",OPR,LEVEL,0..1,,string,"ENUM: STRTGC, OPR, TACTCL"
,Niveau de classification,,,,,"Optionnel

Dans NexSIS ; 
Les messages transmis par NexSIS auront un champ valorisé avec systématiquement le même code: ""RESTRC""=restricted
Les LRM doivent également renseigner la valeur ""RESTRC""",RESTRC,SECLASS,0..1,,string,"ENUM: CONFID, RESTRC, SECRET, TOPSRT, UNCLAS, UNMARK"
