,ID,Donnée (Niveau 1),Donnée (Niveau 2),Donnée (Niveau 3),Donnée (Niveau 4),Donnée (Niveau 5),Donnée (Niveau 6),Description,Exemples,Balise NexSIS,Nouvelle balise,Cardinalité,Objet,Format (ou type),Nomenclature/ énumération,Détails de format,15-18,15-15
0,1,Identifiant affaire/dossier,,,,,,"Identifiant de l'affaire partagé entre tous les intervenants = aux champs {organization}.{senderCaseId}.
Il doit pouvoir être généré de façon unique et décentralisée et ne présenter aucune ambiguïté. 
Il est généré par le système du partenaire récepteur de la primo-demande de secours (créateur du dossier).
Valorisation : {pays}.{domaine}.{organisation}.{structure interne}*.{unité fonctionnelle}*.{numéro de dossier}",fr.health.samu440.DRFR15DDXAAJJJ0000,,caseId,1..1,,string,,,,X
1,2,ID DDR partagé,,,,,,Identifiant unique partagé de la demande de ressource,,,RSDDRId,1..1,,string,,,,X
2,3,Demande de ressource,,,,,,Groupe date heure de début de la demande,2022-09-27T08:23:34+02:00,,resourceRequest,0..1,X,request,,Format datetime décrit dans le DSF,,X
3,4,,Date Heure de création de la demande,,,,,Voir liste des effets à obtenir identifiés,,,dateTime,1..1,,datetime,,Format datetime décrit dans le DSF,,X
4,5,,Cadre conventionnel,,,,,Nomenclature ? ,,,convention,0..1,,string,,,,X
5,6,,Délai souhaité,,,,,Délai d'intervention souhaité,,,deadline,0..1,,string,,,,X
6,7,,Effet à obtenir,,,,,Motif de la demande de ressource auprès du partenaire,,,purpose,1..1,,string,X,,,X
7,8,,Précisions sur la demande,,,,,Texte libre permettant de détailler la demande,,,freetext,0..1,,string,,,,X
8,9,Lieu de prise en charge,,,,,,"Permet de décrire le lieu d'intervention, lorsqu'il est différent de celui porté au dossier. Par exemple dans un cas de jonction, ou pour un TIH.",,,originLocation,0..1,X,location,,,,X
10,11,,Type d'origine/destination,,,,,,"Indique le type de d'origine /destination de la ressource : service d’urgences d’un Etablissement de santé, autres services d’un établissement de santé, cabinet d’un professionnel de santé, domicile personnel, EPHAD ou long séjour, autre",,type,0..1,,string,X,"ENUM: service d’urgences d’un Etablissement de santé, autres services d’un établissement de santé, cabinet d’un professionnel de santé, domicile personnel, EPHAD ou long séjour, autre",,X
12,13,,Nom du lieu,,,,,"Indique le nom de lieu : nom commercial, Etablissement, forêt de Fontainebleau, lac du Der (plutôt à destination des systèmes).",Lycée Pierre de Coubertin,,name,0..1,,string,,,,X
13,14,,Identifiant(s) du lieu,,,,,Permet d'identifier une structure commerciale ou un établissement,,,externalLocationId,0..n,X,externalLocationId,,,,X
14,15,,,Source  /  type d'identifiant,,,,Type de l'identifiant fourni,"FINESS géographique, FINESS administratif, SIREN, SIRET, APE, NAF",,source,1..1,,string,X,"ENUM: FINESS administratif, FINESS géographique, SIREN, SIRET, APE/NAF",,X
15,16,,,Identifiant,,,,L'identifiant en lui-même,920000650 ,,value,1..1,,string,,,,X
16,17,,Détails de l'adresse,,,,,,,,detailedAddress,0..1,X,detailedAddress,,,,X
17,18,,,"Numéro, type et nom de voie",,,,"Numéro, type et nom de la voie. Utilisé pour tout type de voie :  autoroute (PK, nom et sens), voie ferrée, voie navigable…
15-18 : Obligatoire et seule valeur des détails de l'adresse fournie par NexSIS.",9 Bd du Montparnasse,,complete,1..1,,string,,TEMPLATE: {number} {wayName},,X
18,19,,,Numéro dans la voie,,,,"Numéro dans l'adresse (inclut point kilométrique sur l'autoroute, voie ferrée ou voie navigable). Inclut l'indice de répétition associé au numéro (par exemple bis, a…).","9, 4bis, PK10, …",,number,0..1,,string,,,,X
19,20,,,Type et nom de voie,,,,,,,wayName,0..1,X,wayName,,,,X
20,21,,,,Type et nom,,,"Type et nom de la voie (venant d'un référentiel ou non)
Si les champs type et name sont renseignés, le champ callerName doit être valorisé ainsi : ""{type} {nom}"".",Boulevard du Montparnasse,,complete,1..1,,string,,TEMPLATE: {type} {name},,X
21,22,,,,Type,,,Type de la voie,Boulevard,,type,0..1,,string,,,,X
22,23,,,,Nom,,,Nom de la voie,du Montparnasse,,name,0..1,,string,,,,X
23,24,,Détails de la commune,,,,,,,,city,0..1,X,city,,,,X
24,25,,,Nom de la commune,,,,Nom officiel de la commune actuelle,Lille,,name,0..1,,string,,,,X
