Donnée (Niveau 1),Donnée (Niveau 2),Donnée (Niveau 3),Donnée (Niveau 4),Donnée (Niveau 5),Donnée (Niveau 6),Description,Exemples,Balise,Cardinalité,Objet,Format (ou type),Détails de format
Optional string,,,,,,This field is optional,,optionalStringField,0..1,,string,
Enumeration,,,,,,This is an enumeration,,enumerationField,0..1,,string,"ENUM: ENUM_VALUE_1, ENUM_VALUE_2, ENUM_VALUE_3, ENUM_VALUE_4, ENUM_VALUE_5"
Optional integer,,,,,,This is an integer,,integerField,0..1,,integer,
Optional number,,,,,,This is a number,,numberField,0..1,,number,
Optional boolean,,,,,,This is a boolean,,booleanField,0..1,,boolean,
Object,,,,,,This is an object,,objectField,0..1,X,technicalObject,
,Object property A,,,,,Object property string,,objectPropertyString,0..1,,string,
,Object property B,,,,,Object property number,,objectPropertyNumber,0..1,,number,
,Required Object Property,,,,,Required object property,,objectPropertyRequiredString,1..1,,string,
Array,,,,,,This is an array,,arrayField,0..n,,string,
Array of enumerations,,,,,,This is an array of enumerations,,enumArrayField,0..n,,string,"ENUM: ENUM_VALUE_10, ENUM_VALUE_20, ENUM_VALUE_30, ENUM_VALUE_40, ENUM_VALUE_50"
Array with maximum length,,,,,,This is an array with a maximum length,,arrayWithMaxLength,0..5,,string,
Phone number with regex,,,,,,Phone number with regex,,phoneNumberField,0..1,,string,"REGEX: ^\+?[0-9]{2,14}$"
Date,,,,,,Date,,dateField,0..1,,date,
Email with regex,,,,,,Email with regex,,emailField,0..1,,string,"REGEX: ^[a-zA-Z0-9_.-]+@([a-zA-Z0-9_-]+\.)+[a-zA-Z0-9_-]{2,4}$"
Datetime,,,,,,Datetime,,datetimeField,0..1,,datetime,
Level 1 Object,,,,,,Object at data level 1,,objectLevel1,0..1,X,levelOneData,
,Level 2 Object 1,,,,,Object 1 at data level 2,,object1Level2,0..1,X,levelTwoData,
,,Level 3 Object 1,,,,Object 1 at data level 3,,object1Level3,0..1,X,levelThreeData,
,,,Level 4 Field,,,String field at level 4,,stringLevel4,0..1,,string,
,,Level 3 Field,,,,String field at level 3,,stringLevel3,0..1,,string,
,Level 2 Field,,,,,String field at level 2,,stringLevel2,0..1,,string,
,Level 2 Object 2,,,,,Object 2 at data level 2,,object2Level2,0..1,X,secondLevelTwoData,
,,Level 3 Object 2,,,,Object 2 at data level 3,,object2Level3,0..1,X,levelThreeData,
Nomenclature,,,,,,Enum from extenal nomenclature file,,nomenclatureField,0..1,,string,NOMENCLATURE: HubSante.sexe
