,code,label_n1,label_n2,Libellé niveau 3,description,commentaire
0,SMUR,Smur,,,Ressources des SMUR,
1,SMUR.ADULT,,Smur Généraliste,,,UMH
2,SMUR.PED,,Smur Pédiatrique ou Néonat,,,UMH-PED
3,SMUR.UMH-S,,Smur Spécialisé ,,Exemple UMH Obstétrique et autre UMH à venir,UMH-S
4,SMUR.CUMP,,Cellule d'Urgence Médico Psychologique,,,CUMP
5,HOSPIT,Hospitaliers (hors Smur),,,"Ressources relevant des établissements de santé, public ou privé, hors des ressources du SMUR",
6,LIBERAL,Professionnels Libéraux,,,Ressources relevant de la prise en charge par des professionnels libéraux,
7,LIBERAL.MG,,Médecin Généraliste,,,
8,LIBERAL.PHARM,,Pharmacien,,,
9,LIBERAL.INF,,Infirmier,,,
10,LIBERAL.KINE,,Kinésithérapeuthes,,,
11,LIBERAL.SOS,,Association de permanence de soins,,,
12,LIBERAL.MMG,,Maison médicale de garde,,,
13,LIBERAL.MSPD,,Maison de Santé Pluri Disciplinaire,,,
14,LIBERAL.MCS,,Médecin Correspondant de Samu,,,
15,LIBERAL.SPEMED,,Médecin autre spécialité,,,
16,LIBERAL.DENT,,Dentiste,,,
17,LIBERAL.LABO,,Laboratoire d'analyses médicales,,,
18,LIBERAL.AUTREPRO,,Autre professionnel de santé,,,
19,TSU,Ambulanciers privés (Transporteurs Sanitaires Urgent),,,Ressources relevant des sociétés d'ambulances privées,
20,SIS,Pompiers,,,Ressources relevant des services d'incendie et de secours,
21,SIS.MEDSP,,Medecin Sapeur-Pompier,,,
22,SIS.ISP,,Infirmier Sapeur-Pompier,,,
23,SIS.SP,,Secouriste,,,
24,AASC,"Sécurité civile, secouriste",,,Ensemble des ressources fixes ou mobiles relevant des organisations de secourisme,
25,FDO,Force de l'Ordre et douanes,,,"Ensemble des ressources fixes ou mobiles relevant des forces de l’ordre (police nationale, municipale, gendarmerie nationaux et douanes)",
26,FDO.PN,,Police Nationale,,,
27,FDO.GEND,,Gendarmerie Nationale,,,
28,FDO.PM,,Police Municipale,,,
29,FDO.DOUANES,,Douane,,,
30,AUTRE,Autres ressources,,,Autres ressources ne relevant d’aucune autre catégorie définie,
31,AUTRE.ADM,,Institutions administratives et sociales,,,
32,AUTRE.DAE,,Défibrillateur Automatique,,,
33,AUTRE.AUTRE,,Autre moyen,,,
