code;label_n1;description;commentaire
AER15M;Appareil aérien jusqu'à 15 m ; Appareil aérien ou échelle avec une hauteur utile jusqu'à 15 m (ou 50 pieds);
AER15M;Appareil aérien jusqu'à 25 m ; Appareil aérien ou échelle avec une hauteur utile entre 15 m (50 pieds) et 25 m (80 pieds);
AER15M;Appareil aérien jusqu'à 35 m ; Appareil aérien ou échelle avec une hauteur utile entre 25 m (80 pieds) et 35 m (115 pieds);
AER15M;Appareil aérien jusqu'à 50 m ; Appareil aérien ou échelle avec une hauteur utile entre 35 m (115 pieds) et 50 m (160 pieds);
AER15M;Appareil aérien de plus de 50 m ; Appareil aérien ou échelle avec une hauteur utile de plus de 50 m (160 pieds);
AER15M;Seau Bambi pour aéronef ; Cette capacité indique que l'aéronef (hélicoptère) transporte un seau Bambi pour le transport de l'eau.;
AER15M;Aéronef avec un réservoir ; Cette capacité indique que l'aéronef transporte un réservoir (pour l'eau).;
AER15M;Treuil de sauvetage ; Cette capacité indique qu'un hélicoptère est équipé d'un treuil pour le sauvetage de personnes.;
AER15M;Véhicule tout-terrain ; Cette capacité s'applique à un véhicule ou à une remorque. Elle indique que le véhicule est destiné à être utilisé sur des routes avec certaines capacités tout-terrain (sur des sentiers par exemple).;
AER15M;Ce véhicule transporte généralement 10 personnes ou plus, y compris le conducteur. ; Ce véhicule transporte généralement 10 personnes ou plus, y compris le conducteur.;
AER15M;Ce véhicule transporte généralement 2 ou 3 personnes, y compris le conducteur. ; Ce véhicule transporte généralement 2 ou 3 personnes, y compris le conducteur.;
AER15M;Ce véhicule transporte généralement de 2 à 6 personnes, y compris le conducteur. ; Ce véhicule transporte généralement de 2 à 6 personnes, y compris le conducteur.;
AER15M;Ce véhicule transporte généralement de 7 à 9 personnes, y compris le conducteur. ; Ce véhicule transporte généralement de 7 à 9 personnes, y compris le conducteur.;
AER15M;Capacité d'extinction ; Elle décrit le type et le volume des matériaux d'extinction, exprimés avec 4 chiffres : 1er chiffre = nombre de litres d'eau. 2e chiffre = nombre de litres de concentré de mousse. Après ce chiffre, jusqu'à 4 caractères peuvent indiquer le type de la mousse (valeur par défaut TBD). 3e chiffre = nombre de kilogrammes de poudre. Après ce chiffre, jusqu'à 4 caractères peuvent indiquer le type de la poudre (valeur par défaut TBD). 4e chiffre = nombre de kilogrammes de CO2 Exemple : pour un camion qui transporte 3 000 l de concentré de mousse ARF et 50 kg de CO2, la chaîne sera : CAPD'EXT/0/3000ARF/0/50.;
AER15M;Tout-terrain ; Cette capacité s'applique à un véhicule ou à une remorque. Elle indique que le véhicule est destiné à être utilisé en tout-terrain (y compris sur un terrain difficile avec des pentes et des trous).;
AER15M;Sur route ; Cette capacité s'applique à un véhicule ou à une remorque. Elle indique que le véhicule est destiné à être utilisé uniquement sur des routes (pas en tout-terrain).;
