code;label_n1;label_n2;description;commentaire
EO.01.01;SECURITE PUBLIQUE;INDIVIDU(S) VIOLENT(S) NON ARME(S);;
EO.01.02;SECURITE PUBLIQUE;INDIVIDU(S) VIOLENT(S) ARME(S);;
EO.01.03;SECURITE PUBLIQUE;DECOUVERTE ARME / OBJET DANGEREUX;;
EO.01.04;SECURITE PUBLIQUE;BESOIN DEMINAGE;;
EO.01.05;SECURITE PUBLIQUE;IPM;;
EO.01.06;SECURITE PUBLIQUE;CONSTATATIONS / ENQUETE;;
EO.01.07;SECURITE PUBLIQUE;ASSISTANCE DEMINAGE;;
EO.02.01;PROTECTION & SOUTIEN;PERIMETRE DE SECURITE;;
EO.02.02;PROTECTION & SOUTIEN;SECURISATION PARTENAIRES INTERVENANTS;;
EO.02.03;PROTECTION & SOUTIEN;ESCORTE / ASSISTANCE CIRCULATION PARTENAIRE;;
EO.02.04;PROTECTION & SOUTIEN;GESTION CIRCULATION ROUTIERE;;
EO.02.05;PROTECTION & SOUTIEN;BESOIN SECOURISTE / PERSONNE(S) BLESSE(ES);;
EO.03.01;TRANSPORT;TRANSPORT DE PERSONNE;;
EO.03.02;TRANSPORT;TRANSPORT BARIATRIQUE;;
EO.03.03;TRANSPORT;BRANCARDAGE;;
EO.03.04;TRANSPORT;CARENCE AMBULATOIRE;;
EO.03.05;TRANSPORT;TRANSFERT INTERETABLISSEMENT ;;
EO.04.01;SECOURS A LA PERSONNE;OUVERTURE ACCES DANS LOCAL;;
EO.04.02;SECOURS A LA PERSONNE;RECHERCHE PERSONNES;;
EO.04.03;SECOURS A LA PERSONNE;SIGNALEMENT RECHERCHE PERSONNES;;
EO.04.04;SECOURS A LA PERSONNE;VICTIME ENSEVELIE;;
EO.04.05;SECOURS A LA PERSONNE;PRISE EN CHARGE PERSONNES VULNERABLES;;
EO.04.06;SECOURS A LA PERSONNE;INFORMATION SIGNALEMENT AUTEUR;;
EO.04.07;SECOURS A LA PERSONNE;DESINCARCERATION;;
EO.04.08;SECOURS A LA PERSONNE;DEGAGEMENT DE PERSONNE;;
EO.04.09;SECOURS A LA PERSONNE;EVACUATION EN HAUTEUR;;
EO.04.10;SECOURS A LA PERSONNE;INTERVENTION MILIEU DIFFICILE D'ACCES;;
EO.04.11;SECOURS A LA PERSONNE;RELEVAGE;;
EO.05.01;SOINS D'URGENCE;ANALYSE MEDICO ADMINISTRATIVE;;
EO.05.02;SOINS D'URGENCE;NOMBREUSES VICTIMES;;
EO.05.03;SOINS D'URGENCE;MEDICALISATION OU EVALUATION MEDICALE;;
EO.05.04;SOINS D'URGENCE;PRISE EN CHARGE SECOURISTE;;
EO.05.05;SOINS D'URGENCE;RISQUES INFECTIEUX;;
EO.05.06;SOINS D'URGENCE;SOUTIEN MEDICO PSYCHOLOGIQUE ???;;
EO.05.07;SOINS D'URGENCE;PRISE EN CHARGE SOCIALE;;
EO.05.08;SOINS D'URGENCE;PARA MEDICALISATION;;
EO.06.01;SECOURS RISQUE INCENDIE,  TECHNOLOGIQUE ET NATUREL;LUTTE INCENDIE;;
EO.06.02;SECOURS RISQUE INCENDIE,  TECHNOLOGIQUE ET NATUREL;ODEUR SUSPECTE;;
EO.06.03;SECOURS RISQUE INCENDIE,  TECHNOLOGIQUE ET NATUREL;LUTTE POLLUTION / NRBC;;
EO.06.04;SECOURS RISQUE INCENDIE,  TECHNOLOGIQUE ET NATUREL;RISQUE TECHNOLOGIQUE;;
EO.06.05;SECOURS RISQUE INCENDIE,  TECHNOLOGIQUE ET NATUREL;CHUTE DE MATERIAUX;;
EO.06.06;SECOURS RISQUE INCENDIE,  TECHNOLOGIQUE ET NATUREL;RISQUE EFFONDREMENT / MOUVEMENT DE TERRAIN;;
EO.06.07;SECOURS RISQUE INCENDIE,  TECHNOLOGIQUE ET NATUREL;RISQUE EAU;;
EO.06.08;SECOURS RISQUE INCENDIE,  TECHNOLOGIQUE ET NATUREL;ANIMAL DANGEREUX ET/OU EN DETRESSE;;
EO.07.01;TOUTE SITUATION;INFORMATION FAMILLE VICTIMES;;
EO.07.02;TOUTE SITUATION;AUTRE;;
