code;label_n1;label_n2;description;commentaire
ASB;Comportement antisocial;;;
ASR;Assistance ou sauvetage pour les personnes/les animaux;;;
EXP;Explosion;;;
FIR;Incendie;;;
FLD;Inondation;;;
GND;Événement au sol;;;
HLT;Santé;;;
POL;Pollution;;;
PSW;Sécurité publique/bien-être;;;
TRP;Transport;;;
ASB/ABV;Comportement antisocial;Véhicule abandonné;Véhicule qui a été laissé sans surveillance.;
ASR/ATM;Assistance ou sauvetage pour les personnes/les animaux;Fumée/atmosphère non respirable;Atmosphère qui nécessite un équipement de respiration spécialisé pour maintenir la vie.;
ASR/HGT;Assistance ou sauvetage pour les personnes/les animaux;Sauvetage en hauteur;Sauvetage d'urgence à partir d'une hauteur au-delà de la portée normale de l'équipement de sauvetage standard.;
ASR/ICE;Assistance ou sauvetage pour les personnes/les animaux;Sauvetage sur la glace;Sauvetage d'une victime de, sur ou sous la glace.;
ASR/MAR;Assistance ou sauvetage pour les personnes/les animaux;Naufragé;Personnes dans une position ou une situation où l'auto-sauvetage est impossible.;
ASR/SIL;Assistance ou sauvetage pour les personnes/les animaux;Sauvetage dans des silos/sable;Opérations de sauvetage à l'intérieur de silos.;
ASR/TRP;Assistance ou sauvetage pour les personnes/les animaux;Piégé;Situation dans laquelle une victime ne peut pas s'auto-sauver.;
ASR/UDG;Assistance ou sauvetage pour les personnes/les animaux;Sauvetage souterrain;Opérations de sauvetage en-dessous du niveau du sol.;
ASR/WAT;Assistance ou sauvetage pour les personnes/les animaux;Sauvetage dans l'eau;Opérations de sauvetage dans l'eau;
EXP/AER;Explosion;Aérosols;Une suspension gazeuse de fines particules solides ou liquides, conditionnée sous pression avec un propulseur gazeux pour être libérée sous forme de fines particules en spray.;
EXP/AMM;Explosion;Munitions;Explosifs utilisés dans des armes comme les balles, les obus, etc.;
EXP/BLEVE;Explosion;BLEVE;Explosion de vapeur de liquide bouillant qui se dilate;
EXP/CHM;Explosion;Produits chimiques;Substance produite par ou utilisée dans un processus chimique;
EXP/CYL;Explosion;Bouteilles;Bouteilles contenant une forme de gaz comprimé comme le butane;
EXP/DST;Explosion;Poussière;Particules fines de substances combustibles visibles à l'œil nu formant un nuage dépassant les concentrations minimales d'explosion;
EXP/FRW;Explosion;Feux d'artifice;Un dispositif combustible ou explosif pour produire un affichage spectaculaire de lumière ou un bruit fort, utilisé pour la signalisation ou dans le cadre d'une célébration;
EXP/GAS;Explosion;Explosion de gaz;Explosion due à une accumulation de gaz;
EXP/HGHFLM;Explosion;Hautement inflammable;Un terme générique utilisé pour décrire tout matériau/substance hautement inflammable;
EXP/HPP;Explosion;Produits à haute pression (y compris la vapeur...);;
EXP/IMP;Explosion;Dispositifs improvisés;Molotov, lettres piégées, ...;
EXP/LPG;Explosion;Gaz de pétrole liquéfié (LPG);Gaz de pétrole liquéfié;
EXP/NUK;Explosion;Nucléaire (y compris certaines bombes sales);;
EXP/PRD;Explosion;Produits commerciaux;Dynamite, TNT, SEMTEX, ...;
EXP/UKN;Explosion;Inconnu;Terme utilisé lorsque la source de quelque chose n'est pas connue;
FIR/CLA;Incendie;Classe de feu A;Organique — papier, bois, etc. Utiliser de l'eau.;
FIR/CLB;Incendie;Classe de feu B;Liquides/gaz inflammables. Utiliser des produits chimiques secs ou des couvertures anti-feu.;
FIR/CLC;Incendie;Classe de feu C;Équipement électrique ou câblage sous tension. Utiliser du CO2 ou de la poudre sèche.;
