code;label_n1;label_n2;description;commentaire
M01.00;Détresse vitale;;;
M01.01;;Suspicion d’arrêt cardiaque, mort subite;;
M01.02;;Altération de la conscience;Dont inconscient, coma;
M01.03;;Détresse respiratoire;Difficulté pour parler, s’étouffe, sueur, étouffement, fausse route;
M02.00;Blessure;;;
M02.01;;Saignements;Ex : Epistaxis (saignements du nez), hémoptysie (rejet de sang par la bouche);
M02.02;;Hémorragie sévère liée à un traumatisme;Plaie vasculaire externe ou extériorisée / Persistance malgré compression;
M02.03;;Hypothermie, gelure, coup de chaleur, insolation;;
M02.04;;Brûlure grave;"Brûlure grave si localisation cervico-faciale et supérieure au 1er degré
Brûlure de 3e degré : La peau peut être cartonnée, blanche ou noire, insensible à la douleur";
M02.05;;Brûlure sans critère de gravité;"> Brûlure de 1er degré : La peau est rouge mais physiquement intacte (ni cloques ni arrachement)
> Brûlure superficielle ou profonde de 2e degré : Présence de cloques remplies ou percées entourées d’une zone rouge.";
M02.06;;Traumatisme bénin, petite plaie, lésion bénigne;;
M02.07;;Traumatisme sérieux, plaie intermédiaire;;
M02.08;;Traumatisme grave, plaie délabrante;;
M02.09;;Section complète de membre, de doigts;;
M02.10;;Ecrasement de membre ou du tronc;;
M03.00;Problème médical;;;
M03.01;;Accouchement imminent ou en cours;Dont accouchement réalisé;
M03.02;;Autre problème obstétrique non hémorragique;Yc. 1er trimestre de grossesse;
M03.03;;Saignements gynécologiques;;
M03.04;;Saignements obstétricaux;;
M03.05;;Problème gynécologique et uro-génital;;
M03.06;;Douleur thoracique;;
M03.07;;Problème neurologique hors AVC, épilepsie;"Dont convulsions persistantes
AVC : accident vasculaire-cérébral";
M03.08;;Signes d’AVC;AVC : accident vasculaire-cérébral;Absent des référentiels actuels mais maintenu au vu de la hausse des cas constatés
M03.09;;Malaise sans perte de connaissance initiale;;
M03.10;;Malaise avec perte de connaissance initiale;Dont syncope;
M03.11;;Céphalée, migraines;;
M03.12;;Gêne respiratoire;Corps étranger dans les voies aériennes, dyspnée, toux, asthme;
M03.13;;Autre problème cardio-vasculaire;Ex : palpitations, hypertension, HTA (hyper tension artérielle);
M03.14;;Fièvre, problème infectieux;;
M03.15;;Problème allergique;;En cas de problème allergique, si signe prédominant grave, ce dernier est à privilégier (ex : en cas d’oedeme, privilégier détresse respiratoire plutôt que problème allergique)
M03.16;;Problème psychiatrique;Dont personne dépressive suicidaire;
M03.17;;Agitation, anxiété, spasmophilie;;
M03.18;;Saignements;Ex : Epistaxis (saignements du nez), hémoptysie (rejet de sang par la bouche);
M03.19;;Hémorragie sévère;Hématémèse (vomissement de sang), plaie vasculaire externe ou extériorisée / Persistance malgré compression;
M03.20;;Douleur abdominale isolée;;
M03.21;;Trouble digestif;Ex : Constipation, diarrhée, vomissement;
M03.22;;Autre douleur ;;
M04.00;Intoxications;;;
M04.01;;Intoxication volontaire et sevrage;Médicament, gaz, produit chimique, état de manque, toxicomanie;
M04.02;;Intoxication involontaire ou accidentelle à des produits toxiques;;
M04.03;;Ébriété, ivresse;;
M04.04;;Intoxication éthylique aiguë;;Intoxication éthylique aïgue issue de l’instruction DGOS/R2/DGSCGC/2016/399 du 30/11/16
M05.00;Problème ou détresse sociale;;;
M05.01;;Problème social ou sanitaire;;
M05.02;;Altération de l’état général – misère physiologique et incurie;Incurie : négligence extrême;
M06.00;Autre type de demande;;;
M06.01;;Décès certain, demande de certificat de décès;;
M06.02;;Demande de conseil médical, certificats - ordonnance;;
M06.03;;Personne restant à terre suite à une chute;Relevage;
M06.04;;Autres motifs ou pas de motif identifié;Dont demande de transfert, de retour au domicile, de transport pour greffe ou transplantation, pour obésité avec nécessité de recours à des moyens bariatriques;
M07.00;Non renseigné;;;Valeur par défaut
