Donnée (Niveau 1),Donnée (Niveau 2),Donnée (Niveau 3),Donnée (Niveau 4),Donnée (Niveau 5),Donnée (Niveau 6),Description,Exemples,Balise,Cardinalité,Objet,Format (ou type),Détails de format
Identifiant du rendez-vous,,,,,,"Un identifiant technique unique par RDV est transmis. 

Cet identifiant est défini par la plateforme numérique SAS et peut prendre la forme d’un UUID par exemple. 
La solution éditeur devra s’appuyer sur cet ID pour la gestion des requêtes de mises à jour.",12348,appointmentId,1..1,,string,
Méthode,,,,,,Indique un message de création ou de modification du rendez-vous,createAppointment,method,1..1,,string,"ENUM: CreateAppointment, UpdateAppointment"
Date et heure de la prise de rendez-vous,,,,,,Indique la date et l’heure de la prise de RDV,2025-06-17T10:15:56+01:00,created,1..1,,datetime,
Date et heure de début du rendez-vous,,,,,,Indique la date et l’horaire de début du rendez-vous,2025-06-17T14:00:00+01:00,start,1..1,,datetime,
Date et heure de fin du rendez-vous,,,,,,Indique la date et l’horaire de fin du rendez-vous,2025-06-17T14:20:00+01:00,end,0..1,,datetime,
Statut du rendez-vous,,,,,,Indique le statut du rendez-vous,booked,status,1..1,,string,"ENUM: pending, booked, fulfilled, noshow, cancelled"
Catégorie d'orientation,,,,,,Indique la catégorie de l’orientation de rendez-vous,SOS,orientationCategory,0..1,,string,"ENUM: CPTS, MSP, CDS, SOS, PS, PDM"
Professionnel de santé,,,,,,Représente le professionnel de santé associé au rendez-vous,,practitioner,0..1,X,practitioner,
,Identifiant RPPS,,,,,Identifiant national (RPPS) du PS,810002909371,rppsId,1..1,,string,REGEX: ^81[0-9]{10}$
,Nom du PS,,,,,Nom du professionnel de santé,Dupont,lastName,1..1,,string,
,Prénom du PS,,,,,Prénom du professionnel de santé,Jean,firstName,1..1,,string,
,Spécialité,,,,,Code de la spécialité du professionnel de santé,SM54,specialityCode,0..1,,string,
,Terminologie spécialité,,,,,Url de la terminologie utilisée pour la spécialité,https://mos.esante.gouv.fr/NOS/TRE_R38-SpecialiteOrdinale/FHIR/TRE-R38-SpecialiteOrdinale,specialityUrl,0..1,,string,
,Profession,,,,,Code de la profession du professionnel de santé,10,professionCode,0..1,,string,
,Terminologie profession,,,,,Url de la terminologie utilisée pour la profession,https://mos.esante.gouv.fr/NOS/TRE_G15-ProfessionSante/FHIR/TRE-G15-ProfessionSante,professionUrl,0..1,,string,
Structure,,,,,,Représente la structure du PS ou la structure associée au rendez-vous si le PS n'est pas connu,,organization,0..1,X,organization,
,Identifiant national de la structure,,,,,Indique l'identifiant national de la structure,334173748400020,organizationId,1..1,,string,
,Nom de la structure,,,,,Indique le nom de la structure,SOS Médecins de Rennes,name,1..1,,string,
Régulateur,,,,,,Représente le régulateur ayant pris le RDV,,regulator,1..1,X,regulator,
,Identifiant régulateur,,,,,Identifiant du régulateur ayant pris le RDV,3620100057/70326SR,regulatorId,0..1,,string,
,Nom du régulateur,,,,,Nom du régulateur ayant pris le RDV,Ricart,regulatorName,1..1,,string,
,Prénom du régulateur,,,,,Prénom du régulateur ayant pris le RDV,Pauline,regulatorFirstname,1..1,,string,
,Email du régulateur,,,,,Adresse mail du régulateur ayant pris le RDV,pauline.ricart@ghsas.fr,regulatorEmail,1..1,,string,
